Time Remaining,PCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
14:24,,13,,22 (+9),"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHODES 13-22 (+9),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
14:12,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
14:12,"GOOD FT by RILEY,MILES",14,,22 (+8),,PCM 14-22 (+8),,"GOOD FT by RILEY,MILES",1
14:12,"MISS FT by RILEY,MILES",,,,,,,"MISS FT by RILEY,MILES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:12,"SUB IN by LANIER,MARQUISE",,,,,,,"SUB IN by LANIER,MARQUISE",1
14:12,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",1
14:12,"SUB OUT by ALSTON,ELIJAH",,,,,,,"SUB OUT by ALSTON,ELIJAH",1
14:12,"SUB OUT by ASSINESI,LANDRY",,,,,,,"SUB OUT by ASSINESI,LANDRY",1
14:12,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
14:12,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
14:12,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:12,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
14:12,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
14:12,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
14:12,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:12,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
14:12,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
14:12,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
14:09,"MISS 3PTR by FOOTE,JORDAN",,,,,,,"MISS 3PTR by FOOTE,JORDAN",1
--,,,,,"REBOUND DEF by FERIA,NICK DE",,,"REBOUND DEF by FERIA,NICK DE",1
14:01,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
13:58,"STEAL  by JOSEPH,MICHAEL",,,,,,,"STEAL  by JOSEPH,MICHAEL",1
13:49,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
13:49,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
13:49,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
13:49,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
13:49,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:49,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
13:49,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
13:49,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:49,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
13:49,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
13:49,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
13:45,"GOOD LAYUP by RILEY,MILES(in the paint)",16,,22 (+6),,PCM 16-22 (+6),,"GOOD LAYUP by RILEY,MILES(in the paint)",1
13:29,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
13:28,"STEAL  by JOSEPH,MICHAEL",,,,,,,"STEAL  by JOSEPH,MICHAEL",1
13:23,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
13:23,"MISS FT by RILEY,MILES",,,,,,,"MISS FT by RILEY,MILES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:23,"GOOD FT by RILEY,MILES",17,,22 (+5),,PCM 17-22 (+5),,"GOOD FT by RILEY,MILES",1
13:10,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
13:08,"STEAL  by FOOTE,JORDAN",,,,,,,"STEAL  by FOOTE,JORDAN",1
13:06,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
13:06,"GOOD FT by RILEY,MILES",18,,22 (+4),,PCM 18-22 (+4),,"GOOD FT by RILEY,MILES",1
13:06,"GOOD FT by RILEY,MILES",19,,22 (+3),,PCM 19-22 (+3),,"GOOD FT by RILEY,MILES",1
13:06,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
13:06,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
13:06,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:06,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
13:06,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:06,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
13:06,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:06,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
13:06,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
13:06,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
12:45,,,,,"TURNOVER  by ROTEMAN,EVAN",,,"TURNOVER  by ROTEMAN,EVAN",1
12:43,"STEAL  by JOSEPH,MICHAEL",,,,,,,"STEAL  by JOSEPH,MICHAEL",1
12:41,"TURNOVER  by YOUNG,AUSTIN",,,,,,,"TURNOVER  by YOUNG,AUSTIN",1
12:40,,,,,"STEAL  by SWIFT,DJ",,,"STEAL  by SWIFT,DJ",1
12:36,,19,,24 (+5),"GOOD JUMPER by SWIFT,DJ(fastbreak)(in the paint)",RHODES 19-24 (+5),,"GOOD JUMPER by SWIFT,DJ(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ROTEMAN,EVAN",,,"ASSIST  by ROTEMAN,EVAN",1
12:24,"GOOD LAYUP by FOOTE,JORDAN(fastbreak)(in the paint)",21,,24 (+3),,PCM 21-24 (+3),,"GOOD LAYUP by FOOTE,JORDAN(fastbreak)(in the paint)",1
--,"ASSIST  by RILEY,MILES",,,,,,,"ASSIST  by RILEY,MILES",1
12:09,"FOUL  by FOOTE,JORDAN",,,,,,,"FOUL  by FOOTE,JORDAN",1
12:09,"SUB IN by VALLEJO,JUSTIN",,,,,,,"SUB IN by VALLEJO,JUSTIN",1
12:09,"SUB IN by MILLS,TAYLOR",,,,,,,"SUB IN by MILLS,TAYLOR",1
12:09,"SUB OUT by FOOTE,JORDAN",,,,,,,"SUB OUT by FOOTE,JORDAN",1
12:09,"SUB OUT by RILEY,MILES",,,,,,,"SUB OUT by RILEY,MILES",1
12:09,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
12:09,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
12:09,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
12:09,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:09,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
12:09,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
12:09,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
12:09,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
12:09,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
12:09,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
12:02,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
12:00,"STEAL  by MILLS,TAYLOR",,,,,,,"STEAL  by MILLS,TAYLOR",1
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:54,"GOOD 3PTR by MILLS,TAYLOR",24,,24,,PCM 24-24 (0),,"GOOD 3PTR by MILLS,TAYLOR",1
--,"ASSIST  by LANIER,MARQUISE",,,,,,,"ASSIST  by LANIER,MARQUISE",1
11:32,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by VALLEJO,JUSTIN",,,,,,,"REBOUND DEF by VALLEJO,JUSTIN",1
11:13,"MISS 3PTR by YOUNG,AUSTIN",,,,,,,"MISS 3PTR by YOUNG,AUSTIN",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
10:57,,24,,26 (+2),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 24-26 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
10:47,"GOOD LAYUP by VALLEJO,JUSTIN(fastbreak)(in the paint)",26,,26,,PCM 26-26 (0),,"GOOD LAYUP by VALLEJO,JUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by LANIER,MARQUISE",,,,,,,"ASSIST  by LANIER,MARQUISE",1
10:41,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND DEF by LANIER,MARQUISE",,,,,,,"REBOUND DEF by LANIER,MARQUISE",1
10:34,"TURNOVER  by LANIER,MARQUISE",,,,,,,"TURNOVER  by LANIER,MARQUISE",1
10:34,"SUB IN by ALSTON,ELIJAH",,,,,,,"SUB IN by ALSTON,ELIJAH",1
10:34,"SUB OUT by JOSEPH,MICHAEL",,,,,,,"SUB OUT by JOSEPH,MICHAEL",1
10:34,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
10:34,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
10:34,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
10:34,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
10:34,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
10:34,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
10:34,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
10:34,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
10:34,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
10:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
10:18,,,,,"MISS JUMPER by ASHBY,KENDRICK",,,"MISS JUMPER by ASHBY,KENDRICK",1
--,"REBOUND DEF by VALLEJO,JUSTIN",,,,,,,"REBOUND DEF by VALLEJO,JUSTIN",1
10:06,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",28 (+2),,26,,PCM 28-26 (-2),,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",1
09:49,,28,,29 (+1),"GOOD 3PTR by NYAWATA,ANESU",RHODES 28-29 (+1),,"GOOD 3PTR by NYAWATA,ANESU",1
--,,,,,"ASSIST  by DALTON,PRICE",,,"ASSIST  by DALTON,PRICE",1
09:34,"TURNOVER  by ALSTON,ELIJAH",,,,,,,"TURNOVER  by ALSTON,ELIJAH",1
09:34,"SUB IN by ASSINESI,LANDRY",,,,,,,"SUB IN by ASSINESI,LANDRY",1
09:34,"SUB OUT by YOUNG,AUSTIN",,,,,,,"SUB OUT by YOUNG,AUSTIN",1
09:34,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
09:34,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
09:34,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
09:34,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
09:34,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
09:34,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
09:34,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
09:34,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
09:34,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
09:34,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
09:21,,28,,31 (+3),"GOOD LAYUP by GRUBBS,COBY(in the paint)",RHODES 28-31 (+3),,"GOOD LAYUP by GRUBBS,COBY(in the paint)",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
09:03,"GOOD JUMPER by VALLEJO,JUSTIN",30,,31 (+1),,PCM 30-31 (+1),,"GOOD JUMPER by VALLEJO,JUSTIN",1
--,"ASSIST  by LANIER,MARQUISE",,,,,,,"ASSIST  by LANIER,MARQUISE",1
08:52,,,,,"MISS 3PTR by ROTEMAN,EVAN",,,"MISS 3PTR by ROTEMAN,EVAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:50,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
08:50,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
