Time Remaining,JHUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:44,"GOOD 3PTR by DORAN,KYLE",3 (+3),,0,,JHUM 3-0 (-3),,"GOOD 3PTR by DORAN,KYLE",1
--,"ASSIST  by DELANEY,CONNOR",,,,,,,"ASSIST  by DELANEY,CONNOR",1
19:30,,,,,"MISS JUMPER by SWIFT,DJ",,,"MISS JUMPER by SWIFT,DJ",1
19:30,"BLOCK  by KERN,JOEY",,,,,,,"BLOCK  by KERN,JOEY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:21,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
19:20,"STEAL  by DELANEY,CONNOR",,,,,,,"STEAL  by DELANEY,CONNOR",1
19:13,"MISS JUMPER by DORAN,KYLE",,,,,,,"MISS JUMPER by DORAN,KYLE",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
18:52,,3 (+1),,2,"GOOD JUMPER by SWIFT,DJ(in the paint)",RHODES 3-2 (-1),,"GOOD JUMPER by SWIFT,DJ(in the paint)",1
18:37,"TURNOVER  by DORAN,KYLE",,,,,,,"TURNOVER  by DORAN,KYLE",1
18:37,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:37,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
18:37,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:37,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:37,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
18:37,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:37,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
18:37,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:37,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
18:37,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:15,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
18:08,"GOOD LAYUP by VILA,DANIEL(fastbreak)(in the paint)",5 (+3),,2,,JHUM 5-2 (-3),,"GOOD LAYUP by VILA,DANIEL(fastbreak)(in the paint)",1
--,"ASSIST  by DELANEY,CONNOR",,,,,,,"ASSIST  by DELANEY,CONNOR",1
17:51,"FOUL  by VILA,DANIEL",,,,,,,"FOUL  by VILA,DANIEL",1
17:51,"SUB IN by O'NEIL,HARRY",,,,,,,"SUB IN by O'NEIL,HARRY",1
17:51,"SUB IN by RALBY,NOAH",,,,,,,"SUB IN by RALBY,NOAH",1
17:51,"SUB IN by FLANNERY,JESSE",,,,,,,"SUB IN by FLANNERY,JESSE",1
17:51,"SUB OUT by VILA,DANIEL",,,,,,,"SUB OUT by VILA,DANIEL",1
17:51,"SUB OUT by DELANEY,CONNOR",,,,,,,"SUB OUT by DELANEY,CONNOR",1
17:51,"SUB OUT by KERN,JOEY",,,,,,,"SUB OUT by KERN,JOEY",1
17:40,,,,,"MISS LAYUP by LOVE,KERRY",,,"MISS LAYUP by LOVE,KERRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:36,"TURNOVER  by GARDNER,MICHAEL",,,,,,,"TURNOVER  by GARDNER,MICHAEL",1
17:34,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
17:34,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
17:34,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
17:34,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
17:34,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
17:34,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
17:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
17:34,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
17:34,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
17:34,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
17:13,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND DEF by DORAN,KYLE",,,,,,,"REBOUND DEF by DORAN,KYLE",1
17:03,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",1
17:03,"SUB IN by FITZPATRICK,JOEY",,,,,,,"SUB IN by FITZPATRICK,JOEY",1
17:03,"SUB OUT by DORAN,KYLE",,,,,,,"SUB OUT by DORAN,KYLE",1
17:03,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
17:03,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
17:03,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
17:03,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
17:03,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
17:03,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
17:03,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
17:03,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
17:03,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
17:03,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:48,"TURNOVER  by O'NEIL,HARRY",,,,,,,"TURNOVER  by O'NEIL,HARRY",1
16:40,,5 (+1),,4,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 5-4 (-1),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
16:24,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
16:24,"SUB IN by VILA,DANIEL",,,,,,,"SUB IN by VILA,DANIEL",1
16:24,"SUB IN by KERN,JOEY",,,,,,,"SUB IN by KERN,JOEY",1
16:24,"SUB OUT by O'NEIL,HARRY",,,,,,,"SUB OUT by O'NEIL,HARRY",1
16:24,"SUB OUT by GARDNER,MICHAEL",,,,,,,"SUB OUT by GARDNER,MICHAEL",1
16:08,"MISS 3PTR by RALBY,NOAH",,,,,,,"MISS 3PTR by RALBY,NOAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:05,"FOUL  by VILA,DANIEL",,,,,,,"FOUL  by VILA,DANIEL",1
16:05,"SUB IN by DORAN,KYLE",,,,,,,"SUB IN by DORAN,KYLE",1
16:05,"SUB OUT by VILA,DANIEL",,,,,,,"SUB OUT by VILA,DANIEL",1
15:52,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",1
15:52,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
15:52,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
15:52,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
15:52,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
15:52,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:52,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
15:52,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
15:52,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
15:52,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
15:52,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
15:52,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:52,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
15:45,"GOOD LAYUP by DORAN,KYLE(fastbreak)(in the paint)",7 (+3),,4,,JHUM 7-4 (-3),,"GOOD LAYUP by DORAN,KYLE(fastbreak)(in the paint)",1
--,"ASSIST  by KERN,JOEY",,,,,,,"ASSIST  by KERN,JOEY",1
15:37,,7 (+1),,6,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 7-6 (-1),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
15:21,"GOOD 3PTR by DORAN,KYLE",10 (+4),,6,,JHUM 10-6 (-4),,"GOOD 3PTR by DORAN,KYLE",1
--,"ASSIST  by FLANNERY,JESSE",,,,,,,"ASSIST  by FLANNERY,JESSE",1
15:09,,10 (+2),,8,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 10-8 (-2),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
15:01,"TURNOVER  by FITZPATRICK,JOEY",,,,,,,"TURNOVER  by FITZPATRICK,JOEY",1
14:59,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
14:49,"FOUL  by KERN,JOEY",,,,,,,"FOUL  by KERN,JOEY",1
14:49,"SUB IN by DELANEY,CONNOR",,,,,,,"SUB IN by DELANEY,CONNOR",1
14:49,"SUB IN by GARDNER,MICHAEL",,,,,,,"SUB IN by GARDNER,MICHAEL",1
14:49,"SUB OUT by DORAN,KYLE",,,,,,,"SUB OUT by DORAN,KYLE",1
14:49,"SUB OUT by FLANNERY,JESSE",,,,,,,"SUB OUT by FLANNERY,JESSE",1
14:42,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
14:34,"GOOD LAYUP by GARDNER,MICHAEL(fastbreak)(in the paint)",12 (+4),,8,,JHUM 12-8 (-4),,"GOOD LAYUP by GARDNER,MICHAEL(fastbreak)(in the paint)",1
--,"ASSIST  by FITZPATRICK,JOEY",,,,,,,"ASSIST  by FITZPATRICK,JOEY",1
14:29,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
14:29,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
14:29,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
14:29,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:29,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
14:29,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
14:29,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
14:29,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
14:29,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:29,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:29,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
14:29,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:26,"GOOD 3PTR by GARDNER,MICHAEL",15 (+7),,8,,JHUM 15-8 (-7),,"GOOD 3PTR by GARDNER,MICHAEL",1
--,"ASSIST  by DELANEY,CONNOR",,,,,,,"ASSIST  by DELANEY,CONNOR",1
14:19,,,,,"MISS JUMPER by LOVE,KERRY",,,"MISS JUMPER by LOVE,KERRY",1
--,"REBOUND DEF by DELANEY,CONNOR",,,,,,,"REBOUND DEF by DELANEY,CONNOR",1
14:08,"TURNOVER  by GARDNER,MICHAEL",,,,,,,"TURNOVER  by GARDNER,MICHAEL",1
14:06,"SUB IN by FLANNERY,JESSE",,,,,,,"SUB IN by FLANNERY,JESSE",1
14:06,"SUB IN by O'NEIL,HARRY",,,,,,,"SUB IN by O'NEIL,HARRY",1
14:06,"SUB OUT by KERN,JOEY",,,,,,,"SUB OUT by KERN,JOEY",1
14:06,"SUB OUT by FITZPATRICK,JOEY",,,,,,,"SUB OUT by FITZPATRICK,JOEY",1
14:06,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:06,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:06,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:06,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
14:06,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
14:06,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
14:06,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
14:06,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
14:06,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
14:06,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
13:57,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,"REBOUND DEF by O'NEIL,HARRY",,,,,,,"REBOUND DEF by O'NEIL,HARRY",1
13:51,"MISS LAYUP by GARDNER,MICHAEL",,,,,,,"MISS LAYUP by GARDNER,MICHAEL",1
13:51,,,,,"BLOCK  by ASHBY,KENDRICK",,,"BLOCK  by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
13:45,,,,,"MISS 3PTR by SWIFT,DJ",,,"MISS 3PTR by SWIFT,DJ",1
--,"REBOUND DEF by GARDNER,MICHAEL",,,,,,,"REBOUND DEF by GARDNER,MICHAEL",1
13:33,"GOOD LAYUP by FLANNERY,JESSE(in the paint)",17 (+9),,8,,JHUM 17-8 (-9),,"GOOD LAYUP by FLANNERY,JESSE(in the paint)",1
--,"ASSIST  by GARDNER,MICHAEL",,,,,,,"ASSIST  by GARDNER,MICHAEL",1
13:21,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by RALBY,NOAH",,,,,,,"REBOUND DEF by RALBY,NOAH",1
13:11,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",1
13:11,"MISS FT by O'NEIL,HARRY",,,,,,,"MISS FT by O'NEIL,HARRY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:11,"GOOD FT by O'NEIL,HARRY",18 (+10),,8,,JHUM 18-8 (-10),,"GOOD FT by O'NEIL,HARRY",1
13:11,"SUB IN by SURI,KABIR",,,,,,,"SUB IN by SURI,KABIR",1
13:11,"SUB IN by DORAN,KYLE",,,,,,,"SUB IN by DORAN,KYLE",1
13:11,"SUB OUT by RALBY,NOAH",,,,,,,"SUB OUT by RALBY,NOAH",1
13:11,"SUB OUT by O'NEIL,HARRY",,,,,,,"SUB OUT by O'NEIL,HARRY",1
13:11,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:11,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:11,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:11,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:11,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:11,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
13:11,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:11,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:11,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
13:11,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
13:07,,18 (+8),,10,"GOOD JUMPER by BERRY,BRYCE(in the paint)",RHODES 18-10 (-8),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1
12:52,"GOOD JUMPER by DELANEY,CONNOR(in the paint)",20 (+10),,10,,JHUM 20-10 (-10),,"GOOD JUMPER by DELANEY,CONNOR(in the paint)",1
12:34,,,,,"MISS JUMPER by GALVIN,OWEN",,,"MISS JUMPER by GALVIN,OWEN",1
--,"REBOUND DEF by FLANNERY,JESSE",,,,,,,"REBOUND DEF by FLANNERY,JESSE",1
12:26,"GOOD LAYUP by SURI,KABIR(in the paint)",22 (+12),,10,,JHUM 22-10 (-12),,"GOOD LAYUP by SURI,KABIR(in the paint)",1
--,"ASSIST  by GARDNER,MICHAEL",,,,,,,"ASSIST  by GARDNER,MICHAEL",1
12:25,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",1
12:25,"MISS FT by SURI,KABIR",,,,,,,"MISS FT by SURI,KABIR",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
12:23,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
12:23,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
12:23,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
12:23,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
12:23,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
12:23,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
12:23,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
12:23,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
12:23,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
12:23,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
12:08,,,,,"TURNOVER  by FERIA,NICK DE",,,"TURNOVER  by FERIA,NICK DE",1
12:08,"SUB IN by FITZPATRICK,JOEY",,,,,,,"SUB IN by FITZPATRICK,JOEY",1
12:08,"SUB IN by KERN,JOEY",,,,,,,"SUB IN by KERN,JOEY",1
12:08,"SUB OUT by DELANEY,CONNOR",,,,,,,"SUB OUT by DELANEY,CONNOR",1
12:08,"SUB OUT by SURI,KABIR",,,,,,,"SUB OUT by SURI,KABIR",1
12:06,"TURNOVER  by DORAN,KYLE",,,,,,,"TURNOVER  by DORAN,KYLE",1
11:55,,,,,"MISS JUMPER by LOVE,KERRY",,,"MISS JUMPER by LOVE,KERRY",1
--,"REBOUND DEF by GARDNER,MICHAEL",,,,,,,"REBOUND DEF by GARDNER,MICHAEL",1
11:51,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
11:51,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:51,"GOOD FT by DORAN,KYLE",23 (+13),,10,,JHUM 23-10 (-13),,"GOOD FT by DORAN,KYLE",1
