Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
16:08,,13 (+4),,9,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 13-9 (+4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
15:55,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
15:50,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
15:44,,13 (+2),,11,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 13-11 (+2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
15:32,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
15:27,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",15 (+4),,11,,RHODES 15-11 (+4),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
15:18,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
15:16,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
15:14,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",17 (+6),,11,,RHODES 17-11 (+6),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
15:00,,17 (+4),,13,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 17-13 (+4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
14:48,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
14:48,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
14:48,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
14:48,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
14:48,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
14:48,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
14:48,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
14:48,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
14:48,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
14:48,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:48,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
14:43,,17 (+2),,15,"GOOD JUMPER by HALL,MARCIS",HXM 17-15 (+2),,"GOOD JUMPER by HALL,MARCIS",1
14:29,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
14:23,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by NYAWATA,ANESU",,,,,,,"REBOUND DEF by NYAWATA,ANESU",1
14:02,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
14:02,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
14:02,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
14:02,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
14:02,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
13:51,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:47,,17,,18 (+1),"GOOD 3PTR by ROUSE,TREY",HXM 17-18 (-1),,"GOOD 3PTR by ROUSE,TREY",1
13:47,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
13:47,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
13:47,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
13:47,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:47,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
13:47,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
13:47,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
13:47,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
13:47,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
13:47,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
13:26,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
13:10,,17,,20 (+3),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 17-20 (-3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
12:58,"GOOD LAYUP by GALVIN,OWEN(in the paint)",19,,20 (+1),,RHODES 19-20 (-1),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
12:40,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
12:40,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
12:40,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
12:40,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
12:40,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
12:40,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
12:40,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
12:40,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:40,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:40,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
12:30,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:10,"GOOD 3PTR by MCINTYRE,WILLIAM",22 (+2),,20,,RHODES 22-20 (+2),,"GOOD 3PTR by MCINTYRE,WILLIAM",1
--,"ASSIST  by ROTEMAN,EVAN",,,,,,,"ASSIST  by ROTEMAN,EVAN",1
11:55,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
11:53,"STEAL  by ROTEMAN,EVAN",,,,,,,"STEAL  by ROTEMAN,EVAN",1
11:53,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
11:53,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
11:53,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
11:53,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
11:53,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
11:53,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
11:53,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
11:53,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
11:53,"SUB OUT by ROTEMAN,EVAN",,,,,,,"SUB OUT by ROTEMAN,EVAN",1
11:53,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
11:53,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
11:45,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",24 (+4),,20,,RHODES 24-20 (+4),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
11:28,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by NYAWATA,ANESU",,,,,,,"REBOUND DEF by NYAWATA,ANESU",1
11:16,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
11:16,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:16,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
11:16,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:16,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:16,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:16,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
11:16,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
11:16,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:16,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:16,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:04,,24 (+2),,22,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 24-22 (+2),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
10:47,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
10:34,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
10:30,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
10:25,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
10:17,,24,,25 (+1),"GOOD 3PTR by BRASFIELD,KAM(fastbreak)",HXM 24-25 (-1),,"GOOD 3PTR by BRASFIELD,KAM(fastbreak)",1
10:06,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:01,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
10:01,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
10:01,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
10:01,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
10:01,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
10:01,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
10:01,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
10:01,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
10:01,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
10:01,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:01,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
09:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
09:55,"TURNOVER  by MCINTYRE,WILLIAM",,,,,,,"TURNOVER  by MCINTYRE,WILLIAM",1
09:53,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
09:50,"FOUL  by EVANS,ANDREW",,,,,,,"FOUL  by EVANS,ANDREW",1
09:50,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:50,,24,,26 (+2),"GOOD FT by ROUSE,TREY",HXM 24-26 (-2),,"GOOD FT by ROUSE,TREY",1
09:50,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
09:50,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
09:50,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
09:50,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
09:50,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
09:50,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
09:50,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
09:50,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
09:50,"SUB OUT by ROTEMAN,EVAN",,,,,,,"SUB OUT by ROTEMAN,EVAN",1
09:50,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
09:50,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
09:50,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
09:50,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",1
09:50,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
09:50,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
09:50,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
09:38,"GOOD JUMPER by BERRY,BRYCE",26,,26,,RHODES 26-26 (0),,"GOOD JUMPER by BERRY,BRYCE",1
09:18,,26,,28 (+2),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 26-28 (-2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
09:05,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",28,,28,,RHODES 28-28 (0),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
08:53,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
08:53,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
08:53,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
08:53,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
08:53,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
08:53,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
08:53,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
08:53,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
08:53,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
08:53,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
08:40,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
08:37,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
08:21,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",30 (+2),,28,,RHODES 30-28 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
08:06,,30,,30,"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",HXM 30-30 (0),,"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",1
07:48,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",32 (+2),,30,,RHODES 32-30 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
07:31,,32,,32,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 32-32 (0),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
07:18,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
07:11,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",1
07:09,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
07:05,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
06:54,,32,,34 (+2),"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 32-34 (-2),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
06:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:50,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
06:50,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
06:50,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
06:50,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
06:50,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
06:50,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
06:50,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
06:50,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
06:50,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
06:50,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
06:50,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
06:50,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
06:50,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
06:50,,,,,"SUB OUT by JOHNSON,DAMECKO",,,"SUB OUT by JOHNSON,DAMECKO",1
06:41,"GOOD 3PTR by FERIA,NICK DE",35 (+1),,34,,RHODES 35-34 (+1),,"GOOD 3PTR by FERIA,NICK DE",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
06:24,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,,,,,"REBOUND OFF by ROBERTS,ERIC",,,"REBOUND OFF by ROBERTS,ERIC",1
06:20,,35,,36 (+1),"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 35-36 (-1),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
06:11,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",1
06:07,"GOOD LAYUP by BERRY,BRYCE(in the paint)",37 (+1),,36,,RHODES 37-36 (+1),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
06:02,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
06:02,,,,,"MISS FT by ROBERTS,ERIC",,,"MISS FT by ROBERTS,ERIC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:02,,,,,"MISS FT by ROBERTS,ERIC",,,"MISS FT by ROBERTS,ERIC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
