Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
17:59,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
17:59,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
17:59,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
17:59,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
17:59,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
17:59,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
17:41,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
17:40,,,,,"STEAL  by ROTEMAN,EVAN",,,"STEAL  by ROTEMAN,EVAN",1
17:27,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:17,,,,,"MISS LAYUP by ROTEMAN,EVAN",,,"MISS LAYUP by ROTEMAN,EVAN",1
--,,,,,"REBOUND OFF by ROTEMAN,EVAN",,,"REBOUND OFF by ROTEMAN,EVAN",1
17:14,,0,,4 (+4),"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",RHODES 0-4 (+4),,"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",1
16:52,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
16:49,"FOUL  by CRUMLY,WILL",,,,,,,"FOUL  by CRUMLY,WILL",1
16:49,"SUB IN by SPRAGG,BAILEY",,,,,,,"SUB IN by SPRAGG,BAILEY",1
16:49,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
16:49,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
16:49,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:49,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
16:49,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
16:49,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:49,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
16:49,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
16:49,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:49,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
16:49,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
16:28,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
16:28,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
16:23,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND DEF by EVANS,ANDREW",,,"REBOUND DEF by EVANS,ANDREW",1
16:14,,0,,6 (+6),"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",RHODES 0-6 (+6),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",1
16:01,"GOOD 3PTR by CRUMLY,WILL",3,,6 (+3),,CCM 3-6 (+3),,"GOOD 3PTR by CRUMLY,WILL",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
15:34,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:34,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
15:34,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
15:34,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:34,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
15:34,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:34,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:34,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
15:34,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
15:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:34,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
15:34,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
15:34,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:24,"GOOD LAYUP by HAYNES,CALEB(fastbreak)(in the paint)",5,,6 (+1),,CCM 5-6 (+1),,"GOOD LAYUP by HAYNES,CALEB(fastbreak)(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
15:15,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
15:14,"STEAL  by SPRAGG,BAILEY",,,,,,,"STEAL  by SPRAGG,BAILEY",1
15:11,"MISS LAYUP by PALMER,NICK",,,,,,,"MISS LAYUP by PALMER,NICK",1
--,"REBOUND OFF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND OFF by TWAGIRAYEZU,PATJO",1
15:09,"GOOD DUNK by TWAGIRAYEZU,PATJO(in the paint)",7 (+1),,6,,CCM 7-6 (-1),,"GOOD DUNK by TWAGIRAYEZU,PATJO(in the paint)",1
14:53,,,,,"MISS JUMPER by NESTLEHUTT,JAKE",,,"MISS JUMPER by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
14:41,"GOOD JUMPER by HAYNES,CALEB",9 (+3),,6,,CCM 9-6 (-3),,"GOOD JUMPER by HAYNES,CALEB",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
14:24,,9 (+1),,8,"GOOD JUMPER by MCINTYRE,WILLIAM(in the paint)",RHODES 9-8 (-1),,"GOOD JUMPER by MCINTYRE,WILLIAM(in the paint)",1
14:21,"TURNOVER  by PALMER,NICK",,,,,,,"TURNOVER  by PALMER,NICK",1
14:19,,,,,"STEAL  by NESTLEHUTT,JAKE",,,"STEAL  by NESTLEHUTT,JAKE",1
14:17,,9,,10 (+1),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 9-10 (+1),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
--,,,,,"ASSIST  by NESTLEHUTT,JAKE",,,"ASSIST  by NESTLEHUTT,JAKE",1
14:10,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
14:09,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
13:53,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
13:53,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
13:53,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
13:53,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
13:53,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
13:53,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
13:53,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
13:53,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
13:53,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:53,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
13:53,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
13:53,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:53,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
13:53,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
13:53,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
13:53,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:53,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
13:49,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:39,"GOOD 3PTR by MITCHELL,JAMES",12 (+2),,10,,CCM 12-10 (-2),,"GOOD 3PTR by MITCHELL,JAMES",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
13:15,"FOUL  by CRUMLY,WILL",,,,,,,"FOUL  by CRUMLY,WILL",1
13:15,,,,,"MISS FT by BERRY,BRYCE",,,"MISS FT by BERRY,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:15,,,,,"MISS FT by BERRY,BRYCE",,,"MISS FT by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
13:15,,,,,"MISS JUMPER by GIROUX,PRESTON",,,"MISS JUMPER by GIROUX,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:15,"FOUL  by CRUMLY,WILL",,,,,,,"FOUL  by CRUMLY,WILL",1
13:15,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
13:15,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
13:15,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
13:15,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
13:15,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
13:15,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:15,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
13:15,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
13:15,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:15,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
13:15,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
13:15,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
13:15,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
13:15,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:47,,12,,12,"GOOD JUMPER by EVANS,ANDREW(in the paint)",RHODES 12-12 (0),,"GOOD JUMPER by EVANS,ANDREW(in the paint)",1
12:33,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
12:33,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
12:20,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",1
12:20,,,,,"BLOCK  by GIROUX,PRESTON",,,"BLOCK  by GIROUX,PRESTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:20,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:20,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
12:20,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:20,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:20,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
12:20,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
12:20,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
12:20,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
12:20,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
12:20,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
12:19,"TURNOVER  by DRYDEN,BERTO",,,,,,,"TURNOVER  by DRYDEN,BERTO",1
12:18,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
12:14,,12,,14 (+2),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 12-14 (+2),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
12:06,"TURNOVER  by DRYDEN,BERTO",,,,,,,"TURNOVER  by DRYDEN,BERTO",1
12:04,,,,,"STEAL  by MCINTYRE,WILLIAM",,,"STEAL  by MCINTYRE,WILLIAM",1
11:50,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
11:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:50,"SUB IN by TWAGIRAYEZU,PATJO",,,,,,,"SUB IN by TWAGIRAYEZU,PATJO",1
11:50,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
11:40,"TURNOVER  by JAUCH,JARED",,,,,,,"TURNOVER  by JAUCH,JARED",1
11:28,,,,,"TURNOVER  by MCINTYRE,WILLIAM",,,"TURNOVER  by MCINTYRE,WILLIAM",1
11:26,"STEAL  by DRYDEN,BERTO",,,,,,,"STEAL  by DRYDEN,BERTO",1
11:23,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",14,,14,,CCM 14-14 (0),,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",1
11:23,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
11:23,"GOOD FT by DRYDEN,BERTO",15 (+1),,14,,CCM 15-14 (-1),,"GOOD FT by DRYDEN,BERTO",1
11:23,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
11:23,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
11:23,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:23,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
11:23,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:23,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
11:23,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
11:23,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
11:23,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
11:23,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
11:08,,15,,16 (+1),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 15-16 (+1),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
11:08,"FOUL  by TWAGIRAYEZU,PATJO",,,,,,,"FOUL  by TWAGIRAYEZU,PATJO",1
11:08,,15,,17 (+2),"GOOD FT by BERRY,BRYCE",RHODES 15-17 (+2),,"GOOD FT by BERRY,BRYCE",1
10:58,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",1
10:58,"GOOD FT by SPRAGG,BAILEY",16,,17 (+1),,CCM 16-17 (+1),,"GOOD FT by SPRAGG,BAILEY",1
10:58,"MISS FT by SPRAGG,BAILEY",,,,,,,"MISS FT by SPRAGG,BAILEY",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
10:58,"SUB IN by SPRAGG,BAILEY",,,,,,,"SUB IN by SPRAGG,BAILEY",1
10:58,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
10:48,,16,,19 (+3),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 16-19 (+3),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
10:41,"MISS 3PTR by HOLLIS,MITCHELL",,,,,,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,"REBOUND OFF by SPRAGG,BAILEY",,,,,,,"REBOUND OFF by SPRAGG,BAILEY",1
10:34,"MISS 3PTR by HOLLIS,MITCHELL",,,,,,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
10:26,,16,,21 (+5),"GOOD LAYUP by ROTEMAN,EVAN(fastbreak)(in the paint)",RHODES 16-21 (+5),,"GOOD LAYUP by ROTEMAN,EVAN(fastbreak)(in the paint)",1
10:16,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
10:16,"MISS FT by TWAGIRAYEZU,PATJO",,,,,,,"MISS FT by TWAGIRAYEZU,PATJO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:16,"MISS FT by TWAGIRAYEZU,PATJO",,,,,,,"MISS FT by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
10:16,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
10:16,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",1
10:16,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
10:16,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:16,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
10:16,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
10:16,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:16,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
10:16,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
10:16,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:16,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
10:16,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
10:07,,16,,23 (+7),"GOOD JUMPER by WEATHERFORD,MITCH",RHODES 16-23 (+7),,"GOOD JUMPER by WEATHERFORD,MITCH",1
09:55,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",18,,23 (+5),,CCM 18-23 (+5),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
09:36,,18,,26 (+8),"GOOD 3PTR by FERIA,NICK DE",RHODES 18-26 (+8),,"GOOD 3PTR by FERIA,NICK DE",1
09:25,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",20,,26 (+6),,CCM 20-26 (+6),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
09:11,,20,,28 (+8),"GOOD JUMPER by GIROUX,PRESTON(in the paint)",RHODES 20-28 (+8),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
09:05,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
09:05,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
09:05,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
09:05,"SUB IN by DRYDEN,BERTO",,,,,,,"SUB IN by DRYDEN,BERTO",1
09:05,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
09:05,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
09:05,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
09:05,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
09:05,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
09:05,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
09:05,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
09:05,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
09:05,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
09:05,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:05,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
09:05,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
09:05,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
08:50,"GOOD LAYUP by PALMER,NICK(in the paint)",22,,28 (+6),,CCM 22-28 (+6),,"GOOD LAYUP by PALMER,NICK(in the paint)",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
08:43,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
08:41,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
08:36,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
