Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
17:33,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
17:20,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
17:14,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",8 (+4),,4,,UTD 8-4 (-4),,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",1
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",1
17:00,,8 (+2),,6,"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHODES 8-6 (-2),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
16:51,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
16:38,,8,,8,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 8-8 (0),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
--,,,,,"ASSIST  by GIROUX,PRESTON",,,"ASSIST  by GIROUX,PRESTON",1
16:23,"TURNOVER  by HATCHER,JON",,,,,,,"TURNOVER  by HATCHER,JON",1
16:14,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
16:11,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
16:11,,,,,"MISS FT by GIROUX,PRESTON",,,"MISS FT by GIROUX,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:11,,8,,9 (+1),"GOOD FT by GIROUX,PRESTON",RHODES 8-9 (+1),,"GOOD FT by GIROUX,PRESTON",1
16:11,"SUB IN by FORSTER,MICHAEL",,,,,,,"SUB IN by FORSTER,MICHAEL",1
16:11,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
16:11,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",1
16:11,"SUB OUT by HATCHER,JON",,,,,,,"SUB OUT by HATCHER,JON",1
16:11,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
16:11,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",1
16:11,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:11,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
16:11,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:11,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
16:11,,,,,"SUB IN by MINX,COLIN",,,"SUB IN by MINX,COLIN",1
16:11,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
16:11,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:11,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
16:11,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:11,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
16:02,,8,,11 (+3),"GOOD JUMPER by NYAWATA,ANESU",RHODES 8-11 (+3),,"GOOD JUMPER by NYAWATA,ANESU",1
15:50,"GOOD LAYUP by ALLEN,CURTIS(in the paint)",10,,11 (+1),,UTD 10-11 (+1),,"GOOD LAYUP by ALLEN,CURTIS(in the paint)",1
15:50,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",1
15:50,,10,,12 (+2),"GOOD FT by DARST,DANIEL",RHODES 10-12 (+2),,"GOOD FT by DARST,DANIEL",1
15:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
15:50,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
15:50,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
15:50,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
15:50,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:50,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
15:50,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:50,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
15:50,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:50,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
15:50,,,,,"SUB OUT by MINX,COLIN",,,"SUB OUT by MINX,COLIN",1
15:45,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",12,,12,,UTD 12-12 (0),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
15:29,"FOUL  by BANKS,CALEB",,,,,,,"FOUL  by BANKS,CALEB",1
15:25,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",1
15:25,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",1
15:25,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
15:11,,12,,14 (+2),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 12-14 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
15:11,"FOUL  by ALLEN,CURTIS",,,,,,,"FOUL  by ALLEN,CURTIS",1
15:11,,12,,15 (+3),"GOOD FT by GIROUX,PRESTON",RHODES 12-15 (+3),,"GOOD FT by GIROUX,PRESTON",1
15:07,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",14,,15 (+1),,UTD 14-15 (+1),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
14:55,,14,,17 (+3),"GOOD JUMPER by SAMSON,VAUGHN(in the paint)",RHODES 14-17 (+3),,"GOOD JUMPER by SAMSON,VAUGHN(in the paint)",1
14:45,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",16,,17 (+1),,UTD 16-17 (+1),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",1
14:20,,16,,19 (+3),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 16-19 (+3),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
14:12,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",18,,19 (+1),,UTD 18-19 (+1),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
13:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
13:59,"SUB IN by HATCHER,JON",,,,,,,"SUB IN by HATCHER,JON",1
13:59,"SUB OUT by ALLEN,CURTIS",,,,,,,"SUB OUT by ALLEN,CURTIS",1
13:59,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
13:59,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
13:59,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
13:59,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:59,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
13:59,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
13:59,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
13:59,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:59,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
13:59,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
13:51,"MISS JUMPER by FORSTER,MICHAEL",,,,,,,"MISS JUMPER by FORSTER,MICHAEL",1
13:51,,,,,"BLOCK  by DARST,DANIEL",,,"BLOCK  by DARST,DANIEL",1
--,"REBOUND OFF by BANKS,CALEB",,,,,,,"REBOUND OFF by BANKS,CALEB",1
13:46,"TURNOVER  by BANKS,CALEB",,,,,,,"TURNOVER  by BANKS,CALEB",1
13:45,,,,,"STEAL  by GRUBBS,COBY",,,"STEAL  by GRUBBS,COBY",1
13:44,,18,,21 (+3),"GOOD LAYUP by GRUBBS,COBY(fastbreak)(in the paint)",RHODES 18-21 (+3),,"GOOD LAYUP by GRUBBS,COBY(fastbreak)(in the paint)",1
13:32,"TURNOVER  by BANKS,CALEB",,,,,,,"TURNOVER  by BANKS,CALEB",1
13:30,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
13:28,,18,,23 (+5),"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHODES 18-23 (+5),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
13:11,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",1
13:11,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
13:11,"SUB OUT by BANKS,CALEB",,,,,,,"SUB OUT by BANKS,CALEB",1
13:11,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
13:11,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
13:11,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
13:11,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
13:11,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
13:11,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:11,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
13:11,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:11,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
13:11,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
13:07,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",1
--,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",,,"REBOUND DEF by MCINTYRE,WILLIAM",1
13:05,,,,,"TURNOVER  by MCINTYRE,WILLIAM",,,"TURNOVER  by MCINTYRE,WILLIAM",1
13:00,,,,,"FOUL  by ROTEMAN,EVAN",,,"FOUL  by ROTEMAN,EVAN",1
12:43,"GOOD 3PTR by FERRELL,XAVIER",21,,23 (+2),,UTD 21-23 (+2),,"GOOD 3PTR by FERRELL,XAVIER",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
12:21,,,,,"MISS JUMPER by EVANS,ANDREW",,,"MISS JUMPER by EVANS,ANDREW",1
12:21,"BLOCK  by FORSTER,MICHAEL",,,,,,,"BLOCK  by FORSTER,MICHAEL",1
--,,,,,"REBOUND OFF by EVANS,ANDREW",,,"REBOUND OFF by EVANS,ANDREW",1
12:18,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",1
12:18,,,,,"MISS FT by EVANS,ANDREW",,,"MISS FT by EVANS,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:18,,21,,24 (+3),"GOOD FT by EVANS,ANDREW",RHODES 21-24 (+3),,"GOOD FT by EVANS,ANDREW",1
12:18,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
12:18,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",1
12:18,"SUB OUT by UNDERWOOD,DIMITRIUS",,,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",1
12:18,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",1
12:18,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:18,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
12:18,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
12:18,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
12:18,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:18,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
12:18,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
12:18,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
12:18,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
12:18,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
12:10,"GOOD LAYUP by HATCHER,JON(in the paint)",23,,24 (+1),,UTD 23-24 (+1),,"GOOD LAYUP by HATCHER,JON(in the paint)",1
--,"ASSIST  by FERRELL,XAVIER",,,,,,,"ASSIST  by FERRELL,XAVIER",1
11:54,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
11:52,"STEAL  by FERRELL,XAVIER",,,,,,,"STEAL  by FERRELL,XAVIER",1
11:49,"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",25 (+1),,24,,UTD 25-24 (-1),,"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",1
--,"ASSIST  by FERRELL,XAVIER",,,,,,,"ASSIST  by FERRELL,XAVIER",1
11:37,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
11:36,"STEAL  by FERRELL,XAVIER",,,,,,,"STEAL  by FERRELL,XAVIER",1
11:29,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
11:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:29,"GOOD FT by ALLEN,CURTIS",26 (+2),,24,,UTD 26-24 (-2),,"GOOD FT by ALLEN,CURTIS",1
11:29,"MISS FT by ALLEN,CURTIS",,,,,,,"MISS FT by ALLEN,CURTIS",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
11:29,,,,,"SUB IN by MINX,COLIN",,,"SUB IN by MINX,COLIN",1
11:29,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
11:29,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
11:29,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:29,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:29,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
11:29,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
11:29,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
11:29,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
11:29,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
11:24,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",1
11:24,"SUB OUT by FORSTER,MICHAEL",,,,,,,"SUB OUT by FORSTER,MICHAEL",1
11:17,,,,,"MISS LAYUP by NYAWATA,ANESU",,,"MISS LAYUP by NYAWATA,ANESU",1
11:17,"BLOCK  by PRUITT,KELDEN",,,,,,,"BLOCK  by PRUITT,KELDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:07,,26,,26,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 26-26 (0),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
10:57,"GOOD 3PTR by ALLEN,CURTIS",29 (+3),,26,,UTD 29-26 (-3),,"GOOD 3PTR by ALLEN,CURTIS",1
--,"ASSIST  by HATCHER,JON",,,,,,,"ASSIST  by HATCHER,JON",1
10:48,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:45,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
10:45,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
10:45,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
10:45,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
10:45,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
10:45,,,,,"SUB OUT by MINX,COLIN",,,"SUB OUT by MINX,COLIN",1
10:45,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
10:45,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
10:45,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
10:45,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:33,"MISS JUMPER by BURWITZ,HANS",,,,,,,"MISS JUMPER by BURWITZ,HANS",1
--,,,,,"REBOUND DEF by SWIFT,DJ",,,"REBOUND DEF by SWIFT,DJ",1
10:27,,29 (+1),,28,"GOOD LAYUP by SWIFT,DJ(fastbreak)(in the paint)",RHODES 29-28 (-1),,"GOOD LAYUP by SWIFT,DJ(fastbreak)(in the paint)",1
10:27,"FOUL  by ALLEN,CURTIS",,,,,,,"FOUL  by ALLEN,CURTIS",1
10:27,,,,,"MISS FT by SWIFT,DJ",,,"MISS FT by SWIFT,DJ",1
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",1
10:27,"SUB IN by BANKS,CALEB",,,,,,,"SUB IN by BANKS,CALEB",1
10:27,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
10:22,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
10:15,"TURNOVER  by ALLEN,CURTIS",,,,,,,"TURNOVER  by ALLEN,CURTIS",1
10:10,"SUB IN by UNDERWOOD,DIMITRIUS",,,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",1
10:10,"SUB OUT by ALLEN,CURTIS",,,,,,,"SUB OUT by ALLEN,CURTIS",1
10:10,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
10:10,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:10,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:10,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:10,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
10:10,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
10:10,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
10:10,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
10:10,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
10:10,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
09:54,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
09:53,"STEAL  by HATCHER,JON",,,,,,,"STEAL  by HATCHER,JON",1
09:50,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",31 (+3),,28,,UTD 31-28 (-3),,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",1
09:39,,31 (+1),,30,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 31-30 (-1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
09:24,"GOOD JUMPER by HATCHER,JON",33 (+3),,30,,UTD 33-30 (-3),,"GOOD JUMPER by HATCHER,JON",1
09:17,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
09:03,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",1
09:03,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",1
09:03,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
09:03,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
09:03,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
09:03,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
09:03,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
09:03,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
09:03,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
09:03,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
09:03,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
09:03,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:03,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
08:55,"TURNOVER  by BANKS,CALEB",,,,,,,"TURNOVER  by BANKS,CALEB",1
08:49,,,,,"TURNOVER  by FERIA,NICK DE",,,"TURNOVER  by FERIA,NICK DE",1
