Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:58,,0,,2 (+2),"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 0-2 (-2),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
19:48,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
19:46,,,,,"STEAL  by MOORE,MILES",,,"STEAL  by MOORE,MILES",1
19:43,,,,,"MISS LAYUP by MOORE,MILES",,,"MISS LAYUP by MOORE,MILES",1
--,,,,,"REBOUND OFF by JOHNSON,CALEB",,,"REBOUND OFF by JOHNSON,CALEB",1
19:26,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
19:26,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",1
19:26,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
19:26,,,,,"SUB IN by BIRDSONG,JAKE",,,"SUB IN by BIRDSONG,JAKE",1
19:26,,,,,"SUB OUT by BIRDSONG,JAKE",,,"SUB OUT by BIRDSONG,JAKE",1
19:26,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
19:26,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",1
19:26,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
19:22,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",1
19:22,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
19:22,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
19:10,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",2,,2,,RHODES 2-2 (0),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
19:02,,2,,4 (+2),"GOOD LAYUP by MOORE,MILES(in the paint)",BCM 2-4 (-2),,"GOOD LAYUP by MOORE,MILES(in the paint)",1
18:51,,,,,"FOUL  by MOORE,MILES",,,"FOUL  by MOORE,MILES",1
