Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:51,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
19:50,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
19:35,,0,,2 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
19:24,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
19:22,,,,,"STEAL  by NESTLEHUTT,JAKE",,,"STEAL  by NESTLEHUTT,JAKE",1
19:19,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
19:15,,,,,"MISS JUMPER by ASHBY,KENDRICK",,,"MISS JUMPER by ASHBY,KENDRICK",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
19:05,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
19:02,"GOOD 3PTR by SINE,TUCKER",3 (+1),,2,,CENTRE-M 3-2 (-1),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
18:46,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
18:38,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
18:38,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
18:38,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
18:38,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:38,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
18:38,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
18:38,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:38,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
18:38,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:38,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
18:31,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",5 (+3),,2,,CENTRE-M 5-2 (-3),,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
18:12,,,,,"MISS 3PTR by SAMSON,VAUGHN",,,"MISS 3PTR by SAMSON,VAUGHN",1
--,,,,,"REBOUND OFF by SAMSON,VAUGHN",,,"REBOUND OFF by SAMSON,VAUGHN",1
18:09,,5 (+1),,4,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 5-4 (-1),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
17:56,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
17:53,,5,,7 (+2),"GOOD 3PTR by DALTON,PRICE",RHODES 5-7 (+2),,"GOOD 3PTR by DALTON,PRICE",1
--,,,,,"ASSIST  by EVANS,ANDREW",,,"ASSIST  by EVANS,ANDREW",1
17:34,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
17:34,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
17:34,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
17:34,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
17:34,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
17:34,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
17:34,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
17:34,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
17:34,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
17:34,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
17:34,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
17:34,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
17:34,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
17:34,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
17:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
