Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:47,,,,,"MISS JUMPER by ROBERTS,JOSHUA",,,"MISS JUMPER by ROBERTS,JOSHUA",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
19:38,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2 (+2),,0,,RHODES 2-0 (+2),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
19:27,,,,,"MISS 3PTR by WEBBER,BRENT",,,"MISS 3PTR by WEBBER,BRENT",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
19:12,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND DEF by WEBBER,BRENT",,,"REBOUND DEF by WEBBER,BRENT",1
19:04,,2,,3 (+1),"GOOD 3PTR by HODUM,RICK(fastbreak)",BU 2-3 (-1),,"GOOD 3PTR by HODUM,RICK(fastbreak)",1
18:59,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
18:51,,,,,"MISS 3PTR by WEBBER,BRENT",,,"MISS 3PTR by WEBBER,BRENT",1
--,,,,,"REBOUND OFF by HODUM,RICK",,,"REBOUND OFF by HODUM,RICK",1
18:39,,,,,"MISS JUMPER by JONES,JUSTIN",,,"MISS JUMPER by JONES,JUSTIN",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
18:37,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",4 (+1),,3,,RHODES 4-3 (+1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
18:18,,4,,6 (+2),"GOOD 3PTR by HODUM,RICK",BU 4-6 (-2),,"GOOD 3PTR by HODUM,RICK",1
--,,,,,"ASSIST  by SR,KYLE PATTERSON",,,"ASSIST  by SR,KYLE PATTERSON",1
18:02,,,,,"FOUL  by SR,KYLE PATTERSON",,,"FOUL  by SR,KYLE PATTERSON",1
17:53,"TURNOVER  by LOVE,KERRY",,,,,,,"TURNOVER  by LOVE,KERRY",1
17:47,,,,,"STEAL  by ROBERTS,JOSHUA",,,"STEAL  by ROBERTS,JOSHUA",1
