Time Remaining,IWU,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:47,"GOOD DUNK by O'NEILL,ALEX(in the paint)",2 (+2),,0,,IWU 2-0 (-2),,"GOOD DUNK by O'NEILL,ALEX(in the paint)",1
--,"ASSIST  by BONNETT,COLIN",,,,,,,"ASSIST  by BONNETT,COLIN",1
19:38,,2,,2,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHODES 2-2 (0),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
19:26,"GOOD LAYUP by O'NEILL,ALEX(fastbreak)(in the paint)",4 (+2),,2,,IWU 4-2 (-2),,"GOOD LAYUP by O'NEILL,ALEX(fastbreak)(in the paint)",1
--,"ASSIST  by COLEMAN,NICK",,,,,,,"ASSIST  by COLEMAN,NICK",1
19:24,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
19:24,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
19:24,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
19:24,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
19:24,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
19:24,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
19:24,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:24,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
19:24,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
19:24,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:24,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
19:17,"GOOD LAYUP by O'NEILL,ALEX(in the paint)",6 (+4),,2,,IWU 6-2 (-4),,"GOOD LAYUP by O'NEILL,ALEX(in the paint)",1
--,"ASSIST  by COLEMAN,NICK",,,,,,,"ASSIST  by COLEMAN,NICK",1
18:59,,6 (+2),,4,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 6-4 (-2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
18:45,"MISS JUMPER by BONNETT,COLIN",,,,,,,"MISS JUMPER by BONNETT,COLIN",1
--,"REBOUND OFF by O'NEILL,ALEX",,,,,,,"REBOUND OFF by O'NEILL,ALEX",1
18:39,"MISS 3PTR by BONNETT,COLIN",,,,,,,"MISS 3PTR by BONNETT,COLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:37,"FOUL  by O'NEILL,ALEX",,,,,,,"FOUL  by O'NEILL,ALEX",1
18:17,,6,,6,"GOOD LAYUP by DALTON,PRICE(in the paint)",RHODES 6-6 (0),,"GOOD LAYUP by DALTON,PRICE(in the paint)",1
18:07,"GOOD DUNK by O'NEILL,ALEX(fastbreak)(in the paint)",8 (+2),,6,,IWU 8-6 (-2),,"GOOD DUNK by O'NEILL,ALEX(fastbreak)(in the paint)",1
--,"ASSIST  by ROSE,BRADY",,,,,,,"ASSIST  by ROSE,BRADY",1
17:44,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",1
17:42,"STEAL  by O'NEILL,ALEX",,,,,,,"STEAL  by O'NEILL,ALEX",1
17:39,"GOOD 3PTR by BONNETT,COLIN",11 (+5),,6,,IWU 11-6 (-5),,"GOOD 3PTR by BONNETT,COLIN",1
--,"ASSIST  by ROSE,BRADY",,,,,,,"ASSIST  by ROSE,BRADY",1
17:19,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
17:17,"STEAL  by COLEMAN,NICK",,,,,,,"STEAL  by COLEMAN,NICK",1
17:15,"TURNOVER  by ROSE,BRADY",,,,,,,"TURNOVER  by ROSE,BRADY",1
17:14,"SUB IN by BAKER,DANNY",,,,,,,"SUB IN by BAKER,DANNY",1
17:14,"SUB IN by KNOBLOCH,ZACH",,,,,,,"SUB IN by KNOBLOCH,ZACH",1
17:14,"SUB IN by WOLFE,GRANT",,,,,,,"SUB IN by WOLFE,GRANT",1
17:14,"SUB OUT by BONNETT,COLIN",,,,,,,"SUB OUT by BONNETT,COLIN",1
17:14,"SUB OUT by O'NEILL,ALEX",,,,,,,"SUB OUT by O'NEILL,ALEX",1
17:14,"SUB OUT by COLEMAN,NICK",,,,,,,"SUB OUT by COLEMAN,NICK",1
17:14,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
17:14,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
17:14,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
17:14,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
17:14,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
17:14,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
17:14,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
17:14,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
17:14,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
17:14,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
16:47,,11 (+3),,8,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 11-8 (-3),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
16:41,"MISS 3PTR by ROSE,BRADY",,,,,,,"MISS 3PTR by ROSE,BRADY",1
--,"REBOUND OFF by BAKER,DANNY",,,,,,,"REBOUND OFF by BAKER,DANNY",1
16:36,"MISS JUMPER by BAKER,DANNY",,,,,,,"MISS JUMPER by BAKER,DANNY",1
16:36,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:33,"GOOD 3PTR by BEASLEY,JAYLEN",14 (+6),,8,,IWU 14-8 (-6),,"GOOD 3PTR by BEASLEY,JAYLEN",1
--,"ASSIST  by ROSE,BRADY",,,,,,,"ASSIST  by ROSE,BRADY",1
16:16,,14 (+4),,10,"GOOD JUMPER by EVANS,ANDREW(in the paint)",RHODES 14-10 (-4),,"GOOD JUMPER by EVANS,ANDREW(in the paint)",1
16:02,"MISS JUMPER by WOLFE,GRANT",,,,,,,"MISS JUMPER by WOLFE,GRANT",1
16:02,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:02,"SUB IN by CURRY,MILES",,,,,,,"SUB IN by CURRY,MILES",1
16:02,"SUB OUT by BEASLEY,JAYLEN",,,,,,,"SUB OUT by BEASLEY,JAYLEN",1
16:02,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
16:02,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:02,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
16:02,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:02,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:02,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
16:02,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
16:02,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:02,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
16:02,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
15:42,"MISS 3PTR by ROSE,BRADY",,,,,,,"MISS 3PTR by ROSE,BRADY",1
--,"REBOUND OFF by CURRY,MILES",,,,,,,"REBOUND OFF by CURRY,MILES",1
15:35,"MISS 3PTR by ROSE,BRADY",,,,,,,"MISS 3PTR by ROSE,BRADY",1
--,,,,,"REBOUND DEF by NYAWATA,ANESU",,,"REBOUND DEF by NYAWATA,ANESU",1
15:06,,,,,"MISS JUMPER by ASHBY,KENDRICK",,,"MISS JUMPER by ASHBY,KENDRICK",1
--,"REBOUND DEF by WOLFE,GRANT",,,,,,,"REBOUND DEF by WOLFE,GRANT",1
