Time Remaining,HPU,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:43,"MISS 3PTR by HURD,DE'MARCUS",,,,,,,"MISS 3PTR by HURD,DE'MARCUS",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
19:32,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
19:29,"STEAL  by RANDALL,KHYCE",,,,,,,"STEAL  by RANDALL,KHYCE",1
19:26,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",2 (+2),,0,,HPU 2-0 (-2),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
19:10,,2,,2,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 2-2 (0),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
19:02,"TURNOVER  by COLE,SHADD",,,,,,,"TURNOVER  by COLE,SHADD",1
19:01,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
18:57,"FOUL  by COLE,SHADD",,,,,,,"FOUL  by COLE,SHADD",1
18:57,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:57,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
18:57,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
18:57,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
18:57,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
18:57,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
18:57,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
18:57,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
18:57,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
18:57,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
18:54,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
18:40,"MISS JUMPER by RANDALL,KHYCE",,,,,,,"MISS JUMPER by RANDALL,KHYCE",1
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",1
18:38,"MISS JUMPER by HURD,DE'MARCUS",,,,,,,"MISS JUMPER by HURD,DE'MARCUS",1
--,,,,,"REBOUND DEF by SWIFT,DJ",,,"REBOUND DEF by SWIFT,DJ",1
18:23,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
18:21,,2,,4 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 2-4 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
18:03,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",1
18:03,"GOOD FT by HURD,DE'MARCUS",3,,4 (+1),,HPU 3-4 (+1),,"GOOD FT by HURD,DE'MARCUS",1
18:03,"MISS FT by HURD,DE'MARCUS",,,,,,,"MISS FT by HURD,DE'MARCUS",1
--,,,,,"REBOUND DEF by FERIA,NICK DE",,,"REBOUND DEF by FERIA,NICK DE",1
18:03,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
18:03,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
18:03,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
18:03,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
18:03,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
18:03,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:03,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
18:03,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:03,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
18:03,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
17:55,,3,,7 (+4),"GOOD 3PTR by SAMSON,VAUGHN",RHODES 3-7 (+4),,"GOOD 3PTR by SAMSON,VAUGHN",1
--,,,,,"ASSIST  by MCINTYRE,WILLIAM",,,"ASSIST  by MCINTYRE,WILLIAM",1
17:36,"MISS JUMPER by RANDALL,KHYCE",,,,,,,"MISS JUMPER by RANDALL,KHYCE",1
--,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",,,"REBOUND DEF by MCINTYRE,WILLIAM",1
17:26,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,"REBOUND DEF by RANDALL,KHYCE",,,,,,,"REBOUND DEF by RANDALL,KHYCE",1
17:22,,,,,"FOUL  by MCINTYRE,WILLIAM",,,"FOUL  by MCINTYRE,WILLIAM",1
17:22,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:22,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
17:22,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
17:22,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
17:22,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
17:22,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
17:22,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
17:22,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
17:22,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
17:22,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
17:22,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
17:21,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",1
--,"REBOUND DEF by OTTS,COLTON",,,,,,,"REBOUND DEF by OTTS,COLTON",1
17:17,"TURNOVER  by OTTS,COLTON",,,,,,,"TURNOVER  by OTTS,COLTON",1
17:05,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by RANDALL,KHYCE",,,,,,,"REBOUND DEF by RANDALL,KHYCE",1
16:52,"GOOD LAYUP by DAVIS,TALEN(in the paint)",5,,7 (+2),,HPU 5-7 (+2),,"GOOD LAYUP by DAVIS,TALEN(in the paint)",1
--,"ASSIST  by OTTS,COLTON",,,,,,,"ASSIST  by OTTS,COLTON",1
16:44,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by OTTS,COLTON",,,,,,,"REBOUND DEF by OTTS,COLTON",1
16:37,"GOOD LAYUP by HURD,DE'MARCUS(fastbreak)(in the paint)",7,,7,,HPU 7-7 (0),,"GOOD LAYUP by HURD,DE'MARCUS(fastbreak)(in the paint)",1
--,"ASSIST  by DAVIS,TALEN",,,,,,,"ASSIST  by DAVIS,TALEN",1
16:34,"SUB IN by OTTS,COLTON",,,,,,,"SUB IN by OTTS,COLTON",1
16:34,"SUB OUT by BINGHAM,THOMAS",,,,,,,"SUB OUT by BINGHAM,THOMAS",1
16:32,,7,,9 (+2),"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 7-9 (+2),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
16:23,"TURNOVER  by RANDALL,KHYCE",,,,,,,"TURNOVER  by RANDALL,KHYCE",1
16:21,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
16:19,"FOUL  by RANDALL,KHYCE",,,,,,,"FOUL  by RANDALL,KHYCE",1
16:19,,,,,"MISS FT by GALVIN,OWEN",,,"MISS FT by GALVIN,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:19,,7,,10 (+3),"GOOD FT by GALVIN,OWEN",RHODES 7-10 (+3),,"GOOD FT by GALVIN,OWEN",1
16:19,"SUB IN by FARMER,DARREN",,,,,,,"SUB IN by FARMER,DARREN",1
16:19,"SUB OUT by DAVIS,TALEN",,,,,,,"SUB OUT by DAVIS,TALEN",1
16:19,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:19,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
16:19,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:19,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:19,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
16:19,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
16:19,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:19,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:19,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
16:19,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
16:13,"MISS JUMPER by FARMER,DARREN",,,,,,,"MISS JUMPER by FARMER,DARREN",1
16:13,,,,,"BLOCK  by ASHBY,KENDRICK",,,"BLOCK  by ASHBY,KENDRICK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:06,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
16:06,"MISS FT by OTTS,COLTON",,,,,,,"MISS FT by OTTS,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:06,"MISS FT by OTTS,COLTON",,,,,,,"MISS FT by OTTS,COLTON",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
15:57,,7,,13 (+6),"GOOD 3PTR by BERRY,BRYCE",RHODES 7-13 (+6),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
15:44,"TURNOVER  by RANDALL,KHYCE",,,,,,,"TURNOVER  by RANDALL,KHYCE",1
15:41,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
15:39,,7,,15 (+8),"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHODES 7-15 (+8),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
15:33,"TURNOVER  by COLE,SHADD",,,,,,,"TURNOVER  by COLE,SHADD",1
15:31,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
15:28,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
15:22,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:21,"SUB IN by COOPER,DRAKE",,,,,,,"SUB IN by COOPER,DRAKE",1
15:21,"SUB IN by AGUERO,TIMOTHY",,,,,,,"SUB IN by AGUERO,TIMOTHY",1
15:21,"SUB IN by BINGHAM,THOMAS",,,,,,,"SUB IN by BINGHAM,THOMAS",1
15:21,"SUB OUT by FARMER,DARREN",,,,,,,"SUB OUT by FARMER,DARREN",1
15:21,"SUB OUT by OTTS,COLTON",,,,,,,"SUB OUT by OTTS,COLTON",1
15:21,"SUB OUT by HURD,DE'MARCUS",,,,,,,"SUB OUT by HURD,DE'MARCUS",1
15:21,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
15:21,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
15:21,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
15:21,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
15:21,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
15:21,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
15:21,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
15:21,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:21,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:21,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
15:10,,,,,"MISS JUMPER by HARRISON,IAN",,,"MISS JUMPER by HARRISON,IAN",1
--,"REBOUND DEF by BINGHAM,THOMAS",,,,,,,"REBOUND DEF by BINGHAM,THOMAS",1
15:05,"TURNOVER  by AGUERO,TIMOTHY",,,,,,,"TURNOVER  by AGUERO,TIMOTHY",1
15:04,,,,,"STEAL  by LOVE,KERRY",,,"STEAL  by LOVE,KERRY",1
14:44,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
14:44,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
14:44,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:44,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
14:44,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
14:44,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
14:44,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
