Time Remaining,VCMB1718,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:54,,0,,2 (+2),"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
19:42,"GOOD LAYUP by GRINDE,PAUL(fastbreak)(in the paint)",2,,2,,VCMB1718 2-2 (0),,"GOOD LAYUP by GRINDE,PAUL(fastbreak)(in the paint)",1
--,"ASSIST  by TEBAY,LANCE",,,,,,,"ASSIST  by TEBAY,LANCE",1
19:32,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by SEFF,ALEX",,,,,,,"REBOUND DEF by SEFF,ALEX",1
19:23,"TURNOVER  by TEBAY,LANCE",,,,,,,"TURNOVER  by TEBAY,LANCE",1
19:22,,,,,"STEAL  by GALVIN,OWEN",,,"STEAL  by GALVIN,OWEN",1
19:18,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
19:17,"STEAL  by SEFF,ALEX",,,,,,,"STEAL  by SEFF,ALEX",1
19:11,"GOOD LAYUP by TEBAY,LANCE(in the paint)",4 (+2),,2,,VCMB1718 4-2 (-2),,"GOOD LAYUP by TEBAY,LANCE(in the paint)",1
19:10,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
19:10,"GOOD FT by TEBAY,LANCE",5 (+3),,2,,VCMB1718 5-2 (-3),,"GOOD FT by TEBAY,LANCE",1
19:10,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
19:10,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
19:10,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
19:10,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
19:10,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
19:10,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
19:10,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:10,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
19:10,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
19:10,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
19:01,,5 (+1),,4,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 5-4 (-1),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
18:55,"TURNOVER  by MURRAY,OWEN",,,,,,,"TURNOVER  by MURRAY,OWEN",1
18:51,,5,,6 (+1),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 5-6 (+1),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
18:39,"GOOD LAYUP by GRINDE,PAUL(in the paint)",7 (+1),,6,,VCMB1718 7-6 (-1),,"GOOD LAYUP by GRINDE,PAUL(in the paint)",1
--,"ASSIST  by TEBAY,LANCE",,,,,,,"ASSIST  by TEBAY,LANCE",1
18:25,,,,,"MISS 3PTR by ASHBY,KENDRICK",,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:21,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
18:21,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
18:21,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
18:21,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
18:21,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
18:21,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:21,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
18:21,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
18:21,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:21,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:20,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND OFF by LOVE,KERRY",,,"REBOUND OFF by LOVE,KERRY",1
18:16,,7,,8 (+1),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHODES 7-8 (+1),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
18:02,"MISS JUMPER by GRINDE,PAUL",,,,,,,"MISS JUMPER by GRINDE,PAUL",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
17:48,,7,,11 (+4),"GOOD 3PTR by EVANS,ANDREW",RHODES 7-11 (+4),,"GOOD 3PTR by EVANS,ANDREW",1
--,,,,,"ASSIST  by FERIA,NICK DE",,,"ASSIST  by FERIA,NICK DE",1
17:39,"TURNOVER  by GRINDE,PAUL",,,,,,,"TURNOVER  by GRINDE,PAUL",1
17:37,,,,,"STEAL  by SAMSON,VAUGHN",,,"STEAL  by SAMSON,VAUGHN",1
17:27,,7,,13 (+6),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHODES 7-13 (+6),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
17:15,"GOOD LAYUP by GRINDE,PAUL(fastbreak)(in the paint)",9,,13 (+4),,VCMB1718 9-13 (+4),,"GOOD LAYUP by GRINDE,PAUL(fastbreak)(in the paint)",1
--,"ASSIST  by BROWNE,JESSE",,,,,,,"ASSIST  by BROWNE,JESSE",1
16:58,,,,,"MISS 3PTR by LOVE,KERRY",,,"MISS 3PTR by LOVE,KERRY",1
--,"REBOUND DEF by MURRAY,OWEN",,,,,,,"REBOUND DEF by MURRAY,OWEN",1
16:46,"TURNOVER  by MURRAY,OWEN",,,,,,,"TURNOVER  by MURRAY,OWEN",1
16:45,"SUB IN by BROMFELD,ZACH",,,,,,,"SUB IN by BROMFELD,ZACH",1
16:45,"SUB OUT by GRINDE,PAUL",,,,,,,"SUB OUT by GRINDE,PAUL",1
16:45,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:45,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:45,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
16:45,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:45,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:45,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
16:45,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
16:45,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
16:45,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:45,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
16:38,,9,,15 (+6),"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHODES 9-15 (+6),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"ASSIST  by GIROUX,PRESTON",,,"ASSIST  by GIROUX,PRESTON",1
16:28,"GOOD DUNK by BROMFELD,ZACH(fastbreak)(in the paint)",11,,15 (+4),,VCMB1718 11-15 (+4),,"GOOD DUNK by BROMFELD,ZACH(fastbreak)(in the paint)",1
--,"ASSIST  by BROWNE,JESSE",,,,,,,"ASSIST  by BROWNE,JESSE",1
16:13,,,,,"MISS LAYUP by GALVIN,OWEN",,,"MISS LAYUP by GALVIN,OWEN",1
--,"REBOUND DEF by TEBAY,LANCE",,,,,,,"REBOUND DEF by TEBAY,LANCE",1
16:07,"GOOD LAYUP by BROMFELD,ZACH(fastbreak)(in the paint)",13,,15 (+2),,VCMB1718 13-15 (+2),,"GOOD LAYUP by BROMFELD,ZACH(fastbreak)(in the paint)",1
--,"ASSIST  by TEBAY,LANCE",,,,,,,"ASSIST  by TEBAY,LANCE",1
15:59,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by SEFF,ALEX",,,,,,,"REBOUND DEF by SEFF,ALEX",1
15:47,"TURNOVER  by TEBAY,LANCE",,,,,,,"TURNOVER  by TEBAY,LANCE",1
15:45,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
15:41,,13,,18 (+5),"GOOD 3PTR by BERRY,BRYCE",RHODES 13-18 (+5),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,"SUB IN by GETTINGS,HUNTER",,,,,,,"SUB IN by GETTINGS,HUNTER",1
15:31,"SUB IN by BROWNRIDGE,JOSH",,,,,,,"SUB IN by BROWNRIDGE,JOSH",1
15:31,"SUB OUT by TEBAY,LANCE",,,,,,,"SUB OUT by TEBAY,LANCE",1
15:31,"SUB OUT by SEFF,ALEX",,,,,,,"SUB OUT by SEFF,ALEX",1
15:31,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
