Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
17:06,,,,,"SUB OUT by HADDEN,SKYLER",,,"SUB OUT by HADDEN,SKYLER",1
17:06,,,,,"SUB OUT by ANTHONY,MELVIN",,,"SUB OUT by ANTHONY,MELVIN",1
17:06,,,,,"SUB OUT by OBUKWELU,EMEKA",,,"SUB OUT by OBUKWELU,EMEKA",1
17:06,,,,,"SUB OUT by FRANK,CAMERON",,,"SUB OUT by FRANK,CAMERON",1
16:58,,,,,"FOUL  by MOHAMED,OMAR",,,"FOUL  by MOHAMED,OMAR",1
16:54,"TURNOVER  by MCINTYRE,WILLIAM",,,,,,,"TURNOVER  by MCINTYRE,WILLIAM",1
16:54,"FOUL  by MCINTYRE,WILLIAM",,,,,,,"FOUL  by MCINTYRE,WILLIAM",1
16:43,,8 (+1),,7,"GOOD LAYUP by GREEN-GASKIN,JAMAL(fastbreak)(in the paint)",UTT 8-7 (+1),,"GOOD LAYUP by GREEN-GASKIN,JAMAL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MASON,CHASE",,,"ASSIST  by MASON,CHASE",1
16:25,"TURNOVER  by MCINTYRE,WILLIAM",,,,,,,"TURNOVER  by MCINTYRE,WILLIAM",1
16:23,,,,,"STEAL  by MOHAMED,OMAR",,,"STEAL  by MOHAMED,OMAR",1
16:21,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
16:21,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:21,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:21,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
16:21,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:21,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:21,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
16:21,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
16:21,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
16:21,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
16:16,,,,,"MISS LAYUP by MASON,CHASE",,,"MISS LAYUP by MASON,CHASE",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
16:07,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
16:07,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
15:58,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
15:58,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
