Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UCSCM,Game Score,Team Indicator,Play,Period
13:42,,,,,"MISS 3PTR by TOWNSEND,JAMES",,,"MISS 3PTR by TOWNSEND,JAMES",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
13:19,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND OFF by SULLIVAN,BRENNAN",,,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",1
13:07,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",1
13:07,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
12:40,"MISS JUMPER by COLLINS,LUKE",,,,,,,"MISS JUMPER by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by MARLOW,ADAM",,,"REBOUND DEF by MARLOW,ADAM",1
12:31,,,,,"MISS 3PTR by TOWNSEND,JAMES",,,"MISS 3PTR by TOWNSEND,JAMES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:25,,,,,"SUB IN by CILIA,COREY",,,"SUB IN by CILIA,COREY",1
12:25,,,,,"SUB IN by PONCE,MATTHEW",,,"SUB IN by PONCE,MATTHEW",1
12:25,,,,,"SUB OUT by PONCE,JARED",,,"SUB OUT by PONCE,JARED",1
12:25,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",1
12:14,,,,,"MISS LAYUP by TOWNSEND,JAMES",,,"MISS LAYUP by TOWNSEND,JAMES",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
12:01,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",1
--,,,,,"REBOUND DEF by PONCE,MATTHEW",,,"REBOUND DEF by PONCE,MATTHEW",1
11:51,,,,,"MISS LAYUP by TOWNSEND,JAMES",,,"MISS LAYUP by TOWNSEND,JAMES",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
11:43,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",1
--,,,,,"REBOUND DEF by HOLLER,DYLAN",,,"REBOUND DEF by HOLLER,DYLAN",1
11:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:39,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
11:39,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:39,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
11:39,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
11:39,,,,,"SUB IN by CREIGHTON,KYLE",,,"SUB IN by CREIGHTON,KYLE",1
11:39,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",1
11:39,,,,,"SUB OUT by HOLLER,DYLAN",,,"SUB OUT by HOLLER,DYLAN",1
11:39,,,,,"SUB OUT by TOWNSEND,JAMES",,,"SUB OUT by TOWNSEND,JAMES",1
11:25,,,,,"MISS JUMPER by WESTON,TRE",,,"MISS JUMPER by WESTON,TRE",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
11:12,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",1
11:12,"GOOD FT by HOECK,RYAN VAN",6,,7 (+1),,RHODES 6-7 (-1),,"GOOD FT by HOECK,RYAN VAN",1
11:12,"MISS FT by HOECK,RYAN VAN",,,,,,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by CILIA,COREY",,,"REBOUND DEF by CILIA,COREY",1
10:46,,,,,"TURNOVER  by CREIGHTON,KYLE",,,"TURNOVER  by CREIGHTON,KYLE",1
10:37,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
10:37,,,,,"SUB IN by ZUR,ILAN",,,"SUB IN by ZUR,ILAN",1
10:37,,,,,"SUB OUT by JR,MARSHAL ARWINE",,,"SUB OUT by JR,MARSHAL ARWINE",1
10:17,,,,,"MISS 3PTR by CILIA,COREY",,,"MISS 3PTR by CILIA,COREY",1
--,,,,,"REBOUND OFF by WESTON,TRE",,,"REBOUND OFF by WESTON,TRE",1
10:16,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
10:13,,6,,10 (+4),"GOOD 3PTR by CILIA,COREY",UCSCM 6-10 (-4),,"GOOD 3PTR by CILIA,COREY",1
--,,,,,"ASSIST  by PONCE,MATTHEW",,,"ASSIST  by PONCE,MATTHEW",1
09:39,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
09:39,,,,,"BLOCK  by CREIGHTON,KYLE",,,"BLOCK  by CREIGHTON,KYLE",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
09:33,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",1
09:33,"GOOD FT by HOECK,RYAN VAN",7,,10 (+3),,RHODES 7-10 (-3),,"GOOD FT by HOECK,RYAN VAN",1
09:33,"MISS FT by HOECK,RYAN VAN",,,,,,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by CREIGHTON,KYLE",,,"REBOUND DEF by CREIGHTON,KYLE",1
09:33,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
09:33,"SUB OUT by BLISS,DYLAN",,,,,,,"SUB OUT by BLISS,DYLAN",1
09:29,,,,,"TURNOVER  by PONCE,MATTHEW",,,"TURNOVER  by PONCE,MATTHEW",1
09:28,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
09:24,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:07,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",1
09:07,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:07,"GOOD FT by LIVSEY,GEOFF",8,,10 (+2),,RHODES 8-10 (-2),,"GOOD FT by LIVSEY,GEOFF",1
09:07,,,,,"SUB IN by TOWNSEND,JAMES",,,"SUB IN by TOWNSEND,JAMES",1
09:07,,,,,"SUB OUT by CREIGHTON,KYLE",,,"SUB OUT by CREIGHTON,KYLE",1
08:32,,,,,"MISS LAYUP by ZUR,ILAN",,,"MISS LAYUP by ZUR,ILAN",1
08:32,"BLOCK  by SLEDGE,TATE",,,,,,,"BLOCK  by SLEDGE,TATE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:32,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
08:32,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
08:32,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
08:25,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
08:25,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
08:25,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
08:25,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
08:19,,,,,"TURNOVER  by TOWNSEND,JAMES",,,"TURNOVER  by TOWNSEND,JAMES",1
08:19,,,,,"SUB IN by PONCE,JARED",,,"SUB IN by PONCE,JARED",1
08:19,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",1
08:11,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",1
07:56,,8,,12 (+4),"GOOD JUMPER by PONCE,JARED(in the paint)",UCSCM 8-12 (-4),,"GOOD JUMPER by PONCE,JARED(in the paint)",1
--,,,,,"ASSIST  by PONCE,MATTHEW",,,"ASSIST  by PONCE,MATTHEW",1
07:45,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",1
07:26,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
07:14,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
07:14,,,,,"BLOCK  by WESTON,TRE",,,"BLOCK  by WESTON,TRE",1
--,,,,,"REBOUND DEF by TOWNSEND,JAMES",,,"REBOUND DEF by TOWNSEND,JAMES",1
06:58,,,,,"MISS 3PTR by TOWNSEND,JAMES",,,"MISS 3PTR by TOWNSEND,JAMES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:55,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
06:55,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
06:55,,,,,"SUB IN by MARLOW,ADAM",,,"SUB IN by MARLOW,ADAM",1
06:55,,,,,"SUB OUT by PONCE,MATTHEW",,,"SUB OUT by PONCE,MATTHEW",1
06:34,,,,,"FOUL  by MARLOW,ADAM",,,"FOUL  by MARLOW,ADAM",1
06:34,,,,,"SUB IN by PONCE,MATTHEW",,,"SUB IN by PONCE,MATTHEW",1
06:34,,,,,"SUB IN by JR,MARSHAL ARWINE",,,"SUB IN by JR,MARSHAL ARWINE",1
06:34,,,,,"SUB IN by HOLLER,DYLAN",,,"SUB IN by HOLLER,DYLAN",1
06:34,,,,,"SUB OUT by ZUR,ILAN",,,"SUB OUT by ZUR,ILAN",1
06:34,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",1
06:34,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",1
06:22,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
05:57,,,,,"MISS 3PTR by HOLLER,DYLAN",,,"MISS 3PTR by HOLLER,DYLAN",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
05:46,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,"REBOUND OFF by BUTTS,KEYSHAWN",,,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",1
05:31,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by PONCE,JARED",,,"REBOUND DEF by PONCE,JARED",1
05:08,,,,,"MISS JUMPER by TOWNSEND,JAMES",,,"MISS JUMPER by TOWNSEND,JAMES",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
04:44,"GOOD JUMPER by MILLER,DREW",10,,12 (+2),,RHODES 10-12 (-2),,"GOOD JUMPER by MILLER,DREW",1
04:20,,,,,"MISS LAYUP by PONCE,JARED",,,"MISS LAYUP by PONCE,JARED",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:20,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
04:20,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
04:20,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
04:20,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
04:20,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
04:20,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",1
04:20,,,,,"SUB OUT by TOWNSEND,JAMES",,,"SUB OUT by TOWNSEND,JAMES",1
04:12,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",1
04:12,"BLOCK  by SLEDGE,TATE",,,,,,,"BLOCK  by SLEDGE,TATE",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
04:01,"TURNOVER  by BUTTS,KEYSHAWN",,,,,,,"TURNOVER  by BUTTS,KEYSHAWN",1
04:00,,,,,"STEAL  by WESTON,TRE",,,"STEAL  by WESTON,TRE",1
03:42,,,,,"MISS LAYUP by HOLLER,DYLAN",,,"MISS LAYUP by HOLLER,DYLAN",1
--,,,,,"REBOUND OFF by WESTON,TRE",,,"REBOUND OFF by WESTON,TRE",1
03:36,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",1
03:36,,10,,13 (+3),"GOOD FT by PONCE,MATTHEW",UCSCM 10-13 (-3),,"GOOD FT by PONCE,MATTHEW",1
03:36,,,,,"MISS FT by PONCE,MATTHEW",,,"MISS FT by PONCE,MATTHEW",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
03:36,,,,,"SUB IN by CILIA,COREY",,,"SUB IN by CILIA,COREY",1
03:36,,,,,"SUB OUT by JR,MARSHAL ARWINE",,,"SUB OUT by JR,MARSHAL ARWINE",1
03:14,"GOOD 3PTR by MILLER,DREW",13,,13,,RHODES 13-13 (0),,"GOOD 3PTR by MILLER,DREW",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
03:05,,,,,"TURNOVER  by PONCE,MATTHEW",,,"TURNOVER  by PONCE,MATTHEW",1
03:03,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
03:01,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
02:58,"GOOD TIPIN by LIVSEY,GEOFF(fastbreak)(in the paint)",15 (+2),,13,,RHODES 15-13 (+2),,"GOOD TIPIN by LIVSEY,GEOFF(fastbreak)(in the paint)",1
02:37,,,,,"TURNOVER  by PONCE,MATTHEW",,,"TURNOVER  by PONCE,MATTHEW",1
02:36,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
02:30,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
02:30,,,,,"BLOCK  by HOLLER,DYLAN",,,"BLOCK  by HOLLER,DYLAN",1
--,,,,,"REBOUND OFF by JR,MARSHAL ARWINE",,,"REBOUND OFF by JR,MARSHAL ARWINE",1
02:28,,,,,"MISS LAYUP by JR,MARSHAL ARWINE",,,"MISS LAYUP by JR,MARSHAL ARWINE",1
--,,,,,"REBOUND OFF by PONCE,JARED",,,"REBOUND OFF by PONCE,JARED",1
02:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:28,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
02:28,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
02:28,,,,,"SUB IN by TOWNSEND,JAMES",,,"SUB IN by TOWNSEND,JAMES",1
02:28,,,,,"SUB IN by MARLOW,ADAM",,,"SUB IN by MARLOW,ADAM",1
02:28,,,,,"SUB OUT by PONCE,MATTHEW",,,"SUB OUT by PONCE,MATTHEW",1
02:28,,,,,"SUB OUT by HOLLER,DYLAN",,,"SUB OUT by HOLLER,DYLAN",1
02:14,,,,,"MISS 3PTR by MARLOW,ADAM",,,"MISS 3PTR by MARLOW,ADAM",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
02:01,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",17 (+4),,13,,RHODES 17-13 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
01:41,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
01:34,"GOOD LAYUP by MILLER,DREW(in the paint)",19 (+6),,13,,RHODES 19-13 (+6),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
01:09,,,,,"MISS LAYUP by WESTON,TRE",,,"MISS LAYUP by WESTON,TRE",1
01:09,"BLOCK  by SLEDGE,TATE",,,,,,,"BLOCK  by SLEDGE,TATE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:55,"GOOD JUMPER by SULLIVAN,BRENNAN",21 (+8),,13,,RHODES 21-13 (+8),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
00:35,,21 (+5),,16,"GOOD 3PTR by PONCE,JARED",UCSCM 21-16 (+5),,"GOOD 3PTR by PONCE,JARED",1
--,,,,,"ASSIST  by TOWNSEND,JAMES",,,"ASSIST  by TOWNSEND,JAMES",1
00:06,,,,,"FOUL  by PONCE,JARED",,,"FOUL  by PONCE,JARED",1
00:06,,,,,"SUB IN by PONCE,MATTHEW",,,"SUB IN by PONCE,MATTHEW",1
00:06,,,,,"SUB IN by JR,MARSHAL ARWINE",,,"SUB IN by JR,MARSHAL ARWINE",1
00:06,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",1
00:06,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",1
00:01,"GOOD JUMPER by MILLER,DREW",23 (+7),,16,,RHODES 23-16 (+7),,"GOOD JUMPER by MILLER,DREW",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
00:01,,,,,"FOUL  by JR,MARSHAL ARWINE",,,"FOUL  by JR,MARSHAL ARWINE",1
00:01,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
00:01,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
00:01,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
19:37,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",2
--,"REBOUND OFF by COLLINS,LUKE",,,,,,,"REBOUND OFF by COLLINS,LUKE",2
19:25,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
19:23,,,,,"STEAL  by TOWNSEND,JAMES",,,"STEAL  by TOWNSEND,JAMES",2
18:58,,,,,"MISS 3PTR by CREIGHTON,KYLE",,,"MISS 3PTR by CREIGHTON,KYLE",2
--,,,,,"REBOUND OFF by TOWNSEND,JAMES",,,"REBOUND OFF by TOWNSEND,JAMES",2
18:56,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
18:56,,,,,"MISS FT by TOWNSEND,JAMES",,,"MISS FT by TOWNSEND,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:56,,,,,"MISS FT by TOWNSEND,JAMES",,,"MISS FT by TOWNSEND,JAMES",2
--,,,,,"REBOUND OFF by WESTON,TRE",,,"REBOUND OFF by WESTON,TRE",2
18:55,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
18:55,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",2
18:18,,,,,"FOUL  by TOWNSEND,JAMES",,,"FOUL  by TOWNSEND,JAMES",2
18:18,"GOOD FT by MILLER,DREW",24 (+8),,16,,RHODES 24-16 (+8),,"GOOD FT by MILLER,DREW",2
18:18,"GOOD FT by MILLER,DREW",25 (+9),,16,,RHODES 25-16 (+9),,"GOOD FT by MILLER,DREW",2
18:03,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
18:03,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
18:03,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
17:45,,25 (+7),,18,"GOOD LAYUP by WESTON,TRE(in the paint)",UCSCM 25-18 (+7),,"GOOD LAYUP by WESTON,TRE(in the paint)",2
--,,,,,"ASSIST  by TOWNSEND,JAMES",,,"ASSIST  by TOWNSEND,JAMES",2
17:26,"GOOD JUMPER by HOECK,RYAN VAN",27 (+9),,18,,RHODES 27-18 (+9),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
17:09,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
17:00,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
16:46,,,,,"MISS JUMPER by CREIGHTON,KYLE",,,"MISS JUMPER by CREIGHTON,KYLE",2
--,,,,,"REBOUND OFF by TOWNSEND,JAMES",,,"REBOUND OFF by TOWNSEND,JAMES",2
