Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
16:41,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:37,"TURNOVER  by DORHAUER,RICHARD",,,,,,,"TURNOVER  by DORHAUER,RICHARD",1
16:36,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
16:31,"FOUL  by RUCKER,DARIUS",,,,,,,"FOUL  by RUCKER,DARIUS",1
16:27,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND DEF by DORHAUER,RICHARD",,,,,,,"REBOUND DEF by DORHAUER,RICHARD",1
16:04,"MISS 3PTR by DORHAUER,RICHARD",,,,,,,"MISS 3PTR by DORHAUER,RICHARD",1
--,"REBOUND OFF by RUCKER,DARIUS",,,,,,,"REBOUND OFF by RUCKER,DARIUS",1
16:01,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",4 (+2),,2,,FUM 4-2 (-2),,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",1
15:43,,,,,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",1
--,"REBOUND DEF by RUCKER,DARIUS",,,,,,,"REBOUND DEF by RUCKER,DARIUS",1
15:25,"MISS 3PTR by MCDOWELL,GARRETT",,,,,,,"MISS 3PTR by MCDOWELL,GARRETT",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
15:05,,4,,5 (+1),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 4-5 (+1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
14:44,"MISS JUMPER by MCDOWELL,GARRETT",,,,,,,"MISS JUMPER by MCDOWELL,GARRETT",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
14:30,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by SCHIRMER,COLIN",,,,,,,"REBOUND DEF by SCHIRMER,COLIN",1
14:10,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
14:10,"SUB IN by DJONA,LELIS",,,,,,,"SUB IN by DJONA,LELIS",1
14:10,"SUB IN by BAKIS,ORKAN",,,,,,,"SUB IN by BAKIS,ORKAN",1
14:10,"SUB IN by LAKE,JACK",,,,,,,"SUB IN by LAKE,JACK",1
14:10,"SUB OUT by RUCKER,DARIUS",,,,,,,"SUB OUT by RUCKER,DARIUS",1
14:10,"SUB OUT by SCHIRMER,COLIN",,,,,,,"SUB OUT by SCHIRMER,COLIN",1
14:10,"SUB OUT by MCDOWELL,GARRETT",,,,,,,"SUB OUT by MCDOWELL,GARRETT",1
14:10,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",1
14:10,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
14:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:10,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
14:00,"GOOD JUMPER by DORHAUER,RICHARD",6 (+1),,5,,FUM 6-5 (-1),,"GOOD JUMPER by DORHAUER,RICHARD",1
13:36,,6,,7 (+1),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 6-7 (+1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
13:10,"TURNOVER  by LAKE,JACK",,,,,,,"TURNOVER  by LAKE,JACK",1
13:10,"SUB IN by WILLIAMS,K TYLER",,,,,,,"SUB IN by WILLIAMS,K TYLER",1
13:10,"SUB IN by JOHNSON,EVAN",,,,,,,"SUB IN by JOHNSON,EVAN",1
13:10,"SUB OUT by DORHAUER,RICHARD",,,,,,,"SUB OUT by DORHAUER,RICHARD",1
13:10,"SUB OUT by WELCH,BLAKE",,,,,,,"SUB OUT by WELCH,BLAKE",1
12:55,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
12:38,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
12:38,"BLOCK  by DJONA,LELIS",,,,,,,"BLOCK  by DJONA,LELIS",1
--,"REBOUND DEF by BAKIS,ORKAN",,,,,,,"REBOUND DEF by BAKIS,ORKAN",1
12:34,"MISS JUMPER by BAKIS,ORKAN",,,,,,,"MISS JUMPER by BAKIS,ORKAN",1
--,"REBOUND OFF by DJONA,LELIS",,,,,,,"REBOUND OFF by DJONA,LELIS",1
12:34,"TURNOVER  by DJONA,LELIS",,,,,,,"TURNOVER  by DJONA,LELIS",1
12:34,"FOUL  by DJONA,LELIS",,,,,,,"FOUL  by DJONA,LELIS",1
12:34,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:34,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
12:14,,6,,10 (+4),"GOOD 3PTR by COLLINS,LUKE",RHODES 6-10 (+4),,"GOOD 3PTR by COLLINS,LUKE",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
11:53,"GOOD 3PTR by JOHNSON,EVAN",9,,10 (+1),,FUM 9-10 (+1),,"GOOD 3PTR by JOHNSON,EVAN",1
--,"ASSIST  by WILLIAMS,K TYLER",,,,,,,"ASSIST  by WILLIAMS,K TYLER",1
11:42,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
11:40,"STEAL  by BAKIS,ORKAN",,,,,,,"STEAL  by BAKIS,ORKAN",1
11:17,"MISS 3PTR by JOHNSON,EVAN",,,,,,,"MISS 3PTR by JOHNSON,EVAN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
11:03,,9,,13 (+4),"GOOD 3PTR by BLISS,DYLAN",RHODES 9-13 (+4),,"GOOD 3PTR by BLISS,DYLAN",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
10:25,"MISS 3PTR by JOHNSON,EVAN",,,,,,,"MISS 3PTR by JOHNSON,EVAN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
10:14,"FOUL  by WILLIAMS,K TYLER",,,,,,,"FOUL  by WILLIAMS,K TYLER",1
10:14,"SUB IN by SCHIRMER,COLIN",,,,,,,"SUB IN by SCHIRMER,COLIN",1
10:14,"SUB IN by RUCKER,DARIUS",,,,,,,"SUB IN by RUCKER,DARIUS",1
10:14,"SUB IN by DORHAUER,RICHARD",,,,,,,"SUB IN by DORHAUER,RICHARD",1
10:14,"SUB OUT by WILLIAMS,K TYLER",,,,,,,"SUB OUT by WILLIAMS,K TYLER",1
10:14,"SUB OUT by DJONA,LELIS",,,,,,,"SUB OUT by DJONA,LELIS",1
10:14,"SUB OUT by LAKE,JACK",,,,,,,"SUB OUT by LAKE,JACK",1
10:14,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
10:14,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
10:14,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
10:14,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",1
10:14,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
10:14,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
10:05,,,,,"MISS JUMPER by GEE,TYLER",,,"MISS JUMPER by GEE,TYLER",1
--,"REBOUND DEF by RUCKER,DARIUS",,,,,,,"REBOUND DEF by RUCKER,DARIUS",1
09:49,"GOOD JUMPER by BAKIS,ORKAN(in the paint)",11,,13 (+2),,FUM 11-13 (+2),,"GOOD JUMPER by BAKIS,ORKAN(in the paint)",1
--,"ASSIST  by RUCKER,DARIUS",,,,,,,"ASSIST  by RUCKER,DARIUS",1
