Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
13:45,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
13:45,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
13:45,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
13:45,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
13:45,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
13:38,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
13:19,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
13:19,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND OFF by BUTTS,KEYSHAWN",,,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",2
13:10,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
12:51,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",2
12:48,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
12:48,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
12:48,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
12:48,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:30,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
12:18,,39 (+8),,31,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 39-31 (+8),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
12:05,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
12:01,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",2
12:00,,39 (+6),,33,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 39-33 (+6),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",2
11:47,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
11:47,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
11:47,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
11:47,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
11:21,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
10:59,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
10:59,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",2
10:59,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
10:59,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
10:59,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
10:59,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
10:59,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
10:59,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
10:42,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:38,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
10:35,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
10:32,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",2
10:22,,39 (+3),,36,"GOOD 3PTR by GRUBER,SAM",CENTRE_M 39-36 (+3),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
09:56,"GOOD LAYUP by MILLER,DREW(in the paint)",41 (+5),,36,,RHODES 41-36 (+5),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
09:43,,41 (+3),,38,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 41-38 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
09:21,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
09:21,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
09:21,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
09:21,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
09:21,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
09:21,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
09:18,"GOOD LAYUP by MILLER,DREW(in the paint)",43 (+5),,38,,RHODES 43-38 (+5),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
09:03,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",,,"MISS LAYUP by STEGGEMAN,ANDREW",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
08:44,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
08:44,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
08:44,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
08:32,"GOOD JUMPER by LIVSEY,GEOFF",45 (+7),,38,,RHODES 45-38 (+7),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",2
08:13,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
08:13,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:13,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
07:54,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
07:33,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
07:18,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
07:06,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
06:49,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
06:49,,45 (+6),,39,"GOOD FT by WESLEY,TYLER",CENTRE_M 45-39 (+6),,"GOOD FT by WESLEY,TYLER",2
06:49,,45 (+5),,40,"GOOD FT by WESLEY,TYLER",CENTRE_M 45-40 (+5),,"GOOD FT by WESLEY,TYLER",2
06:49,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
06:49,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
06:49,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
06:49,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
06:49,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
06:49,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
06:36,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
06:13,,,,,"TURNOVER  by GEEGAN,MIKE",,,"TURNOVER  by GEEGAN,MIKE",2
06:11,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",2
06:09,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",2
06:05,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
06:05,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
06:05,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
06:05,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
05:58,"GOOD 3PTR by SULLIVAN,BRENNAN",48 (+8),,40,,RHODES 48-40 (+8),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
05:44,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
05:44,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
05:42,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
05:38,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
05:38,,48 (+7),,41,"GOOD FT by WESLEY,TYLER",CENTRE_M 48-41 (+7),,"GOOD FT by WESLEY,TYLER",2
05:38,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
05:38,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:38,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
05:38,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
05:38,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
05:38,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
05:22,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
05:13,,48 (+6),,42,"GOOD FT by GUMP,MATT",CENTRE_M 48-42 (+6),,"GOOD FT by GUMP,MATT",2
05:13,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
04:53,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",2
04:32,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
04:12,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
04:12,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
04:06,,48 (+4),,44,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 48-44 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
03:14,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
02:48,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
02:48,,48 (+3),,45,"GOOD FT by KARSNER,JOSH",CENTRE_M 48-45 (+3),,"GOOD FT by KARSNER,JOSH",2
02:48,,48 (+2),,46,"GOOD FT by KARSNER,JOSH",CENTRE_M 48-46 (+2),,"GOOD FT by KARSNER,JOSH",2
02:33,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
02:33,,,,,"BLOCK  by KARSNER,JOSH",,,"BLOCK  by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
01:53,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
01:37,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
01:25,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
01:20,,48 (+1),,47,"GOOD FT by SCINTA,BLAKE",CENTRE_M 48-47 (+1),,"GOOD FT by SCINTA,BLAKE",2
01:20,,48,,48,"GOOD FT by SCINTA,BLAKE",CENTRE_M 48-48 (0),,"GOOD FT by SCINTA,BLAKE",2
01:20,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",2
--,"REBOUND OFF by SULLIVAN,BRENNAN",,,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",2
01:09,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
01:09,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
00:54,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
00:54,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
00:54,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
00:23,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
00:23,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
00:23,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
00:23,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
00:23,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
04:44,,48,,51 (+3),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 48-51 (-3),,"GOOD 3PTR by KARSNER,JOSH",3
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",3
04:27,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",3
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",3
04:07,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",3
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",3
03:45,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",3
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",3
03:24,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",3
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",3
03:00,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",3
--,"REBOUND OFF by WAGNER,MATT",,,,,,,"REBOUND OFF by WAGNER,MATT",3
02:50,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",3
02:17,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",3
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",3
02:05,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",3
01:59,"GOOD JUMPER by SULLIVAN,BRENNAN",50,,51 (+1),,RHODES 50-51 (-1),,"GOOD JUMPER by SULLIVAN,BRENNAN",3
01:37,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",3
01:37,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
01:37,,50,,52 (+2),"GOOD FT by SCINTA,BLAKE",CENTRE_M 50-52 (-2),,"GOOD FT by SCINTA,BLAKE",3
01:37,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",3
01:37,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",3
01:36,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",3
01:36,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",3
01:17,"GOOD LAYUP by COLLINS,LUKE(in the paint)",52,,52,,RHODES 52-52 (0),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",3
00:56,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",3
00:48,,52,,53 (+1),"GOOD FT by GEEGAN,MIKE",CENTRE_M 52-53 (-1),,"GOOD FT by GEEGAN,MIKE",3
00:41,,52,,54 (+2),"GOOD FT by GEEGAN,MIKE",CENTRE_M 52-54 (-2),,"GOOD FT by GEEGAN,MIKE",3
00:41,"GOOD LAYUP by MILLER,DREW(in the paint)",54,,54,,RHODES 54-54 (0),,"GOOD LAYUP by MILLER,DREW(in the paint)",3
00:41,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",3
00:41,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",3
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",3
00:19,,54,,57 (+3),"GOOD 3PTR by GEEGAN,MIKE",CENTRE_M 54-57 (-3),,"GOOD 3PTR by GEEGAN,MIKE",3
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",3
00:19,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",3
00:19,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",3
00:18,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",3
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",3
00:06,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
00:00,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",3
--,"REBOUND OFF by BLISS,DYLAN",,,,,,,"REBOUND OFF by BLISS,DYLAN",3
00:00,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",3
00:00,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
00:00,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",3
00:00,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",3
00:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",3
00:00,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",3
