Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:52,"GOOD LAYUP by MARDER,NICK(in the paint)",2 (+2),,0,,BCM 2-0 (-2),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
19:27,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
19:02,"GOOD LAYUP by JACOBS,OWEN(in the paint)",4 (+4),,0,,BCM 4-0 (-4),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
18:39,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",1
18:33,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
18:11,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
18:11,,4 (+3),,1,"GOOD FT by MILLER,DREW",RHODES 4-1 (-3),,"GOOD FT by MILLER,DREW",1
18:11,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
18:05,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",1
17:56,"MISS JUMPER by HARVILLE,TYLER",,,,,,,"MISS JUMPER by HARVILLE,TYLER",1
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",1
17:53,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
17:47,,4,,4,"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 4-4 (0),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
17:28,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
17:26,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
17:18,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
17:18,,4,,5 (+1),"GOOD FT by WAGNER,MATT",RHODES 4-5 (+1),,"GOOD FT by WAGNER,MATT",1
17:18,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",1
17:03,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
17:02,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
16:52,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
16:40,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
16:39,"GOOD JUMPER by HARVILLE,TYLER",6 (+1),,5,,BCM 6-5 (-1),,"GOOD JUMPER by HARVILLE,TYLER",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
16:23,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
16:16,,6,,8 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 6-8 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
16:01,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",1
15:59,"GOOD JUMPER by KORN,LUKAS(in the paint)",8,,8,,BCM 8-8 (0),,"GOOD JUMPER by KORN,LUKAS(in the paint)",1
15:58,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
15:57,"MISS FT by KORN,LUKAS",,,,,,,"MISS FT by KORN,LUKAS",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
15:57,"SUB IN by CHAYKOWSKY,ZACK",,,,,,,"SUB IN by CHAYKOWSKY,ZACK",1
15:57,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
15:57,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
15:57,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
15:57,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:57,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
15:49,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
15:49,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
15:49,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:49,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
15:40,"MISS LAYUP by MARDER,NICK",,,,,,,"MISS LAYUP by MARDER,NICK",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
15:35,,8,,10 (+2),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RHODES 8-10 (+2),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",1
15:16,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
15:01,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
14:51,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",1
14:35,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
14:23,"MISS 3PTR by KORN,LUKAS",,,,,,,"MISS 3PTR by KORN,LUKAS",1
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",1
14:21,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
14:21,"GOOD FT by KORN,LUKAS",9,,10 (+1),,BCM 9-10 (+1),,"GOOD FT by KORN,LUKAS",1
14:21,"GOOD FT by KORN,LUKAS",10,,10,,BCM 10-10 (0),,"GOOD FT by KORN,LUKAS",1
14:21,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
14:21,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
14:21,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
14:21,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
14:11,,10,,12 (+2),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 10-12 (+2),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
13:54,"TURNOVER  by CHAYKOWSKY,ZACK",,,,,,,"TURNOVER  by CHAYKOWSKY,ZACK",1
13:53,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
13:36,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
13:31,,10,,14 (+4),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODES 10-14 (+4),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
13:23,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
13:21,"FOUL  by CHAYKOWSKY,ZACK",,,,,,,"FOUL  by CHAYKOWSKY,ZACK",1
13:21,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
13:21,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:49,,10,,16 (+6),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODES 10-16 (+6),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
12:34,"TURNOVER  by HARVILLE,TYLER",,,,,,,"TURNOVER  by HARVILLE,TYLER",1
12:33,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
12:28,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",1
12:11,"MISS LAYUP by HARVILLE,TYLER",,,,,,,"MISS LAYUP by HARVILLE,TYLER",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
12:01,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
