Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
14:07,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
13:49,"MISS LAYUP by PRATER,DALLAS",,,,,,,"MISS LAYUP by PRATER,DALLAS",1
13:49,,,,,"BLOCK  by BUTTS,KEYSHAWN",,,"BLOCK  by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
13:43,,4,,13 (+9),"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",RHODES 4-13 (+9),,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",1
13:20,"MISS 3PTR by PRATER,DALLAS",,,,,,,"MISS 3PTR by PRATER,DALLAS",1
--,"REBOUND OFF by MCSWAIN,JOSH",,,,,,,"REBOUND OFF by MCSWAIN,JOSH",1
13:11,"GOOD JUMPER by MOORE,MYLES",6,,13 (+7),,MILLSAPS 6-13 (+7),,"GOOD JUMPER by MOORE,MYLES",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
12:40,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by MCSWAIN,JOSH",,,,,,,"REBOUND DEF by MCSWAIN,JOSH",1
12:21,"MISS JUMPER by MCSWAIN,JOSH",,,,,,,"MISS JUMPER by MCSWAIN,JOSH",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
12:11,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
12:01,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
11:47,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
11:46,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
11:25,"GOOD LAYUP by MOORE,MYLES(in the paint)",8,,13 (+5),,MILLSAPS 8-13 (+5),,"GOOD LAYUP by MOORE,MYLES(in the paint)",1
10:54,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",1
10:54,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
10:54,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
10:54,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
10:54,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
10:54,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
10:50,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
10:49,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
10:43,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
10:16,"FOUL  by DETILLIEU,RYAN",,,,,,,"FOUL  by DETILLIEU,RYAN",1
10:16,,8,,14 (+6),"GOOD FT by BUTTS,KEYSHAWN",RHODES 8-14 (+6),,"GOOD FT by BUTTS,KEYSHAWN",1
10:16,,8,,15 (+7),"GOOD FT by BUTTS,KEYSHAWN",RHODES 8-15 (+7),,"GOOD FT by BUTTS,KEYSHAWN",1
10:16,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
10:16,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
10:16,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",1
10:16,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
10:16,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
10:16,"SUB OUT by PRATER,DALLAS",,,,,,,"SUB OUT by PRATER,DALLAS",1
10:16,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
10:16,"SUB OUT by MCSWAIN,JOSH",,,,,,,"SUB OUT by MCSWAIN,JOSH",1
10:16,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
10:16,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
09:59,"GOOD JUMPER by HANSTAD,RAJAN",10,,15 (+5),,MILLSAPS 10-15 (+5),,"GOOD JUMPER by HANSTAD,RAJAN",1
--,"ASSIST  by DETILLIEU,RYAN",,,,,,,"ASSIST  by DETILLIEU,RYAN",1
