Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
14:13,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
13:53,,10 (+1),,9,"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 10-9 (-1),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
13:34,"GOOD LAYUP by THOMAS,LARRY(in the paint)",12 (+3),,9,,BSCM 12-9 (-3),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
13:14,,12,,12,"GOOD 3PTR by MILLER,DREW",RHODES 12-12 (0),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by HOECK,RYAN VAN",,,"ASSIST  by HOECK,RYAN VAN",1
12:47,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
12:45,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
12:37,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
12:37,,12,,13 (+1),"GOOD FT by COLLINS,LUKE",RHODES 12-13 (+1),,"GOOD FT by COLLINS,LUKE",1
12:37,,12,,14 (+2),"GOOD FT by COLLINS,LUKE",RHODES 12-14 (+2),,"GOOD FT by COLLINS,LUKE",1
12:37,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
12:37,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
12:37,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
12:37,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
12:37,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
12:37,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
12:37,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
12:37,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
12:37,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:37,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
12:37,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
12:37,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
12:37,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:37,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
12:37,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:37,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
12:21,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
12:04,,12,,17 (+5),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 12-17 (+5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
11:41,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
11:24,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
11:06,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by HARDIMAN,BEN",,,,,,,"REBOUND OFF by HARDIMAN,BEN",1
10:53,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
10:40,,12,,20 (+8),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 12-20 (+8),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
10:11,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by CRAIN,JOHN",,,,,,,"REBOUND OFF by CRAIN,JOHN",1
10:04,"GOOD LAYUP by CRAIN,JOHN(in the paint)",14,,20 (+6),,BSCM 14-20 (+6),,"GOOD LAYUP by CRAIN,JOHN(in the paint)",1
09:51,,14,,22 (+8),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHODES 14-22 (+8),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
09:41,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
09:41,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
09:41,"SUB IN by MCKINLEY,CONNER",,,,,,,"SUB IN by MCKINLEY,CONNER",1
09:41,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
09:41,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
09:41,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
09:41,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
09:41,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
09:41,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
09:41,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
09:41,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:41,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
09:41,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:41,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
09:41,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
09:41,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:41,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
09:41,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
09:30,,14,,23 (+9),"GOOD FT by HOECK,RYAN VAN",RHODES 14-23 (+9),,"GOOD FT by HOECK,RYAN VAN",1
09:30,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
09:30,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
09:30,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
09:07,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
08:52,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
08:52,"SUB OUT by MCKINLEY,CONNER",,,,,,,"SUB OUT by MCKINLEY,CONNER",1
08:39,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
08:30,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
08:28,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
08:11,,14,,26 (+12),"GOOD 3PTR by MILLER,DREW",RHODES 14-26 (+12),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
08:01,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
08:00,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
07:54,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
07:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:54,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:54,,14,,27 (+13),"GOOD FT by LIVSEY,GEOFF",RHODES 14-27 (+13),,"GOOD FT by LIVSEY,GEOFF",1
07:54,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
07:54,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
07:40,"GOOD LAYUP by THOMAS,LARRY(in the paint)",16,,27 (+11),,BSCM 16-27 (+11),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
07:26,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
07:26,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
07:26,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
07:26,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
07:26,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
07:26,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
07:11,"GOOD LAYUP by THOMAS,LARRY(in the paint)",18,,27 (+9),,BSCM 18-27 (+9),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
07:11,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
07:11,"MISS FT by THOMAS,LARRY",,,,,,,"MISS FT by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
07:04,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
07:04,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:04,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
06:44,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",20,,27 (+7),,BSCM 20-27 (+7),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
06:31,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
06:18,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",1
06:11,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
06:11,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:11,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:11,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
06:11,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
05:53,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
05:51,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
05:48,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
05:48,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:48,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
05:48,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
05:48,"SUB IN by MCKINLEY,CONNER",,,,,,,"SUB IN by MCKINLEY,CONNER",1
05:48,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
05:48,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
05:48,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
05:47,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
05:15,"TURNOVER  by MCKINLEY,CONNER",,,,,,,"TURNOVER  by MCKINLEY,CONNER",1
05:14,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
05:12,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
05:12,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
05:10,,20,,29 (+9),"GOOD JUMPER by SULLIVAN,BRENNAN",RHODES 20-29 (+9),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
04:43,"MISS LAYUP by HARDIMAN,BEN",,,,,,,"MISS LAYUP by HARDIMAN,BEN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
04:21,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
04:16,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:16,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
04:16,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
04:16,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
04:16,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
04:16,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
03:58,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
03:55,"GOOD FT by WELCH,ROSS",21,,29 (+8),,BSCM 21-29 (+8),,"GOOD FT by WELCH,ROSS",1
03:55,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
03:55,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:55,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
03:39,,21,,31 (+10),"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHODES 21-31 (+10),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
03:22,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
02:56,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
02:44,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
02:44,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
02:44,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
02:44,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
02:44,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
02:44,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
02:44,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
02:44,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
02:44,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
02:44,"SUB OUT by MCKINLEY,CONNER",,,,,,,"SUB OUT by MCKINLEY,CONNER",1
02:44,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
02:44,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
02:44,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
02:44,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
02:26,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
02:25,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
02:15,,21,,34 (+13),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 21-34 (+13),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
01:56,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
01:53,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
01:51,,21,,36 (+15),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RHODES 21-36 (+15),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",1
01:33,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
01:33,"GOOD FT by THOM,IAN",22,,36 (+14),,BSCM 22-36 (+14),,"GOOD FT by THOM,IAN",1
01:33,"GOOD FT by THOM,IAN",23,,36 (+13),,BSCM 23-36 (+13),,"GOOD FT by THOM,IAN",1
01:33,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
01:33,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
01:29,,23,,38 (+15),"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",RHODES 23-38 (+15),,"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
01:08,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
01:07,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
00:59,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
00:56,,23,,40 (+17),"GOOD TIPIN by WAGNER,MATT(fastbreak)(in the paint)",RHODES 23-40 (+17),,"GOOD TIPIN by WAGNER,MATT(fastbreak)(in the paint)",1
00:42,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
00:42,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:42,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
00:15,,23,,42 (+19),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 23-42 (+19),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
00:00,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
00:00,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
19:28,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
19:09,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
18:57,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
18:56,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
18:54,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
18:53,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",2
18:42,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
18:23,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
18:14,"GOOD 3PTR by WELCH,ROSS",26,,42 (+16),,BSCM 26-42 (+16),,"GOOD 3PTR by WELCH,ROSS",2
17:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:54,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
17:54,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
17:37,,26,,44 (+18),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 26-44 (+18),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
17:14,"GOOD JUMPER by THOMAS,LARRY",28,,44 (+16),,BSCM 28-44 (+16),,"GOOD JUMPER by THOMAS,LARRY",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
16:52,,28,,46 (+18),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 28-46 (+18),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
16:32,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
16:18,,28,,48 (+20),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 28-48 (+20),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
16:03,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",2
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",2
