Time Remaining,WASHUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
18:26,"MISS 3PTR by FATOKI,DAVID",,,,,,,"MISS 3PTR by FATOKI,DAVID",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
18:22,"FOUL  by SILVERMAN-LLOYD,L",,,,,,,"FOUL  by SILVERMAN-LLOYD,L",2
18:12,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:11,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:58,"TURNOVER  by BURT,NICK",,,,,,,"TURNOVER  by BURT,NICK",2
17:54,,,,,"STEAL  by HOECK,RYAN VAN",,,"STEAL  by HOECK,RYAN VAN",2
17:44,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",2
17:41,,43 (+2),,41,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 43-41 (-2),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
17:24,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:24,"GOOD FT by STYCZYNSKI,MITCH",44 (+3),,41,,WASHUM 44-41 (-3),,"GOOD FT by STYCZYNSKI,MITCH",2
17:24,"GOOD FT by STYCZYNSKI,MITCH",45 (+4),,41,,WASHUM 45-41 (-4),,"GOOD FT by STYCZYNSKI,MITCH",2
17:24,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
17:24,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
16:54,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:52,"SUB IN by HIGHSMITH,MATT",,,,,,,"SUB IN by HIGHSMITH,MATT",2
16:52,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",2
16:37,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
16:30,"TURNOVER  by BURT,NICK",,,,,,,"TURNOVER  by BURT,NICK",2
16:30,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
16:30,"SUB IN by STAFFEIL,BRANDON",,,,,,,"SUB IN by STAFFEIL,BRANDON",2
16:30,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",2
16:30,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
16:30,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
16:26,,45 (+1),,44,"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 45-44 (-1),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
16:11,"MISS LAYUP by STAFFEIL,BRANDON",,,,,,,"MISS LAYUP by STAFFEIL,BRANDON",2
16:11,,,,,"BLOCK  by SLEDGE,TATE",,,"BLOCK  by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
15:52,,45,,46 (+1),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 45-46 (+1),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
15:49,"TURNOVER  by HIGHSMITH,MATT",,,,,,,"TURNOVER  by HIGHSMITH,MATT",2
15:30,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
--,"REBOUND DEF by SILVERMAN-LLOYD,L",,,,,,,"REBOUND DEF by SILVERMAN-LLOYD,L",2
15:16,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
15:09,"GOOD FT by FATOKI,DAVID",46,,46,,WASHUM 46-46 (0),,"GOOD FT by FATOKI,DAVID",2
15:09,"GOOD FT by FATOKI,DAVID",47 (+1),,46,,WASHUM 47-46 (-1),,"GOOD FT by FATOKI,DAVID",2
15:09,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
15:09,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
14:50,,,,,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
14:35,"MISS 3PTR by PALUCKI,MATT",,,,,,,"MISS 3PTR by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
14:16,,47,,49 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 47-49 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
14:13,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
14:13,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
14:13,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
13:54,"GOOD JUMPER by FATOKI,DAVID",49,,49,,WASHUM 49-49 (0),,"GOOD JUMPER by FATOKI,DAVID",2
13:27,,49,,52 (+3),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 49-52 (+3),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
13:14,"GOOD LAYUP by PALUCKI,MATT(in the paint)",51,,52 (+1),,WASHUM 51-52 (+1),,"GOOD LAYUP by PALUCKI,MATT(in the paint)",2
--,"ASSIST  by FATOKI,DAVID",,,,,,,"ASSIST  by FATOKI,DAVID",2
12:57,,51,,54 (+3),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 51-54 (+3),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
12:46,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
12:46,"GOOD FT by PALUCKI,MATT",52,,54 (+2),,WASHUM 52-54 (+2),,"GOOD FT by PALUCKI,MATT",2
12:46,"GOOD FT by PALUCKI,MATT",53,,54 (+1),,WASHUM 53-54 (+1),,"GOOD FT by PALUCKI,MATT",2
12:46,"SUB IN by BREGMAN,MICHAEL",,,,,,,"SUB IN by BREGMAN,MICHAEL",2
12:46,"SUB IN by STYCZYNSKI,MITCH",,,,,,,"SUB IN by STYCZYNSKI,MITCH",2
12:46,"SUB OUT by SILVERMAN-LLOYD,L",,,,,,,"SUB OUT by SILVERMAN-LLOYD,L",2
12:46,"SUB OUT by HIGHSMITH,MATT",,,,,,,"SUB OUT by HIGHSMITH,MATT",2
12:46,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
12:46,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
12:46,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
12:46,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
12:20,"FOUL  by STAFFEIL,BRANDON",,,,,,,"FOUL  by STAFFEIL,BRANDON",2
12:20,"SUB IN by GARVIN,TOM",,,,,,,"SUB IN by GARVIN,TOM",2
12:20,"SUB OUT by STAFFEIL,BRANDON",,,,,,,"SUB OUT by STAFFEIL,BRANDON",2
12:10,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
11:58,"GOOD 3PTR by PALUCKI,MATT",56 (+2),,54,,WASHUM 56-54 (-2),,"GOOD 3PTR by PALUCKI,MATT",2
11:44,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by BREGMAN,MICHAEL",,,,,,,"REBOUND DEF by BREGMAN,MICHAEL",2
11:32,"TURNOVER  by PALUCKI,MATT",,,,,,,"TURNOVER  by PALUCKI,MATT",2
11:11,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
10:58,"MISS 3PTR by PALUCKI,MATT",,,,,,,"MISS 3PTR by PALUCKI,MATT",2
--,"REBOUND OFF by STYCZYNSKI,MITCH",,,,,,,"REBOUND OFF by STYCZYNSKI,MITCH",2
10:55,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",58 (+4),,54,,WASHUM 58-54 (-4),,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",2
10:55,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
10:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:55,"GOOD FT by STYCZYNSKI,MITCH",59 (+5),,54,,WASHUM 59-54 (-5),,"GOOD FT by STYCZYNSKI,MITCH",2
10:55,"SUB IN by LACOB,KENT",,,,,,,"SUB IN by LACOB,KENT",2
10:55,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",2
10:55,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
10:55,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
10:55,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
10:55,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
10:55,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
10:55,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
10:55,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
10:55,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
10:38,"FOUL  by PALUCKI,MATT",,,,,,,"FOUL  by PALUCKI,MATT",2
10:34,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
10:19,"FOUL  by GARVIN,TOM",,,,,,,"FOUL  by GARVIN,TOM",2
10:19,"TURNOVER  by GARVIN,TOM",,,,,,,"TURNOVER  by GARVIN,TOM",2
10:19,"SUB IN by BURT,NICK",,,,,,,"SUB IN by BURT,NICK",2
10:19,"SUB OUT by GARVIN,TOM",,,,,,,"SUB OUT by GARVIN,TOM",2
10:08,,59 (+2),,57,"GOOD 3PTR by COLLINS,LUKE",RHODES 59-57 (-2),,"GOOD 3PTR by COLLINS,LUKE",2
09:32,"GOOD LAYUP by BURT,NICK(in the paint)",61 (+4),,57,,WASHUM 61-57 (-4),,"GOOD LAYUP by BURT,NICK(in the paint)",2
09:32,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
09:32,"MISS FT by BURT,NICK",,,,,,,"MISS FT by BURT,NICK",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
09:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:27,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
09:27,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
09:20,"FOUL  by LACOB,KENT",,,,,,,"FOUL  by LACOB,KENT",2
09:20,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
09:20,"SUB IN by FATOKI,DAVID",,,,,,,"SUB IN by FATOKI,DAVID",2
09:20,"SUB OUT by LACOB,KENT",,,,,,,"SUB OUT by LACOB,KENT",2
09:06,"TURNOVER  by PALUCKI,MATT",,,,,,,"TURNOVER  by PALUCKI,MATT",2
09:05,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",2
08:42,,,,,"MISS JUMPER by SLEDGE,TATE",,,"MISS JUMPER by SLEDGE,TATE",2
--,"REBOUND DEF by FATOKI,DAVID",,,,,,,"REBOUND DEF by FATOKI,DAVID",2
08:31,"GOOD LAYUP by BURT,NICK(in the paint)",63 (+6),,57,,WASHUM 63-57 (-6),,"GOOD LAYUP by BURT,NICK(in the paint)",2
--,"ASSIST  by FATOKI,DAVID",,,,,,,"ASSIST  by FATOKI,DAVID",2
08:16,"FOUL  by BREGMAN,MICHAEL",,,,,,,"FOUL  by BREGMAN,MICHAEL",2
08:16,,63 (+5),,58,"GOOD FT by MILLER,DREW",RHODES 63-58 (-5),,"GOOD FT by MILLER,DREW",2
08:16,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
08:16,"SUB IN by SILVERMAN-LLOYD,L",,,,,,,"SUB IN by SILVERMAN-LLOYD,L",2
08:16,"SUB OUT by BREGMAN,MICHAEL",,,,,,,"SUB OUT by BREGMAN,MICHAEL",2
08:16,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
08:16,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
08:00,"MISS LAYUP by PALUCKI,MATT",,,,,,,"MISS LAYUP by PALUCKI,MATT",2
--,"REBOUND OFF by STYCZYNSKI,MITCH",,,,,,,"REBOUND OFF by STYCZYNSKI,MITCH",2
07:54,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",65 (+7),,58,,WASHUM 65-58 (-7),,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",2
07:40,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
07:40,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
07:30,,65 (+5),,60,"GOOD JUMPER by BLISS,DYLAN",RHODES 65-60 (-5),,"GOOD JUMPER by BLISS,DYLAN",2
07:19,"GOOD LAYUP by FATOKI,DAVID(in the paint)",67 (+7),,60,,WASHUM 67-60 (-7),,"GOOD LAYUP by FATOKI,DAVID(in the paint)",2
--,"ASSIST  by SILVERMAN-LLOYD,L",,,,,,,"ASSIST  by SILVERMAN-LLOYD,L",2
07:00,,67 (+4),,63,"GOOD 3PTR by BLISS,DYLAN",RHODES 67-63 (-4),,"GOOD 3PTR by BLISS,DYLAN",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
06:44,"MISS JUMPER by PALUCKI,MATT",,,,,,,"MISS JUMPER by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by BLISS,DYLAN",,,"REBOUND DEF by BLISS,DYLAN",2
06:33,"FOUL  by FATOKI,DAVID",,,,,,,"FOUL  by FATOKI,DAVID",2
06:33,,67 (+3),,64,"GOOD FT by COLLINS,LUKE",RHODES 67-64 (-3),,"GOOD FT by COLLINS,LUKE",2
06:33,,67 (+2),,65,"GOOD FT by COLLINS,LUKE",RHODES 67-65 (-2),,"GOOD FT by COLLINS,LUKE",2
06:19,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
06:19,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
06:10,"GOOD 3PTR by FATOKI,DAVID",70 (+5),,65,,WASHUM 70-65 (-5),,"GOOD 3PTR by FATOKI,DAVID",2
--,"ASSIST  by PALUCKI,MATT",,,,,,,"ASSIST  by PALUCKI,MATT",2
05:57,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
05:57,"BLOCK  by STYCZYNSKI,MITCH",,,,,,,"BLOCK  by STYCZYNSKI,MITCH",2
--,"REBOUND DEF by STYCZYNSKI,MITCH",,,,,,,"REBOUND DEF by STYCZYNSKI,MITCH",2
05:46,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
05:46,"GOOD FT by STYCZYNSKI,MITCH",71 (+6),,65,,WASHUM 71-65 (-6),,"GOOD FT by STYCZYNSKI,MITCH",2
05:46,"GOOD FT by STYCZYNSKI,MITCH",72 (+7),,65,,WASHUM 72-65 (-7),,"GOOD FT by STYCZYNSKI,MITCH",2
05:46,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
05:46,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
05:46,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
05:46,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
05:46,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
05:46,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
05:46,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
05:46,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
05:37,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
05:36,"STEAL  by FATOKI,DAVID",,,,,,,"STEAL  by FATOKI,DAVID",2
05:32,"GOOD LAYUP by BURT,NICK(fastbreak)(in the paint)",74 (+9),,65,,WASHUM 74-65 (-9),,"GOOD LAYUP by BURT,NICK(fastbreak)(in the paint)",2
05:14,,74 (+6),,68,"GOOD 3PTR by LIVSEY,GEOFF",RHODES 74-68 (-6),,"GOOD 3PTR by LIVSEY,GEOFF",2
04:57,"GOOD 3PTR by SILVERMAN-LLOYD,L",77 (+9),,68,,WASHUM 77-68 (-9),,"GOOD 3PTR by SILVERMAN-LLOYD,L",2
04:35,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
04:35,,77 (+8),,69,"GOOD FT by LIVSEY,GEOFF",RHODES 77-69 (-8),,"GOOD FT by LIVSEY,GEOFF",2
04:35,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
04:35,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
04:35,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
04:18,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",79 (+10),,69,,WASHUM 79-69 (-10),,"GOOD LAYUP by STYCZYNSKI,MITCH(in the paint)",2
--,"ASSIST  by BURT,NICK",,,,,,,"ASSIST  by BURT,NICK",2
04:01,"FOUL  by STYCZYNSKI,MITCH",,,,,,,"FOUL  by STYCZYNSKI,MITCH",2
04:01,,79 (+9),,70,"GOOD FT by LIVSEY,GEOFF",RHODES 79-70 (-9),,"GOOD FT by LIVSEY,GEOFF",2
04:01,,79 (+8),,71,"GOOD FT by LIVSEY,GEOFF",RHODES 79-71 (-8),,"GOOD FT by LIVSEY,GEOFF",2
04:01,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
04:01,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
04:01,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
04:01,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
03:45,"GOOD 3PTR by FATOKI,DAVID",82 (+11),,71,,WASHUM 82-71 (-11),,"GOOD 3PTR by FATOKI,DAVID",2
03:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:35,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",2
--,"REBOUND DEF by BURT,NICK",,,,,,,"REBOUND DEF by BURT,NICK",2
03:06,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
02:50,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by FATOKI,DAVID",,,,,,,"REBOUND DEF by FATOKI,DAVID",2
02:22,"MISS JUMPER by SILVERMAN-LLOYD,L",,,,,,,"MISS JUMPER by SILVERMAN-LLOYD,L",2
--,"REBOUND OFF by STYCZYNSKI,MITCH",,,,,,,"REBOUND OFF by STYCZYNSKI,MITCH",2
02:17,"GOOD JUMPER by PALUCKI,MATT",84 (+13),,71,,WASHUM 84-71 (-13),,"GOOD JUMPER by PALUCKI,MATT",2
02:01,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
01:30,"MISS JUMPER by FATOKI,DAVID",,,,,,,"MISS JUMPER by FATOKI,DAVID",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:25,"MISS JUMPER by PALUCKI,MATT",,,,,,,"MISS JUMPER by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
01:16,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
01:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:16,"SUB IN by HOOKS,CLINTON",,,,,,,"SUB IN by HOOKS,CLINTON",2
01:16,"SUB IN by BREGMAN,MICHAEL",,,,,,,"SUB IN by BREGMAN,MICHAEL",2
01:16,"SUB IN by KUCERA,KEVIN",,,,,,,"SUB IN by KUCERA,KEVIN",2
01:16,"SUB OUT by SILVERMAN-LLOYD,L",,,,,,,"SUB OUT by SILVERMAN-LLOYD,L",2
01:16,"SUB OUT by PALUCKI,MATT",,,,,,,"SUB OUT by PALUCKI,MATT",2
01:16,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",2
01:16,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
01:16,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
01:16,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
01:16,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
01:16,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
01:16,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
01:16,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
01:16,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
01:16,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
01:16,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
01:06,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",2
01:06,"MISS FT by STYCZYNSKI,MITCH",,,,,,,"MISS FT by STYCZYNSKI,MITCH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:06,"GOOD FT by STYCZYNSKI,MITCH",85 (+14),,71,,WASHUM 85-71 (-14),,"GOOD FT by STYCZYNSKI,MITCH",2
01:06,"SUB IN by GARVIN,TOM",,,,,,,"SUB IN by GARVIN,TOM",2
01:06,"SUB IN by HIGHSMITH,MATT",,,,,,,"SUB IN by HIGHSMITH,MATT",2
01:06,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",2
01:06,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",2
01:00,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by HOOKS,CLINTON",,,,,,,"REBOUND DEF by HOOKS,CLINTON",2
00:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:45,"MISS 3PTR by BREGMAN,MICHAEL",,,,,,,"MISS 3PTR by BREGMAN,MICHAEL",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
00:34,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
00:32,"STEAL  by HOOKS,CLINTON",,,,,,,"STEAL  by HOOKS,CLINTON",2
00:08,"MISS 3PTR by BREGMAN,MICHAEL",,,,,,,"MISS 3PTR by BREGMAN,MICHAEL",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
