Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,LIP,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",1
17:02,,,,,"FOUL  by MORAN,NATHAN",,,"FOUL  by MORAN,NATHAN",1
17:02,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",1
17:02,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",1
17:02,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",1
17:02,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",1
17:02,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",1
17:02,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",1
17:02,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",1
17:02,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",1
16:49,,,,,"FOUL  by KORN,AARON",,,"FOUL  by KORN,AARON",1
16:42,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",1
16:25,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
16:21,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",1
16:21,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",1
16:19,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by LANG,CHAD",,,"REBOUND DEF by LANG,CHAD",1
15:59,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
15:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:50,,2,,12 (+10),"GOOD JUMPER by LANG,CHAD(in the paint)",LIP 2-12 (-10),,"GOOD JUMPER by LANG,CHAD(in the paint)",1
15:16,"MISS JUMPER by HOECK,RYAN VAN",,,,,,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
15:10,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",1
15:06,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
15:05,,,,,"STEAL  by DENNY,TALBOTT",,,"STEAL  by DENNY,TALBOTT",1
14:57,,,,,"TURNOVER  by KORN,AARON",,,"TURNOVER  by KORN,AARON",1
14:57,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
14:57,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
14:57,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
14:57,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
14:57,,,,,"SUB IN by BRAMMEIER,GEORGE",,,"SUB IN by BRAMMEIER,GEORGE",1
14:57,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",1
14:57,,,,,"SUB IN by WISHON,BRETT",,,"SUB IN by WISHON,BRETT",1
14:57,,,,,"SUB OUT by JOHNSON,CHAD",,,"SUB OUT by JOHNSON,CHAD",1
14:57,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",1
14:57,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",1
14:49,,,,,"FOUL  by MORAN,NATHAN",,,"FOUL  by MORAN,NATHAN",1
14:49,,,,,"SUB IN by HAMPTON,JC",,,"SUB IN by HAMPTON,JC",1
14:49,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",1
14:29,,,,,"FOUL  by WISHON,BRETT",,,"FOUL  by WISHON,BRETT",1
14:29,"GOOD FT by WAGNER,MATT",3,,12 (+9),,RHODES 3-12 (-9),,"GOOD FT by WAGNER,MATT",1
14:29,"MISS FT by WAGNER,MATT",,,,,,,"MISS FT by WAGNER,MATT",1
--,,,,,"REBOUND DEF by BRAMMEIER,GEORGE",,,"REBOUND DEF by BRAMMEIER,GEORGE",1
14:29,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
14:29,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
14:29,,,,,"SUB IN by WILLIAMS,JOSH",,,"SUB IN by WILLIAMS,JOSH",1
14:29,,,,,"SUB OUT by DUVALL,ASA",,,"SUB OUT by DUVALL,ASA",1
14:08,,3,,14 (+11),"GOOD JUMPER by KORN,AARON",LIP 3-14 (-11),,"GOOD JUMPER by KORN,AARON",1
13:45,"GOOD LAYUP by WAGNER,MATT(in the paint)",5,,14 (+9),,RHODES 5-14 (-9),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
13:34,,5,,16 (+11),"GOOD JUMPER by KORN,AARON",LIP 5-16 (-11),,"GOOD JUMPER by KORN,AARON",1
--,,,,,"ASSIST  by WILLIAMS,JOSH",,,"ASSIST  by WILLIAMS,JOSH",1
13:17,"MISS 3PTR by SLEDGE,TATE",,,,,,,"MISS 3PTR by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by HAMPTON,JC",,,"REBOUND DEF by HAMPTON,JC",1
13:10,,,,,"FOUL  by BRAMMEIER,GEORGE",,,"FOUL  by BRAMMEIER,GEORGE",1
13:10,,,,,"TURNOVER  by BRAMMEIER,GEORGE",,,"TURNOVER  by BRAMMEIER,GEORGE",1
13:10,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",1
13:10,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
13:10,,,,,"SUB IN by SMITH,CHARLES",,,"SUB IN by SMITH,CHARLES",1
13:10,,,,,"SUB OUT by BRAMMEIER,GEORGE",,,"SUB OUT by BRAMMEIER,GEORGE",1
12:59,"TURNOVER  by BUTTS,KEYSHAWN",,,,,,,"TURNOVER  by BUTTS,KEYSHAWN",1
12:46,,,,,"TURNOVER  by WISHON,BRETT",,,"TURNOVER  by WISHON,BRETT",1
12:27,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:27,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
12:27,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
12:27,,,,,"SUB IN by GREENE,DYLAN",,,"SUB IN by GREENE,DYLAN",1
12:27,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",1
12:18,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
12:15,,5,,19 (+14),"GOOD 3PTR by WISHON,BRETT",LIP 5-19 (-14),,"GOOD 3PTR by WISHON,BRETT",1
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",1
12:01,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:59,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:59,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
11:59,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
11:59,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
11:59,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:59,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
11:59,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
11:59,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
11:59,"SUB OUT by BLISS,DYLAN",,,,,,,"SUB OUT by BLISS,DYLAN",1
11:59,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",1
11:59,,,,,"SUB OUT by SMITH,CHARLES",,,"SUB OUT by SMITH,CHARLES",1
11:39,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
11:32,,,,,"MISS 3PTR by WILLIAMS,JOSH",,,"MISS 3PTR by WILLIAMS,JOSH",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
11:13,,,,,"FOUL  by GREENE,DYLAN",,,"FOUL  by GREENE,DYLAN",1
11:00,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
11:00,,,,,"BLOCK  by LANG,CHAD",,,"BLOCK  by LANG,CHAD",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:59,,,,,"SUB IN by SMITH,MALCOLM",,,"SUB IN by SMITH,MALCOLM",1
10:59,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",1
10:59,,,,,"SUB OUT by GREENE,DYLAN",,,"SUB OUT by GREENE,DYLAN",1
10:59,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",1
10:51,"GOOD 3PTR by SLEDGE,TATE",8,,19 (+11),,RHODES 8-19 (-11),,"GOOD 3PTR by SLEDGE,TATE",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
10:35,,,,,"MISS 3PTR by WILLIAMS,JOSH",,,"MISS 3PTR by WILLIAMS,JOSH",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
10:28,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",10,,19 (+9),,RHODES 10-19 (-9),,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",1
10:14,,10,,21 (+11),"GOOD LAYUP by LANG,CHAD(in the paint)",LIP 10-21 (-11),,"GOOD LAYUP by LANG,CHAD(in the paint)",1
--,,,,,"ASSIST  by SMITH,MALCOLM",,,"ASSIST  by SMITH,MALCOLM",1
09:55,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:52,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",1
09:52,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",1
09:36,,10,,23 (+13),"GOOD LAYUP by WILLIAMS,JOSH(in the paint)",LIP 10-23 (-13),,"GOOD LAYUP by WILLIAMS,JOSH(in the paint)",1
09:23,"GOOD 3PTR by LIVSEY,GEOFF",13,,23 (+10),,RHODES 13-23 (-10),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
09:14,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
09:14,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
09:14,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
09:14,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
09:14,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
09:14,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",1
09:14,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",1
09:14,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",1
09:14,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",1
09:03,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
09:03,,13,,24 (+11),"GOOD FT by WILLIAMS,JOSH",LIP 13-24 (-11),,"GOOD FT by WILLIAMS,JOSH",1
09:03,,13,,25 (+12),"GOOD FT by WILLIAMS,JOSH",LIP 13-25 (-12),,"GOOD FT by WILLIAMS,JOSH",1
09:03,,,,,"SUB IN by SMITH,CHARLES",,,"SUB IN by SMITH,CHARLES",1
09:03,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",1
08:49,,,,,"FOUL  by WILLIAMS,JOSH",,,"FOUL  by WILLIAMS,JOSH",1
08:49,"GOOD FT by GEE,TYLER",14,,25 (+11),,RHODES 14-25 (-11),,"GOOD FT by GEE,TYLER",1
08:49,"GOOD FT by GEE,TYLER",15,,25 (+10),,RHODES 15-25 (-10),,"GOOD FT by GEE,TYLER",1
08:34,,,,,"TURNOVER  by WILLIAMS,JOSH",,,"TURNOVER  by WILLIAMS,JOSH",1
08:30,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
08:17,,,,,"MISS 3PTR by KORN,AARON",,,"MISS 3PTR by KORN,AARON",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
08:06,"MISS 3PTR by HOECK,RYAN VAN",,,,,,,"MISS 3PTR by HOECK,RYAN VAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:04,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
08:04,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
08:04,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
08:04,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
08:04,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
08:04,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",1
08:04,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",1
08:04,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",1
08:04,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",1
08:04,,,,,"SUB OUT by JOHNSON,CHAD",,,"SUB OUT by JOHNSON,CHAD",1
08:04,,,,,"SUB OUT by SMITH,CHARLES",,,"SUB OUT by SMITH,CHARLES",1
07:46,,,,,"TURNOVER  by DENNY,TALBOTT",,,"TURNOVER  by DENNY,TALBOTT",1
07:45,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",1
07:39,"MISS 3PTR by GEE,TYLER",,,,,,,"MISS 3PTR by GEE,TYLER",1
--,,,,,"REBOUND DEF by WILLIAMS,JOSH",,,"REBOUND DEF by WILLIAMS,JOSH",1
07:28,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:28,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
07:28,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
07:28,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
07:28,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
07:28,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",1
07:28,,,,,"SUB IN by HAMPTON,JC",,,"SUB IN by HAMPTON,JC",1
07:28,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",1
07:28,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",1
07:25,,15,,28 (+13),"GOOD 3PTR by KORN,AARON",LIP 15-28 (-13),,"GOOD 3PTR by KORN,AARON",1
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",1
06:50,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by DENNY,TALBOTT",,,"REBOUND DEF by DENNY,TALBOTT",1
06:40,,15,,30 (+15),"GOOD JUMPER by KORN,AARON",LIP 15-30 (-15),,"GOOD JUMPER by KORN,AARON",1
06:40,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
06:40,,,,,"MISS FT by KORN,AARON",,,"MISS FT by KORN,AARON",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
06:40,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
06:40,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
06:40,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",1
06:40,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
06:40,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
06:40,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
06:40,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
06:40,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
06:40,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
06:40,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
06:40,,,,,"SUB IN by BRAMMEIER,GEORGE",,,"SUB IN by BRAMMEIER,GEORGE",1
06:40,,,,,"SUB IN by SMITH,MALCOLM",,,"SUB IN by SMITH,MALCOLM",1
06:40,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",1
06:40,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",1
06:27,,,,,"FOUL  by DUVALL,ASA",,,"FOUL  by DUVALL,ASA",1
06:27,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BRAMMEIER,GEORGE",,,"REBOUND DEF by BRAMMEIER,GEORGE",1
06:27,,,,,"SUB IN by WILLIAMS,JOSH",,,"SUB IN by WILLIAMS,JOSH",1
06:27,,,,,"SUB OUT by DUVALL,ASA",,,"SUB OUT by DUVALL,ASA",1
06:19,,,,,"TURNOVER  by HAMPTON,JC",,,"TURNOVER  by HAMPTON,JC",1
05:57,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",17,,30 (+13),,RHODES 17-30 (-13),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",1
05:40,,,,,"TURNOVER  by BRAMMEIER,GEORGE",,,"TURNOVER  by BRAMMEIER,GEORGE",1
05:40,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",1
05:40,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",1
05:40,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",1
05:40,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",1
05:22,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by WILLIAMS,JOSH",,,"REBOUND DEF by WILLIAMS,JOSH",1
05:15,,,,,"TURNOVER  by DUVALL,ASA",,,"TURNOVER  by DUVALL,ASA",1
05:10,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",19,,30 (+11),,RHODES 19-30 (-11),,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",1
04:54,,19,,32 (+13),"GOOD JUMPER by SMITH,MALCOLM",LIP 19-32 (-13),,"GOOD JUMPER by SMITH,MALCOLM",1
04:54,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
04:54,,19,,33 (+14),"GOOD FT by SMITH,MALCOLM",LIP 19-33 (-14),,"GOOD FT by SMITH,MALCOLM",1
04:54,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",1
04:54,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",1
04:54,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",1
04:54,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",1
04:54,,,,,"SUB OUT by BRAMMEIER,GEORGE",,,"SUB OUT by BRAMMEIER,GEORGE",1
04:54,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",1
04:54,,,,,"SUB OUT by JOHNSON,CHAD",,,"SUB OUT by JOHNSON,CHAD",1
04:54,,,,,"SUB OUT by DUVALL,ASA",,,"SUB OUT by DUVALL,ASA",1
04:32,,,,,"FOUL  by MORAN,NATHAN",,,"FOUL  by MORAN,NATHAN",1
04:32,"GOOD FT by LIVSEY,GEOFF",20,,33 (+13),,RHODES 20-33 (-13),,"GOOD FT by LIVSEY,GEOFF",1
04:32,"GOOD FT by LIVSEY,GEOFF",21,,33 (+12),,RHODES 21-33 (-12),,"GOOD FT by LIVSEY,GEOFF",1
04:32,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
04:32,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
04:32,"SUB OUT by BLISS,DYLAN",,,,,,,"SUB OUT by BLISS,DYLAN",1
04:32,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
04:32,,,,,"SUB IN by HAMPTON,JC",,,"SUB IN by HAMPTON,JC",1
04:32,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",1
04:07,,,,,"MISS JUMPER by HAMPTON,JC",,,"MISS JUMPER by HAMPTON,JC",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
03:55,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",23,,33 (+10),,RHODES 23-33 (-10),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
03:38,,,,,"MISS JUMPER by WILLIAMS,JOSH",,,"MISS JUMPER by WILLIAMS,JOSH",1
--,,,,,"REBOUND OFF by LANG,CHAD",,,"REBOUND OFF by LANG,CHAD",1
03:35,,23,,35 (+12),"GOOD LAYUP by LANG,CHAD(in the paint)",LIP 23-35 (-12),,"GOOD LAYUP by LANG,CHAD(in the paint)",1
03:19,"GOOD LAYUP by GEE,TYLER(in the paint)",25,,35 (+10),,RHODES 25-35 (-10),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
03:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:17,,,,,"SUB IN by SMITH,MALCOLM",,,"SUB IN by SMITH,MALCOLM",1
03:17,,,,,"SUB IN by WISHON,BRETT",,,"SUB IN by WISHON,BRETT",1
03:17,,,,,"SUB IN by GREENE,DYLAN",,,"SUB IN by GREENE,DYLAN",1
03:17,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",1
03:17,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",1
03:17,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",1
03:04,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
03:04,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:04,,25,,36 (+11),"GOOD FT by SMITH,MALCOLM",LIP 25-36 (-11),,"GOOD FT by SMITH,MALCOLM",1
03:04,,25,,37 (+12),"GOOD FT by SMITH,MALCOLM",LIP 25-37 (-12),,"GOOD FT by SMITH,MALCOLM",1
03:04,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
03:04,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
02:57,,,,,"FOUL  by SMITH,MALCOLM",,,"FOUL  by SMITH,MALCOLM",1
02:57,"GOOD FT by SLEDGE,TATE",26,,37 (+11),,RHODES 26-37 (-11),,"GOOD FT by SLEDGE,TATE",1
02:57,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by DENNY,TALBOTT",,,"REBOUND DEF by DENNY,TALBOTT",1
02:57,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",1
