Time Remaining,UTTMEN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:41,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
19:29,"GOOD LAYUP by JACOBS,TYLER(in the paint)",2 (+2),,0,,UTTMEN 2-0 (-2),,"GOOD LAYUP by JACOBS,TYLER(in the paint)",1
--,"ASSIST  by SUMMERVILLE,JOSIAH",,,,,,,"ASSIST  by SUMMERVILLE,JOSIAH",1
19:12,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
18:55,"MISS 3PTR by RIOS,CHRIS",,,,,,,"MISS 3PTR by RIOS,CHRIS",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
18:27,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND DEF by HALL,STEPHON",,,,,,,"REBOUND DEF by HALL,STEPHON",1
18:14,"TURNOVER  by RIOS,CHRIS",,,,,,,"TURNOVER  by RIOS,CHRIS",1
18:13,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
18:10,,2,,2,"GOOD LAYUP by SLEDGE,TATE(fastbreak)(in the paint)",RHODES 2-2 (0),,"GOOD LAYUP by SLEDGE,TATE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
17:38,"GOOD LAYUP by HALL,STEPHON(in the paint)",4 (+2),,2,,UTTMEN 4-2 (-2),,"GOOD LAYUP by HALL,STEPHON(in the paint)",1
17:20,"FOUL  by HALL,STEPHON",,,,,,,"FOUL  by HALL,STEPHON",1
17:19,"SUB IN by SUMMERVILLE,CALEB",,,,,,,"SUB IN by SUMMERVILLE,CALEB",1
17:19,"SUB OUT by SUMMERVILLE,JOSIAH",,,,,,,"SUB OUT by SUMMERVILLE,JOSIAH",1
17:10,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by GONZALES,ANTHONY",,,,,,,"REBOUND DEF by GONZALES,ANTHONY",1
17:02,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
17:02,"GOOD FT by SUMMERVILLE,CALEB",5 (+3),,2,,UTTMEN 5-2 (-3),,"GOOD FT by SUMMERVILLE,CALEB",1
17:02,"GOOD FT by SUMMERVILLE,CALEB",6 (+4),,2,,UTTMEN 6-2 (-4),,"GOOD FT by SUMMERVILLE,CALEB",1
16:53,,6 (+2),,4,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 6-4 (-2),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
16:22,"MISS 3PTR by RIOS,CHRIS",,,,,,,"MISS 3PTR by RIOS,CHRIS",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
16:07,,6,,7 (+1),"GOOD 3PTR by COLLINS,LUKE",RHODES 6-7 (+1),,"GOOD 3PTR by COLLINS,LUKE",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
15:37,"GOOD 3PTR by HALL,STEPHON",9 (+2),,7,,UTTMEN 9-7 (-2),,"GOOD 3PTR by HALL,STEPHON",1
--,"ASSIST  by GONZALES,ANTHONY",,,,,,,"ASSIST  by GONZALES,ANTHONY",1
15:10,,9,,9,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 9-9 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
