Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:43,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
19:43,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
19:20,"GOOD LAYUP by SEARS,CONNOR(in the paint)",2 (+2),,0,,CCM 2-0 (-2),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,"ASSIST  by FERGUSON,TERON",,,,,,,"ASSIST  by FERGUSON,TERON",1
19:02,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
19:00,"STEAL  by COX,TJ",,,,,,,"STEAL  by COX,TJ",1
18:56,"MISS LAYUP by GARRETT,DANIEL",,,,,,,"MISS LAYUP by GARRETT,DANIEL",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
18:48,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
18:47,"STEAL  by COX,TJ",,,,,,,"STEAL  by COX,TJ",1
18:42,"MISS LAYUP by COX,TJ",,,,,,,"MISS LAYUP by COX,TJ",1
--,"REBOUND OFF by FERGUSON,TERON",,,,,,,"REBOUND OFF by FERGUSON,TERON",1
18:38,"MISS JUMPER by FERGUSON,TERON",,,,,,,"MISS JUMPER by FERGUSON,TERON",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
18:08,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
18:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
17:58,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
17:39,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
17:23,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
17:14,"MISS 3PTR by COX,TJ",,,,,,,"MISS 3PTR by COX,TJ",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
17:02,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
