Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
16:31,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,"REBOUND DEF by IGBINOSA,EGHOSA",,,,,,,"REBOUND DEF by IGBINOSA,EGHOSA",1
16:31,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",1
16:31,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:12,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",1
16:12,"GOOD FT by FREET,AUSTIN",5,,8 (+3),,AC-M 5-8 (+3),,"GOOD FT by FREET,AUSTIN",1
16:12,"MISS FT by FREET,AUSTIN",,,,,,,"MISS FT by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
16:12,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
16:12,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
15:57,,,,,"TURNOVER  by BLISS,DYLAN",,,"TURNOVER  by BLISS,DYLAN",1
15:56,"STEAL  by RIVERA,ANDRES",,,,,,,"STEAL  by RIVERA,ANDRES",1
15:37,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
15:37,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
15:37,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
15:37,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
15:37,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
15:37,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
15:37,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
15:37,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
15:21,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
15:21,"SUB IN by HAMPDEN-SMITH,H",,,,,,,"SUB IN by HAMPDEN-SMITH,H",1
15:21,"SUB OUT by IGBINOSA,EGHOSA",,,,,,,"SUB OUT by IGBINOSA,EGHOSA",1
15:02,,5,,10 (+5),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 5-10 (+5),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
14:54,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
14:54,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
14:42,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
14:42,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
14:34,"GOOD JUMPER by SULLIVAN,ALAN",7,,10 (+3),,AC-M 7-10 (+3),,"GOOD JUMPER by SULLIVAN,ALAN",1
14:15,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
14:11,,7,,13 (+6),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 7-13 (+6),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
13:58,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
13:33,,7,,16 (+9),"GOOD 3PTR by BLISS,DYLAN",RHODES 7-16 (+9),,"GOOD 3PTR by BLISS,DYLAN",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
13:14,"GOOD 3PTR by SULLIVAN,ALAN",10,,16 (+6),,AC-M 10-16 (+6),,"GOOD 3PTR by SULLIVAN,ALAN",1
--,"ASSIST  by REIBLY,RYAN",,,,,,,"ASSIST  by REIBLY,RYAN",1
12:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:57,"SUB IN by FREET,AUSTIN",,,,,,,"SUB IN by FREET,AUSTIN",1
12:57,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
12:57,"SUB IN by HUDSON,CEDRIC",,,,,,,"SUB IN by HUDSON,CEDRIC",1
12:57,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
12:57,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
12:57,"SUB OUT by HAMPDEN-SMITH,H",,,,,,,"SUB OUT by HAMPDEN-SMITH,H",1
12:57,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
12:57,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",1
12:48,"FOUL  by REIBLY,RYAN",,,,,,,"FOUL  by REIBLY,RYAN",1
12:48,,10,,17 (+7),"GOOD FT by WAGNER,MATT",RHODES 10-17 (+7),,"GOOD FT by WAGNER,MATT",1
12:48,,10,,18 (+8),"GOOD FT by WAGNER,MATT",RHODES 10-18 (+8),,"GOOD FT by WAGNER,MATT",1
12:34,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
12:34,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:34,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
12:32,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
12:32,"MISS FT by FREET,AUSTIN",,,,,,,"MISS FT by FREET,AUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:32,"GOOD FT by FREET,AUSTIN",11,,18 (+7),,AC-M 11-18 (+7),,"GOOD FT by FREET,AUSTIN",1
12:32,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
12:32,"SUB OUT by REIBLY,RYAN",,,,,,,"SUB OUT by REIBLY,RYAN",1
12:12,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
12:12,,11,,19 (+8),"GOOD FT by MILLER,DREW",RHODES 11-19 (+8),,"GOOD FT by MILLER,DREW",1
12:12,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
12:12,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
12:12,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
11:46,"GOOD 3PTR by SWISHER,JEREMY",14,,19 (+5),,AC-M 14-19 (+5),,"GOOD 3PTR by SWISHER,JEREMY",1
11:25,,14,,21 (+7),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODES 14-21 (+7),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
11:01,"TURNOVER  by FREET,AUSTIN",,,,,,,"TURNOVER  by FREET,AUSTIN",1
11:00,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
10:53,,14,,24 (+10),"GOOD 3PTR by MILLER,DREW",RHODES 14-24 (+10),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
10:36,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",1
10:36,"FOUL  by HUDSON,CEDRIC",,,,,,,"FOUL  by HUDSON,CEDRIC",1
10:36,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
10:36,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
10:36,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
10:36,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
10:19,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
10:16,"STEAL  by ANWARY,AARON",,,,,,,"STEAL  by ANWARY,AARON",1
10:15,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",1
09:59,,14,,26 (+12),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RHODES 14-26 (+12),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
09:44,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND OFF by HUDSON,CEDRIC",,,,,,,"REBOUND OFF by HUDSON,CEDRIC",1
09:40,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",1
09:30,,14,,28 (+14),"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",RHODES 14-28 (+14),,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",1
09:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:18,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
09:18,"GOOD FT by ANWARY,AARON",15,,28 (+13),,AC-M 15-28 (+13),,"GOOD FT by ANWARY,AARON",1
09:18,"GOOD FT by ANWARY,AARON",16,,28 (+12),,AC-M 16-28 (+12),,"GOOD FT by ANWARY,AARON",1
08:49,,,,,"MISS 3PTR by WAGNER,MATT",,,"MISS 3PTR by WAGNER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:32,,16,,30 (+14),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODES 16-30 (+14),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
08:16,"MISS JUMPER by SULLIVAN,ALAN",,,,,,,"MISS JUMPER by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
08:13,"SUB IN by MANIKOWSKI,ROMAN",,,,,,,"SUB IN by MANIKOWSKI,ROMAN",1
08:13,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",1
08:04,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
08:04,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
08:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
07:38,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
07:22,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
07:16,,,,,"MISS JUMPER by SLEDGE,TATE",,,"MISS JUMPER by SLEDGE,TATE",1
--,"REBOUND DEF by MEYERS,CODY",,,,,,,"REBOUND DEF by MEYERS,CODY",1
07:04,"TURNOVER  by MANIKOWSKI,ROMAN",,,,,,,"TURNOVER  by MANIKOWSKI,ROMAN",1
07:03,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",1
06:54,"SUB IN by MEYERS,CODY",,,,,,,"SUB IN by MEYERS,CODY",1
06:54,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
06:44,"FOUL  by MANIKOWSKI,ROMAN",,,,,,,"FOUL  by MANIKOWSKI,ROMAN",1
06:44,,16,,31 (+15),"GOOD FT by SLEDGE,TATE",RHODES 16-31 (+15),,"GOOD FT by SLEDGE,TATE",1
06:44,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
06:44,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
06:44,"SUB IN by REIBLY,RYAN",,,,,,,"SUB IN by REIBLY,RYAN",1
06:44,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
06:44,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
06:44,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:44,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:44,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
06:44,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
06:38,"MISS JUMPER by RIVERA,ANDRES",,,,,,,"MISS JUMPER by RIVERA,ANDRES",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
06:16,,16,,34 (+18),"GOOD 3PTR by SLEDGE,TATE",RHODES 16-34 (+18),,"GOOD 3PTR by SLEDGE,TATE",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
06:03,"TURNOVER  by MEYERS,CODY",,,,,,,"TURNOVER  by MEYERS,CODY",1
06:01,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
05:53,,16,,36 (+20),"GOOD JUMPER by SULLIVAN,BRENNAN",RHODES 16-36 (+20),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
05:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:20,"MISS 3PTR by MANIKOWSKI,ROMAN",,,,,,,"MISS 3PTR by MANIKOWSKI,ROMAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:03,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",,,"REBOUND OFF by SULLIVAN,BRENNAN",1
04:46,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:46,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
04:46,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
04:46,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
04:46,"SUB IN by IGBINOSA,EGHOSA",,,,,,,"SUB IN by IGBINOSA,EGHOSA",1
04:46,"SUB OUT by MEYERS,CODY",,,,,,,"SUB OUT by MEYERS,CODY",1
04:46,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
04:46,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
04:46,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
04:46,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:45,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND OFF by REIBLY,RYAN",,,,,,,"REBOUND OFF by REIBLY,RYAN",1
04:39,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,"REBOUND OFF by MANIKOWSKI,ROMAN",,,,,,,"REBOUND OFF by MANIKOWSKI,ROMAN",1
04:36,"GOOD LAYUP by MANIKOWSKI,ROMAN(in the paint)",18,,36 (+18),,AC-M 18-36 (+18),,"GOOD LAYUP by MANIKOWSKI,ROMAN(in the paint)",1
04:13,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
04:05,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
04:05,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
03:57,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
03:46,,18,,37 (+19),"GOOD FT by SULLIVAN,BRENNAN",RHODES 18-37 (+19),,"GOOD FT by SULLIVAN,BRENNAN",1
03:46,,18,,38 (+20),"GOOD FT by SULLIVAN,BRENNAN",RHODES 18-38 (+20),,"GOOD FT by SULLIVAN,BRENNAN",1
03:25,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
03:25,"MISS FT by BAEHL,BRIAN",,,,,,,"MISS FT by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
03:11,"FOUL  by IGBINOSA,EGHOSA",,,,,,,"FOUL  by IGBINOSA,EGHOSA",1
03:11,,18,,39 (+21),"GOOD FT by MILLER,DREW",RHODES 18-39 (+21),,"GOOD FT by MILLER,DREW",1
03:11,,18,,40 (+22),"GOOD FT by MILLER,DREW",RHODES 18-40 (+22),,"GOOD FT by MILLER,DREW",1
02:55,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
02:38,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",1
02:38,"SUB OUT by MANIKOWSKI,ROMAN",,,,,,,"SUB OUT by MANIKOWSKI,ROMAN",1
02:36,,18,,42 (+24),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 18-42 (+24),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
02:14,"MISS 3PTR by BAEHL,BRIAN",,,,,,,"MISS 3PTR by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:55,,18,,44 (+26),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 18-44 (+26),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
01:49,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
01:49,"GOOD FT by REIBLY,RYAN",19,,44 (+25),,AC-M 19-44 (+25),,"GOOD FT by REIBLY,RYAN",1
01:49,"MISS FT by REIBLY,RYAN",,,,,,,"MISS FT by REIBLY,RYAN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:49,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
01:49,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
01:22,,19,,46 (+27),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 19-46 (+27),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
01:10,"MISS LAYUP by HUDSON,CEDRIC",,,,,,,"MISS LAYUP by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
00:49,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
00:49,"BLOCK  by IGBINOSA,EGHOSA",,,,,,,"BLOCK  by IGBINOSA,EGHOSA",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
00:45,,19,,48 (+29),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 19-48 (+29),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
00:38,"TURNOVER  by BAEHL,BRIAN",,,,,,,"TURNOVER  by BAEHL,BRIAN",1
00:36,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
00:04,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
00:04,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
00:04,"SUB IN by HAMPDEN-SMITH,H",,,,,,,"SUB IN by HAMPDEN-SMITH,H",1
00:04,"SUB OUT by IGBINOSA,EGHOSA",,,,,,,"SUB OUT by IGBINOSA,EGHOSA",1
00:04,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
00:04,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
00:00,"MISS 3PTR by BAEHL,BRIAN",,,,,,,"MISS 3PTR by BAEHL,BRIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",2
20:00,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",2
20:00,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",2
20:00,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",2
20:00,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",2
19:45,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
19:45,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
19:30,"TURNOVER  by RIVERA,ANDRES",,,,,,,"TURNOVER  by RIVERA,ANDRES",2
19:29,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
19:11,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",2
19:11,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",2
