Time Remaining,LETUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
13:58,,32,,51 (+19),"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHODES 32-51 (+19),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",2
13:33,"MISS JUMPER by THOMPSON,GIOVANNY",,,,,,,"MISS JUMPER by THOMPSON,GIOVANNY",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
13:20,,32,,54 (+22),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 32-54 (+22),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
12:59,"MISS JUMPER by SCHIMMING,KELBY",,,,,,,"MISS JUMPER by SCHIMMING,KELBY",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
12:45,,32,,56 (+24),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 32-56 (+24),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
12:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:39,"SUB IN by WIGGINS,ROOZARIO",,,,,,,"SUB IN by WIGGINS,ROOZARIO",2
12:39,"SUB IN by REED,SHAQUILLE",,,,,,,"SUB IN by REED,SHAQUILLE",2
12:39,"SUB OUT by EDWARDS,CJ",,,,,,,"SUB OUT by EDWARDS,CJ",2
12:39,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",2
12:39,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
12:39,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
12:39,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
12:39,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
12:39,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
12:39,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
12:27,"GOOD LAYUP by REED,SHAQUILLE(in the paint)",34,,56 (+22),,LETUM 34-56 (+22),,"GOOD LAYUP by REED,SHAQUILLE(in the paint)",2
12:03,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
12:02,"STEAL  by WIGGINS,ROOZARIO",,,,,,,"STEAL  by WIGGINS,ROOZARIO",2
11:56,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
11:42,"FOUL  by SCHIMMING,KELBY",,,,,,,"FOUL  by SCHIMMING,KELBY",2
11:28,,34,,58 (+24),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 34-58 (+24),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
11:28,"FOUL  by TALBERT,SAM",,,,,,,"FOUL  by TALBERT,SAM",2
11:28,"SUB IN by ROCKWELL,ROBBIE",,,,,,,"SUB IN by ROCKWELL,ROBBIE",2
11:28,"SUB OUT by TALBERT,SAM",,,,,,,"SUB OUT by TALBERT,SAM",2
11:27,,34,,59 (+25),"GOOD FT by COLLINS,LUKE",RHODES 34-59 (+25),,"GOOD FT by COLLINS,LUKE",2
11:16,"GOOD 3PTR by THORNTON,JOSH",37,,59 (+22),,LETUM 37-59 (+22),,"GOOD 3PTR by THORNTON,JOSH",2
10:57,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
10:57,"BLOCK  by THORNTON,JOSH",,,,,,,"BLOCK  by THORNTON,JOSH",2
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",2
10:52,,37,,61 (+24),"GOOD JUMPER by SLEDGE,TATE(in the paint)",RHODES 37-61 (+24),,"GOOD JUMPER by SLEDGE,TATE(in the paint)",2
10:31,"GOOD JUMPER by WIGGINS,ROOZARIO",39,,61 (+22),,LETUM 39-61 (+22),,"GOOD JUMPER by WIGGINS,ROOZARIO",2
10:14,"FOUL  by THORNTON,JOSH",,,,,,,"FOUL  by THORNTON,JOSH",2
10:14,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
10:14,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
10:04,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",2
09:55,"GOOD JUMPER by REED,SHAQUILLE",41,,61 (+20),,LETUM 41-61 (+20),,"GOOD JUMPER by REED,SHAQUILLE",2
09:38,,41,,63 (+22),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODES 41-63 (+22),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
09:10,"MISS 3PTR by ROCKWELL,ROBBIE",,,,,,,"MISS 3PTR by ROCKWELL,ROBBIE",2
--,"REBOUND OFF by ROCKWELL,ROBBIE",,,,,,,"REBOUND OFF by ROCKWELL,ROBBIE",2
08:59,"GOOD LAYUP by ROCKWELL,ROBBIE(in the paint)",43,,63 (+20),,LETUM 43-63 (+20),,"GOOD LAYUP by ROCKWELL,ROBBIE(in the paint)",2
08:45,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by ROCKWELL,ROBBIE",,,,,,,"REBOUND DEF by ROCKWELL,ROBBIE",2
08:23,"TURNOVER  by REED,SHAQUILLE",,,,,,,"TURNOVER  by REED,SHAQUILLE",2
08:22,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
08:19,,43,,65 (+22),"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",RHODES 43-65 (+22),,"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
08:13,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
08:13,"SUB IN by HYNES,CHRIS",,,,,,,"SUB IN by HYNES,CHRIS",2
08:13,"SUB OUT by REED,SHAQUILLE",,,,,,,"SUB OUT by REED,SHAQUILLE",2
08:13,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
08:13,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
08:13,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
08:13,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
08:13,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
08:13,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
07:59,"MISS 3PTR by THORNTON,JOSH",,,,,,,"MISS 3PTR by THORNTON,JOSH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:55,"SUB IN by ARNEDO,JON",,,,,,,"SUB IN by ARNEDO,JON",2
07:55,"SUB OUT by WIGGINS,ROOZARIO",,,,,,,"SUB OUT by WIGGINS,ROOZARIO",2
07:43,,43,,67 (+24),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 43-67 (+24),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
07:08,"MISS 3PTR by THORNTON,JOSH",,,,,,,"MISS 3PTR by THORNTON,JOSH",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
06:47,,43,,69 (+26),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 43-69 (+26),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
06:16,"GOOD LAYUP by ARNEDO,JON(in the paint)",45,,69 (+24),,LETUM 45-69 (+24),,"GOOD LAYUP by ARNEDO,JON(in the paint)",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
05:59,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
05:55,"STEAL  by SCHIMMING,KELBY",,,,,,,"STEAL  by SCHIMMING,KELBY",2
05:29,"MISS LAYUP by SCHIMMING,KELBY",,,,,,,"MISS LAYUP by SCHIMMING,KELBY",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
05:26,,45,,71 (+26),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 45-71 (+26),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
05:22,"MISS 3PTR by HYNES,CHRIS",,,,,,,"MISS 3PTR by HYNES,CHRIS",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
04:55,,45,,73 (+28),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 45-73 (+28),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
04:42,"MISS 3PTR by ROCKWELL,ROBBIE",,,,,,,"MISS 3PTR by ROCKWELL,ROBBIE",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
04:39,"FOUL  by THORNTON,JOSH",,,,,,,"FOUL  by THORNTON,JOSH",2
04:39,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:39,"SUB IN by LEE,CLARK",,,,,,,"SUB IN by LEE,CLARK",2
04:39,"SUB IN by THOMPSON,GIOVANNY",,,,,,,"SUB IN by THOMPSON,GIOVANNY",2
04:39,"SUB IN by TALBERT,SAM",,,,,,,"SUB IN by TALBERT,SAM",2
04:39,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",2
04:39,"SUB OUT by ROCKWELL,ROBBIE",,,,,,,"SUB OUT by ROCKWELL,ROBBIE",2
04:39,"SUB OUT by HYNES,CHRIS",,,,,,,"SUB OUT by HYNES,CHRIS",2
04:39,"SUB OUT by ARNEDO,JON",,,,,,,"SUB OUT by ARNEDO,JON",2
04:39,"SUB OUT by THORNTON,JOSH",,,,,,,"SUB OUT by THORNTON,JOSH",2
04:39,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
04:39,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
04:39,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
04:39,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
04:39,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
04:39,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
04:38,,45,,74 (+29),"GOOD FT by BUTTS,KEYSHAWN",RHODES 45-74 (+29),,"GOOD FT by BUTTS,KEYSHAWN",2
04:27,"TURNOVER  by SCHIMMING,KELBY",,,,,,,"TURNOVER  by SCHIMMING,KELBY",2
04:24,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",2
04:18,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
04:18,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
04:13,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
03:59,"GOOD JUMPER by KENNEDY,JAKE",47,,74 (+27),,LETUM 47-74 (+27),,"GOOD JUMPER by KENNEDY,JAKE",2
--,"ASSIST  by TALBERT,SAM",,,,,,,"ASSIST  by TALBERT,SAM",2
03:30,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",2
--,"REBOUND DEF by TALBERT,SAM",,,,,,,"REBOUND DEF by TALBERT,SAM",2
03:23,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",2
03:23,"GOOD FT by KENNEDY,JAKE",48,,74 (+26),,LETUM 48-74 (+26),,"GOOD FT by KENNEDY,JAKE",2
03:23,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
03:23,"GOOD FT by TALBERT,SAM",49,,74 (+25),,LETUM 49-74 (+25),,"GOOD FT by TALBERT,SAM",2
03:23,"SUB IN by REED,SHAQUILLE",,,,,,,"SUB IN by REED,SHAQUILLE",2
03:23,"SUB OUT by SCHIMMING,KELBY",,,,,,,"SUB OUT by SCHIMMING,KELBY",2
03:23,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
03:23,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
03:23,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
03:23,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
03:20,"GOOD FT by TALBERT,SAM",50,,74 (+24),,LETUM 50-74 (+24),,"GOOD FT by TALBERT,SAM",2
03:13,"TURNOVER  by REED,SHAQUILLE",,,,,,,"TURNOVER  by REED,SHAQUILLE",2
03:04,"MISS LAYUP by REED,SHAQUILLE",,,,,,,"MISS LAYUP by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",2
02:53,,50,,76 (+26),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHODES 50-76 (+26),,"GOOD LAYUP by HARRISON,IAN(in the paint)",2
02:44,"MISS 3PTR by REED,SHAQUILLE",,,,,,,"MISS 3PTR by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
02:25,,50,,78 (+28),"GOOD JUMPER by BUTTS,KEYSHAWN",RHODES 50-78 (+28),,"GOOD JUMPER by BUTTS,KEYSHAWN",2
02:25,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
02:25,"SUB IN by DENNIS,TREY",,,,,,,"SUB IN by DENNIS,TREY",2
02:25,"SUB IN by EADEH,JUSTIN",,,,,,,"SUB IN by EADEH,JUSTIN",2
02:25,"SUB OUT by REED,SHAQUILLE",,,,,,,"SUB OUT by REED,SHAQUILLE",2
02:25,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",2
02:25,,,,,"SUB IN by HECHINGER,GRANT",,,"SUB IN by HECHINGER,GRANT",2
02:25,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
02:15,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
02:15,,50,,79 (+29),"GOOD FT by LOWRIE,ANDREW",RHODES 50-79 (+29),,"GOOD FT by LOWRIE,ANDREW",2
02:15,,50,,80 (+30),"GOOD FT by LOWRIE,ANDREW",RHODES 50-80 (+30),,"GOOD FT by LOWRIE,ANDREW",2
02:15,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by EADEH,JUSTIN",,,,,,,"REBOUND DEF by EADEH,JUSTIN",2
02:15,"SUB IN by EDWARDS,CJ",,,,,,,"SUB IN by EDWARDS,CJ",2
02:15,"SUB OUT by TALBERT,SAM",,,,,,,"SUB OUT by TALBERT,SAM",2
02:02,"MISS JUMPER by LEE,CLARK",,,,,,,"MISS JUMPER by LEE,CLARK",2
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",2
01:49,,,,,"TURNOVER  by HARRISON,IAN",,,"TURNOVER  by HARRISON,IAN",2
01:48,"STEAL  by DENNIS,TREY",,,,,,,"STEAL  by DENNIS,TREY",2
01:46,"TURNOVER  by DENNIS,TREY",,,,,,,"TURNOVER  by DENNIS,TREY",2
01:45,,,,,"STEAL  by HECHINGER,GRANT",,,"STEAL  by HECHINGER,GRANT",2
01:36,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
01:27,,,,,"FOUL  by HECHINGER,GRANT",,,"FOUL  by HECHINGER,GRANT",2
01:27,"GOOD FT by EADEH,JUSTIN",51,,80 (+29),,LETUM 51-80 (+29),,"GOOD FT by EADEH,JUSTIN",2
01:26,"GOOD FT by EADEH,JUSTIN",52,,80 (+28),,LETUM 52-80 (+28),,"GOOD FT by EADEH,JUSTIN",2
01:26,"GOOD FT by EADEH,JUSTIN",53,,80 (+27),,LETUM 53-80 (+27),,"GOOD FT by EADEH,JUSTIN",2
01:26,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
01:26,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
01:08,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",2
01:06,"STEAL  by DENNIS,TREY",,,,,,,"STEAL  by DENNIS,TREY",2
01:03,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",2
00:51,"MISS LAYUP by LEE,CLARK",,,,,,,"MISS LAYUP by LEE,CLARK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:26,,53,,83 (+30),"GOOD 3PTR by DALTON,PRICE",RHODES 53-83 (+30),,"GOOD 3PTR by DALTON,PRICE",2
--,,,,,"ASSIST  by HECHINGER,GRANT",,,"ASSIST  by HECHINGER,GRANT",2
00:09,"MISS 3PTR by LEE,CLARK",,,,,,,"MISS 3PTR by LEE,CLARK",2
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",2
