Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,FSU,Game Score,Team Indicator,Play,Period
14:54,,,,,"MISS JUMPER by SMOOT,NICK",,,"MISS JUMPER by SMOOT,NICK",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
14:49,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
14:49,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
14:49,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
14:49,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
14:49,,,,,"SUB IN by DODSON,QUINTON",,,"SUB IN by DODSON,QUINTON",1
14:49,,,,,"SUB IN by PETERS,JAMES",,,"SUB IN by PETERS,JAMES",1
14:49,,,,,"SUB OUT by MICHAEL,TYLER",,,"SUB OUT by MICHAEL,TYLER",1
14:49,,,,,"SUB OUT by COSTON,CHRISTOPHER",,,"SUB OUT by COSTON,CHRISTOPHER",1
14:31,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by PETERS,JAMES",,,"REBOUND DEF by PETERS,JAMES",1
14:19,,,,,"TURNOVER  by DODSON,QUINTON",,,"TURNOVER  by DODSON,QUINTON",1
14:19,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
14:19,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
14:19,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
14:19,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
14:10,,,,,"FOUL  by DODSON,QUINTON",,,"FOUL  by DODSON,QUINTON",1
13:50,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
13:45,"GOOD LAYUP by STONE,BRODY(in the paint)",13 (+9),,4,,SEWANE~1 13-4 (+9),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
13:21,,13 (+6),,7,"GOOD 3PTR by SMOOT,NICK",FSU 13-7 (+6),,"GOOD 3PTR by SMOOT,NICK",1
--,,,,,"ASSIST  by DODSON,QUINTON",,,"ASSIST  by DODSON,QUINTON",1
13:01,"GOOD LAYUP by CARTER,KESHONN(in the paint)",15 (+8),,7,,SEWANE~1 15-7 (+8),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
12:45,,15 (+5),,10,"GOOD 3PTR by PETERS,JAMES",FSU 15-10 (+5),,"GOOD 3PTR by PETERS,JAMES",1
--,,,,,"ASSIST  by DODSON,QUINTON",,,"ASSIST  by DODSON,QUINTON",1
12:13,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
12:06,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
12:06,,,,,"BLOCK  by COALMON,ZACHARY",,,"BLOCK  by COALMON,ZACHARY",1
--,,,,,"REBOUND DEF by SMOOT,NICK",,,"REBOUND DEF by SMOOT,NICK",1
11:59,,15 (+3),,12,"GOOD JUMPER by SMOOT,NICK(fastbreak)(in the paint)",FSU 15-12 (+3),,"GOOD JUMPER by SMOOT,NICK(fastbreak)(in the paint)",1
11:33,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,"REBOUND OFF by TOME,MATT",,,,,,,"REBOUND OFF by TOME,MATT",1
11:29,"MISS TIPIN by TOME,MATT",,,,,,,"MISS TIPIN by TOME,MATT",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
11:28,,,,,"FOUL  by SMOOT,NICK",,,"FOUL  by SMOOT,NICK",1
11:28,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:28,"GOOD FT by CARTER,KESHONN",16 (+4),,12,,SEWANE~1 16-12 (+4),,"GOOD FT by CARTER,KESHONN",1
11:28,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
11:28,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
11:28,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
11:28,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
11:28,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
11:28,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
11:28,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
11:28,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
11:28,,,,,"SUB IN by GOODMAN,TORRELL",,,"SUB IN by GOODMAN,TORRELL",1
11:28,,,,,"SUB IN by GLASBRENNER,STEVEN",,,"SUB IN by GLASBRENNER,STEVEN",1
11:28,,,,,"SUB IN by GAUS,DALTON",,,"SUB IN by GAUS,DALTON",1
11:28,,,,,"SUB OUT by SMOOT,NICK",,,"SUB OUT by SMOOT,NICK",1
11:28,,,,,"SUB OUT by HENSON,SHAWN",,,"SUB OUT by HENSON,SHAWN",1
11:28,,,,,"SUB OUT by COALMON,ZACHARY",,,"SUB OUT by COALMON,ZACHARY",1
11:20,,16 (+2),,14,"GOOD JUMPER by PETERS,JAMES",FSU 16-14 (+2),,"GOOD JUMPER by PETERS,JAMES",1
--,,,,,"ASSIST  by DODSON,QUINTON",,,"ASSIST  by DODSON,QUINTON",1
11:04,"GOOD 3PTR by WILLIAMS,JORDEN",19 (+5),,14,,SEWANE~1 19-14 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",1
10:57,,,,,"MISS 3PTR by GLASBRENNER,STEVEN",,,"MISS 3PTR by GLASBRENNER,STEVEN",1
--,,,,,"REBOUND OFF by GAUS,DALTON",,,"REBOUND OFF by GAUS,DALTON",1
10:47,,19 (+2),,17,"GOOD 3PTR by PETERS,JAMES",FSU 19-17 (+2),,"GOOD 3PTR by PETERS,JAMES",1
--,,,,,"ASSIST  by GAUS,DALTON",,,"ASSIST  by GAUS,DALTON",1
10:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:25,"GOOD LAYUP by BROWN,SETH(in the paint)",21 (+4),,17,,SEWANE~1 21-17 (+4),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
10:12,,,,,"MISS 3PTR by GLASBRENNER,STEVEN",,,"MISS 3PTR by GLASBRENNER,STEVEN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
10:03,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
09:44,"GOOD JUMPER by BORN,CLAY",23 (+6),,17,,SEWANE~1 23-17 (+6),,"GOOD JUMPER by BORN,CLAY",1
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",1
09:29,,,,,"MISS LAYUP by GOODMAN,TORRELL",,,"MISS LAYUP by GOODMAN,TORRELL",1
--,,,,,"REBOUND OFF by GOODMAN,TORRELL",,,"REBOUND OFF by GOODMAN,TORRELL",1
09:26,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
09:26,,23 (+5),,18,"GOOD FT by GOODMAN,TORRELL",FSU 23-18 (+5),,"GOOD FT by GOODMAN,TORRELL",1
09:26,,,,,"MISS FT by GOODMAN,TORRELL",,,"MISS FT by GOODMAN,TORRELL",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
09:26,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
09:26,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
09:26,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
09:26,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
09:26,,,,,"SUB IN by SMOOT,NICK",,,"SUB IN by SMOOT,NICK",1
09:26,,,,,"SUB IN by COALMON,ZACHARY",,,"SUB IN by COALMON,ZACHARY",1
09:26,,,,,"SUB IN by MICHAEL,TYLER",,,"SUB IN by MICHAEL,TYLER",1
09:26,,,,,"SUB OUT by GLASBRENNER,STEVEN",,,"SUB OUT by GLASBRENNER,STEVEN",1
09:26,,,,,"SUB OUT by DODSON,QUINTON",,,"SUB OUT by DODSON,QUINTON",1
09:26,,,,,"SUB OUT by GAUS,DALTON",,,"SUB OUT by GAUS,DALTON",1
09:14,,,,,"FOUL  by GOODMAN,TORRELL",,,"FOUL  by GOODMAN,TORRELL",1
09:14,,,,,"SUB IN by HENSON,SHAWN",,,"SUB IN by HENSON,SHAWN",1
09:14,,,,,"SUB OUT by GOODMAN,TORRELL",,,"SUB OUT by GOODMAN,TORRELL",1
09:07,"GOOD 3PTR by WILLIAMS,JORDEN",26 (+8),,18,,SEWANE~1 26-18 (+8),,"GOOD 3PTR by WILLIAMS,JORDEN",1
08:39,,26 (+5),,21,"GOOD 3PTR by MICHAEL,TYLER",FSU 26-21 (+5),,"GOOD 3PTR by MICHAEL,TYLER",1
--,,,,,"ASSIST  by SMOOT,NICK",,,"ASSIST  by SMOOT,NICK",1
08:15,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
08:15,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
08:15,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
08:00,,,,,"MISS 3PTR by PETERS,JAMES",,,"MISS 3PTR by PETERS,JAMES",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
07:39,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
07:19,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
07:19,,,,,"BLOCK  by PETERS,JAMES",,,"BLOCK  by PETERS,JAMES",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
07:15,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
07:13,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND DEF by SMOOT,NICK",,,"REBOUND DEF by SMOOT,NICK",1
07:07,,26 (+3),,23,"GOOD LAYUP by MICHAEL,TYLER(fastbreak)(in the paint)",FSU 26-23 (+3),,"GOOD LAYUP by MICHAEL,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SMOOT,NICK",,,"ASSIST  by SMOOT,NICK",1
06:37,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
06:37,,,,,"BLOCK  by COALMON,ZACHARY",,,"BLOCK  by COALMON,ZACHARY",1
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",1
06:31,"GOOD JUMPER by BORN,CLAY(in the paint)",28 (+5),,23,,SEWANE~1 28-23 (+5),,"GOOD JUMPER by BORN,CLAY(in the paint)",1
06:18,,,,,"MISS JUMPER by SMOOT,NICK",,,"MISS JUMPER by SMOOT,NICK",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
05:57,"GOOD 3PTR by BORN,CLAY",31 (+8),,23,,SEWANE~1 31-23 (+8),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
05:41,,31 (+6),,25,"GOOD LAYUP by MICHAEL,TYLER(in the paint)",FSU 31-25 (+6),,"GOOD LAYUP by MICHAEL,TYLER(in the paint)",1
--,,,,,"ASSIST  by SMOOT,NICK",,,"ASSIST  by SMOOT,NICK",1
05:20,"GOOD 3PTR by BORN,CLAY",34 (+9),,25,,SEWANE~1 34-25 (+9),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
05:11,,,,,"MISS 3PTR by SMOOT,NICK",,,"MISS 3PTR by SMOOT,NICK",1
--,"REBOUND DEF by TURNER,BYRON",,,,,,,"REBOUND DEF by TURNER,BYRON",1
04:51,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND OFF by TURNER,BYRON",,,,,,,"REBOUND OFF by TURNER,BYRON",1
04:41,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
04:41,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
04:41,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
04:41,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
04:41,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
04:41,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
04:41,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
04:41,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
04:41,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
04:41,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
04:41,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
04:41,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
04:41,,,,,"SUB IN by COSTON,CHRISTOPHER",,,"SUB IN by COSTON,CHRISTOPHER",1
04:41,,,,,"SUB OUT by PETERS,JAMES",,,"SUB OUT by PETERS,JAMES",1
04:15,,,,,"MISS JUMPER by HENSON,SHAWN",,,"MISS JUMPER by HENSON,SHAWN",1
--,"REBOUND DEF by LEE,MATTHEW",,,,,,,"REBOUND DEF by LEE,MATTHEW",1
04:00,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND OFF by TOME,MATT",,,,,,,"REBOUND OFF by TOME,MATT",1
03:52,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",1
03:50,,,,,"STEAL  by MICHAEL,TYLER",,,"STEAL  by MICHAEL,TYLER",1
03:45,,34 (+7),,27,"GOOD LAYUP by COSTON,CHRISTOPHER(fastbreak)(in the paint)",FSU 34-27 (+7),,"GOOD LAYUP by COSTON,CHRISTOPHER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MICHAEL,TYLER",,,"ASSIST  by MICHAEL,TYLER",1
03:30,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND DEF by COALMON,ZACHARY",,,"REBOUND DEF by COALMON,ZACHARY",1
03:16,,34 (+5),,29,"GOOD LAYUP by MICHAEL,TYLER(in the paint)",FSU 34-29 (+5),,"GOOD LAYUP by MICHAEL,TYLER(in the paint)",1
03:16,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",1
03:16,,34 (+4),,30,"GOOD FT by MICHAEL,TYLER",FSU 34-30 (+4),,"GOOD FT by MICHAEL,TYLER",1
03:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:16,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
03:16,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
02:54,"MISS JUMPER by JONES,CODY",,,,,,,"MISS JUMPER by JONES,CODY",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
02:50,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
02:50,,,,,"BLOCK  by COALMON,ZACHARY",,,"BLOCK  by COALMON,ZACHARY",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
02:32,"GOOD 3PTR by JONES,CODY",37 (+7),,30,,SEWANE~1 37-30 (+7),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
02:11,,,,,"FOUL  by SMOOT,NICK",,,"FOUL  by SMOOT,NICK",1
02:11,,,,,"TURNOVER  by SMOOT,NICK",,,"TURNOVER  by SMOOT,NICK",1
02:11,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
02:11,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
02:11,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
02:11,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
02:11,,,,,"SUB IN by PETERS,JAMES",,,"SUB IN by PETERS,JAMES",1
02:11,,,,,"SUB OUT by MICHAEL,TYLER",,,"SUB OUT by MICHAEL,TYLER",1
02:04,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
02:04,,,,,"STEAL  by SMOOT,NICK",,,"STEAL  by SMOOT,NICK",1
01:48,,37 (+4),,33,"GOOD 3PTR by SMOOT,NICK",FSU 37-33 (+4),,"GOOD 3PTR by SMOOT,NICK",1
--,,,,,"ASSIST  by HENSON,SHAWN",,,"ASSIST  by HENSON,SHAWN",1
01:14,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by HENSON,SHAWN",,,"REBOUND DEF by HENSON,SHAWN",1
01:08,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
01:08,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
01:06,,,,,"TURNOVER  by SMOOT,NICK",,,"TURNOVER  by SMOOT,NICK",1
01:02,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
01:00,"GOOD JUMPER by MCCULLOUGH,JACOB",39 (+6),,33,,SEWANE~1 39-33 (+6),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
00:33,,,,,"TURNOVER  by PETERS,JAMES",,,"TURNOVER  by PETERS,JAMES",1
00:07,,,,,"FOUL  by PETERS,JAMES",,,"FOUL  by PETERS,JAMES",1
00:07,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:00,,,,,"MISS 3PTR by SMOOT,NICK",,,"MISS 3PTR by SMOOT,NICK",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
19:33,,39 (+4),,35,"GOOD JUMPER by GOODMAN,TORRELL(in the paint)",FSU 39-35 (+4),,"GOOD JUMPER by GOODMAN,TORRELL(in the paint)",2
19:25,,,,,"FOUL  by PETERS,JAMES",,,"FOUL  by PETERS,JAMES",2
19:12,"GOOD JUMPER by CARTER,KESHONN(in the paint)",41 (+6),,35,,SEWANE~1 41-35 (+6),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
18:39,,,,,"MISS 3PTR by HENSON,SHAWN",,,"MISS 3PTR by HENSON,SHAWN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:16,"GOOD 3PTR by STONE,BRODY",44 (+9),,35,,SEWANE~1 44-35 (+9),,"GOOD 3PTR by STONE,BRODY",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
17:56,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
17:46,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
17:32,,,,,"MISS 3PTR by PETERS,JAMES",,,"MISS 3PTR by PETERS,JAMES",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
17:23,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
17:18,"GOOD JUMPER by CARTER,KESHONN(in the paint)",46 (+11),,35,,SEWANE~1 46-35 (+11),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
16:50,,,,,"TURNOVER  by GOODMAN,TORRELL",,,"TURNOVER  by GOODMAN,TORRELL",2
16:50,"STEAL  by JONES,CODY",,,,,,,"STEAL  by JONES,CODY",2
16:29,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
