Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
05:25,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
05:25,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
05:25,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
05:25,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
05:25,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
05:25,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
05:21,,23 (+7),,16,"GOOD 3PTR by SINE,TUCKER",CENTRE 23-16 (+7),,"GOOD 3PTR by SINE,TUCKER",1
04:52,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
04:37,,23 (+5),,18,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 23-18 (+5),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
04:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:33,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
04:33,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
04:33,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
04:33,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
04:33,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
04:33,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
04:33,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
04:33,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
04:06,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
03:44,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
03:44,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
03:44,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
03:44,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
03:44,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
03:37,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
03:19,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:02,,23 (+3),,20,"GOOD JUMPER by WESLEY,TYLER",CENTRE 23-20 (+3),,"GOOD JUMPER by WESLEY,TYLER",1
02:40,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
02:39,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
02:32,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
02:06,"GOOD 3PTR by JONES,CODY",26 (+6),,20,,SEWANEE 26-20 (+6),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
01:50,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
01:41,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
01:41,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
01:41,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
01:41,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
01:41,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
01:41,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
01:28,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
01:24,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
01:13,"GOOD JUMPER by JONES,CODY",28 (+8),,20,,SEWANEE 28-20 (+8),,"GOOD JUMPER by JONES,CODY",1
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",1
00:50,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
00:28,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
20:00,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
20:00,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
19:50,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
19:50,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
19:50,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
19:37,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
19:12,"GOOD LAYUP by BROWN,SETH(in the paint)",30 (+10),,20,,SEWANEE 30-20 (+10),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,"ASSIST  by JONES,CODY",,,,,,,"ASSIST  by JONES,CODY",2
19:08,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
18:57,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
18:44,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
18:29,,30 (+8),,22,"GOOD JUMPER by SCINTA,BLAKE",CENTRE 30-22 (+8),,"GOOD JUMPER by SCINTA,BLAKE",2
18:05,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
18:02,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
18:02,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
17:44,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
17:14,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
17:10,,30 (+6),,24,"GOOD JUMPER by WESLEY,TYLER",CENTRE 30-24 (+6),,"GOOD JUMPER by WESLEY,TYLER",2
16:35,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
16:35,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
16:35,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
16:29,"GOOD 3PTR by JONES,CODY",33 (+9),,24,,SEWANEE 33-24 (+9),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",2
16:11,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
16:05,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
16:03,"STEAL  by JONES,CODY",,,,,,,"STEAL  by JONES,CODY",2
16:03,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
16:03,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
16:03,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
15:47,"MISS LAYUP by BORN,CLAY",,,,,,,"MISS LAYUP by BORN,CLAY",2
15:47,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
15:39,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
15:22,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
15:17,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
15:17,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
15:17,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
15:17,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:07,"GOOD 3PTR by JONES,CODY",36 (+12),,24,,SEWANEE 36-24 (+12),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
14:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:59,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
14:59,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
14:49,,,,,"TURNOVER  by MAGUIRE,WILL",,,"TURNOVER  by MAGUIRE,WILL",2
14:47,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
14:34,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
14:33,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",2
14:29,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
14:29,,36 (+11),,25,"GOOD FT by SCINTA,BLAKE",CENTRE 36-25 (+11),,"GOOD FT by SCINTA,BLAKE",2
14:29,,36 (+10),,26,"GOOD FT by SCINTA,BLAKE",CENTRE 36-26 (+10),,"GOOD FT by SCINTA,BLAKE",2
14:29,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
14:29,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
14:29,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
14:29,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
14:29,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:29,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
