Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:26,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
19:14,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
19:14,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
19:13,,,,,"MISS 3PTR by PETTUS,JERROD",,,"MISS 3PTR by PETTUS,JERROD",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
18:08,,,,,"MISS 3PTR by BERRY,RAHEEM",,,"MISS 3PTR by BERRY,RAHEEM",1
--,,,,,"REBOUND OFF by MCLEAN,BRANDON",,,"REBOUND OFF by MCLEAN,BRANDON",1
18:06,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:59,,0,,2 (+2),"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",HCM 0-2 (-2),,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",1
17:09,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
17:06,,,,,"STEAL  by ASHLEY,ANDRE",,,"STEAL  by ASHLEY,ANDRE",1
16:59,,0,,4 (+4),"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",HCM 0-4 (-4),,"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",1
16:36,,,,,"FOUL  by MCLEAN,BRANDON",,,"FOUL  by MCLEAN,BRANDON",1
16:05,"GOOD 3PTR by BORN,CLAY",3,,4 (+1),,SEWANEE 3-4 (-1),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
16:00,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
15:58,,,,,"STEAL  by ASHLEY,ANDRE",,,"STEAL  by ASHLEY,ANDRE",1
15:42,,3,,6 (+3),"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",HCM 3-6 (-3),,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",1
--,,,,,"ASSIST  by PETTUS,JERROD",,,"ASSIST  by PETTUS,JERROD",1
15:34,,,,,"MISS JUMPER by MCLEAN,BRANDON",,,"MISS JUMPER by MCLEAN,BRANDON",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
15:19,,,,,"TURNOVER  by MCLEAN,BRANDON",,,"TURNOVER  by MCLEAN,BRANDON",1
15:19,,,,,"FOUL  by MCLEAN,BRANDON",,,"FOUL  by MCLEAN,BRANDON",1
15:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
15:19,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
15:19,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
15:19,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:19,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
15:19,,,,,"SUB IN by JOHNSON,CHARLIE",,,"SUB IN by JOHNSON,CHARLIE",1
15:19,,,,,"SUB IN by POPOVICH,WYATT",,,"SUB IN by POPOVICH,WYATT",1
15:19,,,,,"SUB OUT by MCLEAN,BRANDON",,,"SUB OUT by MCLEAN,BRANDON",1
15:19,,,,,"SUB OUT by PETTUS,JERROD",,,"SUB OUT by PETTUS,JERROD",1
15:15,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",5,,6 (+1),,SEWANEE 5-6 (-1),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
14:54,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by JOHNSON,CHARLIE",,,"REBOUND DEF by JOHNSON,CHARLIE",1
14:49,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",7 (+1),,6,,SEWANEE 7-6 (+1),,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",1
14:43,,,,,"MISS 3PTR by BERRY,RAHEEM",,,"MISS 3PTR by BERRY,RAHEEM",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
14:32,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
14:19,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by ASHLEY,ANDRE",,,"REBOUND DEF by ASHLEY,ANDRE",1
14:10,,,,,"MISS 3PTR by POPOVICH,WYATT",,,"MISS 3PTR by POPOVICH,WYATT",1
--,,,,,"REBOUND OFF by BERRY,RAHEEM",,,"REBOUND OFF by BERRY,RAHEEM",1
14:04,,7,,8 (+1),"GOOD LAYUP by BERRY,RAHEEM(in the paint)",HCM 7-8 (-1),,"GOOD LAYUP by BERRY,RAHEEM(in the paint)",1
13:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:31,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
13:31,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:31,,,,,"SUB IN by PETTUS,JERROD",,,"SUB IN by PETTUS,JERROD",1
13:31,,,,,"SUB OUT by JONES,RJ",,,"SUB OUT by JONES,RJ",1
13:16,,7,,10 (+3),"GOOD JUMPER by ASHLEY,ANDRE(in the paint)",HCM 7-10 (-3),,"GOOD JUMPER by ASHLEY,ANDRE(in the paint)",1
--,,,,,"ASSIST  by PETTUS,JERROD",,,"ASSIST  by PETTUS,JERROD",1
13:05,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
13:05,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
13:05,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
13:05,,,,,"SUB IN by JONES,RJ",,,"SUB IN by JONES,RJ",1
13:05,,,,,"SUB OUT by BERRY,RAHEEM",,,"SUB OUT by BERRY,RAHEEM",1
12:44,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
12:26,"GOOD 3PTR by WILLIAMS,JORDEN",10,,10,,SEWANEE 10-10 (0),,"GOOD 3PTR by WILLIAMS,JORDEN",1
12:13,,,,,"TURNOVER  by PETTUS,JERROD",,,"TURNOVER  by PETTUS,JERROD",1
12:11,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
12:03,"GOOD 3PTR by JONES,CODY",13 (+3),,10,,SEWANEE 13-10 (+3),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",1
11:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:55,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:55,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
11:55,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
