Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:47,"GOOD LAYUP by JONES,CODY(in the paint)",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD LAYUP by JONES,CODY(in the paint)",1
19:29,,2,,2,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
19:19,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",1
19:18,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
19:17,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
19:15,,2,,4 (+2),"GOOD TIPIN by DENEKA,HARRISON(in the paint)",BSC 2-4 (-2),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1
18:48,"GOOD JUMPER by CARTER,KESHONN(in the paint)",4,,4,,SEWANEE 4-4 (0),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
18:23,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
18:07,"MISS 3PTR by MCCULLOUGH,JACOB",,,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
17:51,,4,,6 (+2),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",BSC 4-6 (-2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
17:25,"GOOD 3PTR by BORN,CLAY",7 (+1),,6,,SEWANEE 7-6 (+1),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",1
17:06,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
16:57,"GOOD JUMPER by JONES,CODY(in the paint)",9 (+3),,6,,SEWANEE 9-6 (+3),,"GOOD JUMPER by JONES,CODY(in the paint)",1
16:38,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
16:27,,9 (+1),,8,"GOOD JUMPER by THOM,IAN(in the paint)",BSC 9-8 (+1),,"GOOD JUMPER by THOM,IAN(in the paint)",1
16:09,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
16:09,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
15:58,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1
15:56,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",1
15:40,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
15:25,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
