Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
19:40,"GOOD 3PTR by JONES,CODY",3 (+3),,0,,SEWANE~1 3-0 (+3),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
19:19,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:03,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
18:34,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
18:16,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
17:56,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
17:53,,3 (+1),,2,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",TASMBB 3-2 (+1),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
17:19,"GOOD 3PTR by MCCULLOUGH,JACOB",6 (+4),,2,,SEWANE~1 6-2 (+4),,"GOOD 3PTR by MCCULLOUGH,JACOB",1
16:54,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
16:44,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
16:38,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
16:27,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
16:14,,6 (+2),,4,"GOOD JUMPER by GAGEN,BRENNAN",TASMBB 6-4 (+2),,"GOOD JUMPER by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",1
15:57,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
15:38,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
15:38,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
15:38,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:38,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
15:38,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
15:29,"GOOD 3PTR by BORN,CLAY",9 (+5),,4,,SEWANE~1 9-4 (+5),,"GOOD 3PTR by BORN,CLAY",1
15:06,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",1
15:06,,9 (+4),,5,"GOOD FT by GAGEN,BRENNAN",TASMBB 9-5 (+4),,"GOOD FT by GAGEN,BRENNAN",1
15:06,,9 (+3),,6,"GOOD FT by GAGEN,BRENNAN",TASMBB 9-6 (+3),,"GOOD FT by GAGEN,BRENNAN",1
15:06,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
15:06,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
14:50,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
14:48,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
14:48,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
14:35,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",1
14:32,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
14:12,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
14:00,,9 (+1),,8,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",TASMBB 9-8 (+1),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
13:45,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
13:43,,,,,"STEAL  by MANCUSO,LOGAN",,,"STEAL  by MANCUSO,LOGAN",1
13:39,,9,,10 (+1),"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",TASMBB 9-10 (-1),,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",1
13:24,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",1
13:24,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
13:24,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
13:24,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
13:24,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:24,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
13:24,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
13:16,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:54,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
12:33,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
