Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWM,Game Score,Team Indicator,Play,Period
12:31,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",2
12:31,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
12:31,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
12:31,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",2
12:31,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
12:31,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
12:31,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
12:31,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
12:31,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
12:19,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
12:18,"STEAL  by EDWARDS,JUSTIN",,,,,,,"STEAL  by EDWARDS,JUSTIN",2
12:15,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",2
12:14,,,,,"STEAL  by JONES,CODY",,,"STEAL  by JONES,CODY",2
12:13,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",2
12:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:59,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:36,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND OFF by TOME,MATT",,,"REBOUND OFF by TOME,MATT",2
11:30,"FOUL  by ANDINO,GEORGE",,,,,,,"FOUL  by ANDINO,GEORGE",2
11:30,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
11:30,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",2
11:25,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
11:15,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",39,,45 (+6),,OUM 39-45 (+6),,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",2
10:59,,39,,48 (+9),"GOOD 3PTR by TOME,MATT",SEWM 39-48 (+9),,"GOOD 3PTR by TOME,MATT",2
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",2
10:35,,,,,"FOUL  by TURNER,BYRON",,,"FOUL  by TURNER,BYRON",2
10:35,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
10:35,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",2
10:35,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",2
10:35,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
10:32,"TURNOVER  by ANDINO,GEORGE",,,,,,,"TURNOVER  by ANDINO,GEORGE",2
10:19,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
10:19,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
10:19,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
10:19,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
10:08,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",41,,48 (+7),,OUM 41-48 (+7),,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",2
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",2
09:55,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
09:35,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
09:34,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
09:26,"FOUL  by EDWARDS,JUSTIN",,,,,,,"FOUL  by EDWARDS,JUSTIN",2
09:26,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",2
09:15,,41,,51 (+10),"GOOD 3PTR by JONES,CODY",SEWM 41-51 (+10),,"GOOD 3PTR by JONES,CODY",2
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",2
08:55,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
08:55,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
08:47,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
08:47,"GOOD FT by EDWARDS,JUSTIN",42,,51 (+9),,OUM 42-51 (+9),,"GOOD FT by EDWARDS,JUSTIN",2
08:47,"GOOD FT by EDWARDS,JUSTIN",43,,51 (+8),,OUM 43-51 (+8),,"GOOD FT by EDWARDS,JUSTIN",2
08:39,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
08:39,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
08:39,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
08:39,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
08:39,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
08:18,"MISS JUMPER by EDWARDS,JUSTIN",,,,,,,"MISS JUMPER by EDWARDS,JUSTIN",2
08:18,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:13,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",2
08:12,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
08:11,,43,,53 (+10),"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",SEWM 43-53 (+10),,"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",2
07:51,"MISS JUMPER by SMITH,CONNOR",,,,,,,"MISS JUMPER by SMITH,CONNOR",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
07:28,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",2
07:28,,43,,54 (+11),"GOOD FT by CARTER,KESHONN",SEWM 43-54 (+11),,"GOOD FT by CARTER,KESHONN",2
07:28,,43,,55 (+12),"GOOD FT by CARTER,KESHONN",SEWM 43-55 (+12),,"GOOD FT by CARTER,KESHONN",2
07:28,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",2
07:28,"SUB OUT by BRITVAR,STEFAN",,,,,,,"SUB OUT by BRITVAR,STEFAN",2
07:15,"GOOD JUMPER by ANDINO,GEORGE",45,,55 (+10),,OUM 45-55 (+10),,"GOOD JUMPER by ANDINO,GEORGE",2
07:15,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
07:15,"MISS FT by ANDINO,GEORGE",,,,,,,"MISS FT by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
06:52,,45,,57 (+12),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWM 45-57 (+12),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",2
06:31,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",2
06:31,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",2
06:28,,45,,59 (+14),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWM 45-59 (+14),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",2
06:20,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
06:20,"SUB IN by ROMAGUERA,COLE",,,,,,,"SUB IN by ROMAGUERA,COLE",2
06:20,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",2
06:11,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
06:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:11,"GOOD FT by ANDINO,GEORGE",46,,59 (+13),,OUM 46-59 (+13),,"GOOD FT by ANDINO,GEORGE",2
06:11,"GOOD FT by ANDINO,GEORGE",47,,59 (+12),,OUM 47-59 (+12),,"GOOD FT by ANDINO,GEORGE",2
05:58,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",2
05:58,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
05:50,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
05:49,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",2
05:49,,47,,60 (+13),"GOOD FT by BORN,CLAY",SEWM 47-60 (+13),,"GOOD FT by BORN,CLAY",2
05:49,,47,,61 (+14),"GOOD FT by BORN,CLAY",SEWM 47-61 (+14),,"GOOD FT by BORN,CLAY",2
05:37,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",49,,61 (+12),,OUM 49-61 (+12),,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",2
05:20,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",2
05:09,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",51,,61 (+10),,OUM 51-61 (+10),,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",2
04:44,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",2
--,"REBOUND DEF by ANDINO,GEORGE",,,,,,,"REBOUND DEF by ANDINO,GEORGE",2
04:34,"GOOD 3PTR by ANDINO,GEORGE",54,,61 (+7),,OUM 54-61 (+7),,"GOOD 3PTR by ANDINO,GEORGE",2
04:05,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,"REBOUND DEF by ROMAGUERA,COLE",,,,,,,"REBOUND DEF by ROMAGUERA,COLE",2
03:48,,,,,"FOUL  by JONES,CODY",,,"FOUL  by JONES,CODY",2
03:48,"MISS FT by ANDINO,GEORGE",,,,,,,"MISS FT by ANDINO,GEORGE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:48,"MISS FT by ANDINO,GEORGE",,,,,,,"MISS FT by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
03:48,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
03:48,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
03:48,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
03:48,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
03:19,,54,,64 (+10),"GOOD 3PTR by TOME,MATT",SEWM 54-64 (+10),,"GOOD 3PTR by TOME,MATT",2
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",2
03:18,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
03:18,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",2
03:18,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
03:06,"MISS JUMPER by ANDINO,GEORGE",,,,,,,"MISS JUMPER by ANDINO,GEORGE",2
--,"REBOUND OFF by ANDINO,GEORGE",,,,,,,"REBOUND OFF by ANDINO,GEORGE",2
03:04,"TURNOVER  by ANDINO,GEORGE",,,,,,,"TURNOVER  by ANDINO,GEORGE",2
03:02,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",2
03:02,"SUB OUT by ROMAGUERA,COLE",,,,,,,"SUB OUT by ROMAGUERA,COLE",2
02:39,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
02:17,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
01:51,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",2
01:51,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
01:51,"MISS FT by INUNGU,TOM",,,,,,,"MISS FT by INUNGU,TOM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:51,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",2
01:51,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
01:51,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
01:51,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
01:45,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
01:45,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
01:45,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
01:38,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
01:38,"STEAL  by ANDINO,GEORGE",,,,,,,"STEAL  by ANDINO,GEORGE",2
01:38,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:38,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
01:38,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
01:34,"MISS JUMPER by EDWARDS,JUSTIN",,,,,,,"MISS JUMPER by EDWARDS,JUSTIN",2
--,"REBOUND OFF by EDWARDS,JUSTIN",,,,,,,"REBOUND OFF by EDWARDS,JUSTIN",2
01:30,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
01:30,"GOOD FT by EDWARDS,JUSTIN",55,,64 (+9),,OUM 55-64 (+9),,"GOOD FT by EDWARDS,JUSTIN",2
01:30,"MISS FT by EDWARDS,JUSTIN",,,,,,,"MISS FT by EDWARDS,JUSTIN",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
01:27,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",2
01:27,,55,,65 (+10),"GOOD FT by CARTER,KESHONN",SEWM 55-65 (+10),,"GOOD FT by CARTER,KESHONN",2
01:27,,55,,66 (+11),"GOOD FT by CARTER,KESHONN",SEWM 55-66 (+11),,"GOOD FT by CARTER,KESHONN",2
01:27,"SUB IN by CUNNINGHAM,ALEX",,,,,,,"SUB IN by CUNNINGHAM,ALEX",2
01:27,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
01:19,"GOOD 3PTR by LAWRENCE,CHRIS",58,,66 (+8),,OUM 58-66 (+8),,"GOOD 3PTR by LAWRENCE,CHRIS",2
01:14,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
01:08,"MISS JUMPER by ANDINO,GEORGE",,,,,,,"MISS JUMPER by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
01:06,"FOUL  by ANDINO,GEORGE",,,,,,,"FOUL  by ANDINO,GEORGE",2
01:06,,58,,67 (+9),"GOOD FT by CARTER,KESHONN",SEWM 58-67 (+9),,"GOOD FT by CARTER,KESHONN",2
01:06,,58,,68 (+10),"GOOD FT by CARTER,KESHONN",SEWM 58-68 (+10),,"GOOD FT by CARTER,KESHONN",2
00:56,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",2
00:55,,,,,"STEAL  by TOME,MATT",,,"STEAL  by TOME,MATT",2
00:51,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",2
00:51,,58,,69 (+11),"GOOD FT by MCCULLOUGH,JACOB",SEWM 58-69 (+11),,"GOOD FT by MCCULLOUGH,JACOB",2
00:51,,58,,70 (+12),"GOOD FT by MCCULLOUGH,JACOB",SEWM 58-70 (+12),,"GOOD FT by MCCULLOUGH,JACOB",2
00:51,"SUB IN by ROMAGUERA,COLE",,,,,,,"SUB IN by ROMAGUERA,COLE",2
00:51,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",2
00:51,,,,,"SUB IN by JOHNSON,DAVID",,,"SUB IN by JOHNSON,DAVID",2
00:51,,,,,"SUB IN by HOWELL,TAYLOR",,,"SUB IN by HOWELL,TAYLOR",2
00:51,,,,,"SUB IN by KUELLING,CHRIS",,,"SUB IN by KUELLING,CHRIS",2
00:51,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
00:51,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
00:51,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
00:51,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
00:51,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
00:51,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
00:51,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",2
00:47,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
00:39,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
00:39,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:39,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,"REBOUND DEF by MCGRATH,JOSH",,,,,,,"REBOUND DEF by MCGRATH,JOSH",2
00:39,"SUB IN by MCGRATH,JOSH",,,,,,,"SUB IN by MCGRATH,JOSH",2
00:39,"SUB IN by BOURDAGE,TAYLOR",,,,,,,"SUB IN by BOURDAGE,TAYLOR",2
00:39,"SUB IN by BRITVAR,STEFAN",,,,,,,"SUB IN by BRITVAR,STEFAN",2
00:39,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
00:39,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",2
00:39,"SUB OUT by CUNNINGHAM,ALEX",,,,,,,"SUB OUT by CUNNINGHAM,ALEX",2
00:39,,,,,"SUB IN by BRADEN,WILL",,,"SUB IN by BRADEN,WILL",2
00:39,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
00:37,"GOOD 3PTR by BOURDAGE,TAYLOR",61,,70 (+9),,OUM 61-70 (+9),,"GOOD 3PTR by BOURDAGE,TAYLOR",2
00:20,,61,,72 (+11),"GOOD DUNK by CALDWELL,CAM(in the paint)",SEWM 61-72 (+11),,"GOOD DUNK by CALDWELL,CAM(in the paint)",2
00:00,"MISS 3PTR by BOURDAGE,TAYLOR",,,,,,,"MISS 3PTR by BOURDAGE,TAYLOR",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
