Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:29,,0,,2 (+2),"GOOD JUMPER by JONES,CODY",SEWANEE 0-2 (+2),,"GOOD JUMPER by JONES,CODY",1
19:16,,,,,"FOUL  by JONES,CODY",,,"FOUL  by JONES,CODY",1
19:15,"GOOD 3PTR by SULLIVAN,BRENNAN",3 (+1),,2,,RHODES 3-2 (-1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
18:42,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:39,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
18:39,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
18:27,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
18:12,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",1
18:12,"BLOCK  by GEE,TYLER",,,,,,,"BLOCK  by GEE,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:02,,3,,4 (+1),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 3-4 (+1),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
17:33,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
17:16,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
17:16,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",1
17:16,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
17:16,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
17:08,,,,,"MISS LAYUP by JONES,CODY",,,"MISS LAYUP by JONES,CODY",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
17:01,"TURNOVER  by BUTTS,KEYSHAWN",,,,,,,"TURNOVER  by BUTTS,KEYSHAWN",1
17:01,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
17:01,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
16:45,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",1
16:45,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
16:45,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
16:26,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
16:20,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
16:20,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
16:02,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
15:35,"GOOD LAYUP by HARRISON,IAN(in the paint)",5 (+1),,4,,RHODES 5-4 (-1),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
15:19,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
