Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:37,"MISS LAYUP by MCCULLOUGH,JACOB",,,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
19:33,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
19:32,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",1
19:30,,0,,2 (+2),"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",HC 0-2 (-2),,"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",1
19:10,"GOOD 3PTR by STONE,BRODY",3 (+1),,2,,SEWANEE 3-2 (+1),,"GOOD 3PTR by STONE,BRODY",1
--,"ASSIST  by JONES,CODY",,,,,,,"ASSIST  by JONES,CODY",1
18:49,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
18:49,,3,,3,"GOOD FT by BAKER,BRUCE",HC 3-3 (0),,"GOOD FT by BAKER,BRUCE",1
18:49,,,,,"MISS FT by BAKER,BRUCE",,,"MISS FT by BAKER,BRUCE",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
18:30,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
18:04,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",1
17:53,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
17:18,"GOOD JUMPER by CARTER,KESHONN(in the paint)",5 (+2),,3,,SEWANEE 5-3 (+2),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
16:56,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
16:27,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
16:26,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",1
16:14,,5,,5,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",HC 5-5 (0),,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",1
15:45,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
15:35,,,,,"MISS 3PTR by BAKER,BRUCE",,,"MISS 3PTR by BAKER,BRUCE",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
15:28,"MISS LAYUP by MCCULLOUGH,JACOB",,,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
15:22,,,,,"MISS LAYUP by BAKER,BRUCE",,,"MISS LAYUP by BAKER,BRUCE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
15:05,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
15:03,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
15:03,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
15:03,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
15:03,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
15:03,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
15:03,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:03,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
15:03,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
15:03,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
