Time Remaining,Black,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
20:00,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
20:00,,0,,2 (+2),"GOOD JUMPER by MCCULLOUGH,JACOB",Sewanee 0-2 (+2),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
20:00,"SUB IN by GOWIN,COLIN",,,,,,,"SUB IN by GOWIN,COLIN",1
20:00,"SUB IN by HICKS,HENRY",,,,,,,"SUB IN by HICKS,HENRY",1
20:00,"SUB OUT by MAESTRANZI,JAKE",,,,,,,"SUB OUT by MAESTRANZI,JAKE",1
20:00,"SUB OUT by MCMILLEN,JORDAN",,,,,,,"SUB OUT by MCMILLEN,JORDAN",1
20:00,"SUB OUT by MANUEL,DEANDRE",,,,,,,"SUB OUT by MANUEL,DEANDRE",1
20:00,"SUB OUT by RUSTEN,REED",,,,,,,"SUB OUT by RUSTEN,REED",1
20:00,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
20:00,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
20:00,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
20:00,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
20:00,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
20:00,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
19:40,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
19:17,"FOUL  by HICKS,HENRY",,,,,,,"FOUL  by HICKS,HENRY",1
19:17,"TURNOVER  by HICKS,HENRY",,,,,,,"TURNOVER  by HICKS,HENRY",1
18:54,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
18:43,"MISS 3PTR by RAMEY,JAVANTE",,,,,,,"MISS 3PTR by RAMEY,JAVANTE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:39,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
18:39,"TURNOVER  by JR,DAMON GOODLOE",,,,,,,"TURNOVER  by JR,DAMON GOODLOE",1
18:05,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
17:50,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
17:49,"STEAL  by JR,DAMON GOODLOE",,,,,,,"STEAL  by JR,DAMON GOODLOE",1
17:25,"MISS JUMPER by MOORE,JAMIE",,,,,,,"MISS JUMPER by MOORE,JAMIE",1
--,"REBOUND OFF by HICKS,HENRY",,,,,,,"REBOUND OFF by HICKS,HENRY",1
17:19,"GOOD 3PTR by HICKS,HENRY",3 (+1),,2,,Black 3-2 (-1),,"GOOD 3PTR by HICKS,HENRY",1
16:48,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",1
16:43,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
16:19,"MISS 3PTR by MCMILLEN,JORDAN",,,,,,,"MISS 3PTR by MCMILLEN,JORDAN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
16:08,,3,,4 (+1),"GOOD JUMPER by STONE,BRODY(in the paint)",Sewanee 3-4 (+1),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
15:48,"TURNOVER  by DAVIS,CHRIS",,,,,,,"TURNOVER  by DAVIS,CHRIS",1
15:20,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
15:20,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
15:20,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
15:20,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
15:20,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
15:20,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
15:20,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
15:20,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
15:07,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by HICKS,HENRY",,,,,,,"REBOUND DEF by HICKS,HENRY",1
14:59,"TURNOVER  by DAVIS,CHRIS",,,,,,,"TURNOVER  by DAVIS,CHRIS",1
14:52,"FOUL  by MCMILLEN,JORDAN",,,,,,,"FOUL  by MCMILLEN,JORDAN",1
14:47,,3,,6 (+3),"GOOD JUMPER by BROWN,SETH(in the paint)",Sewanee 3-6 (+3),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
14:26,"MISS 3PTR by DAVIS,CHRIS",,,,,,,"MISS 3PTR by DAVIS,CHRIS",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
14:18,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",1
14:17,"STEAL  by MAESTRANZI,JAKE",,,,,,,"STEAL  by MAESTRANZI,JAKE",1
14:14,"GOOD JUMPER by DAVIS,CHRIS",5,,6 (+1),,Black 5-6 (+1),,"GOOD JUMPER by DAVIS,CHRIS",1
13:57,,5,,9 (+4),"GOOD 3PTR by BORN,CLAY",Sewanee 5-9 (+4),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",1
13:32,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
13:32,"MISS JUMPER by RUSTEN,REED",,,,,,,"MISS JUMPER by RUSTEN,REED",1
