Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by STEWART,TREY",,,,,,,"REBOUND DEF by STEWART,TREY",1
19:23,"MISS 3PTR by AKERS,BEN",,,,,,,"MISS 3PTR by AKERS,BEN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
18:59,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by JONES,MIKE",,,,,,,"REBOUND DEF by JONES,MIKE",1
18:38,"TURNOVER  by STEWART,TREY",,,,,,,"TURNOVER  by STEWART,TREY",1
18:30,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
18:28,"STEAL  by JONES,MIKE",,,,,,,"STEAL  by JONES,MIKE",1
18:03,"MISS JUMPER by STEWART,TREY",,,,,,,"MISS JUMPER by STEWART,TREY",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
17:49,,0,,3 (+3),"GOOD 3PTR by BORN,CLAY",Sewanee 0-3 (+3),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
17:28,"GOOD LAYUP by KATZBECK,MAXX(in the paint)",2,,3 (+1),,Boyce 2-3 (+1),,"GOOD LAYUP by KATZBECK,MAXX(in the paint)",1
--,"ASSIST  by JONES,MIKE",,,,,,,"ASSIST  by JONES,MIKE",1
17:05,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
16:54,,2,,5 (+3),"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 2-5 (+3),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
16:48,"MISS JUMPER by JONES,MIKE",,,,,,,"MISS JUMPER by JONES,MIKE",1
--,"REBOUND OFF by WELLS,BRYCE",,,,,,,"REBOUND OFF by WELLS,BRYCE",1
16:37,"MISS JUMPER by AKERS,BEN",,,,,,,"MISS JUMPER by AKERS,BEN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
16:17,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",1
16:11,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,"REBOUND DEF by JONES,MIKE",,,,,,,"REBOUND DEF by JONES,MIKE",1
16:06,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
15:50,"MISS 3PTR by STEWART,TREY",,,,,,,"MISS 3PTR by STEWART,TREY",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
15:40,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
15:40,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
15:33,,2,,7 (+5),"GOOD JUMPER by CARTER,KESHONN(in the paint)",Sewanee 2-7 (+5),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
15:05,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",1
15:05,"GOOD FT by KATZBECK,MAXX",3,,7 (+4),,Boyce 3-7 (+4),,"GOOD FT by KATZBECK,MAXX",1
15:05,"GOOD FT by KATZBECK,MAXX",4,,7 (+3),,Boyce 4-7 (+3),,"GOOD FT by KATZBECK,MAXX",1
15:05,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
15:05,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
14:55,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND DEF by KATZBECK,MAXX",,,,,,,"REBOUND DEF by KATZBECK,MAXX",1
14:37,"FOUL  by STEWART,TREY",,,,,,,"FOUL  by STEWART,TREY",1
14:37,"TURNOVER  by STEWART,TREY",,,,,,,"TURNOVER  by STEWART,TREY",1
14:18,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by STEWART,TREY",,,,,,,"REBOUND DEF by STEWART,TREY",1
14:09,"MISS 3PTR by AKERS,BEN",,,,,,,"MISS 3PTR by AKERS,BEN",1
--,"REBOUND OFF by JONES,MIKE",,,,,,,"REBOUND OFF by JONES,MIKE",1
14:04,"GOOD JUMPER by JONES,MIKE(in the paint)",6,,7 (+1),,Boyce 6-7 (+1),,"GOOD JUMPER by JONES,MIKE(in the paint)",1
13:47,,6,,10 (+4),"GOOD 3PTR by TOME,MATT",Sewanee 6-10 (+4),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",1
13:18,"MISS JUMPER by JONES,MIKE",,,,,,,"MISS JUMPER by JONES,MIKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:14,"SUB IN by MCKAY,DREW",,,,,,,"SUB IN by MCKAY,DREW",1
13:14,"SUB OUT by KATZBECK,MAXX",,,,,,,"SUB OUT by KATZBECK,MAXX",1
13:14,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
13:14,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
13:14,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
13:14,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
13:04,"GOOD 3PTR by STEWART,TREY",9,,10 (+1),,Boyce 9-10 (+1),,"GOOD 3PTR by STEWART,TREY",1
--,"ASSIST  by MCKAY,DREW",,,,,,,"ASSIST  by MCKAY,DREW",1
12:48,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",1
--,,,,,"REBOUND OFF by JONES,CODY",,,"REBOUND OFF by JONES,CODY",1
12:44,,9,,13 (+4),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 9-13 (+4),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",1
12:29,"GOOD JUMPER by STEWART,TREY(in the paint)",11,,13 (+2),,Boyce 11-13 (+2),,"GOOD JUMPER by STEWART,TREY(in the paint)",1
--,"ASSIST  by MCKAY,DREW",,,,,,,"ASSIST  by MCKAY,DREW",1
12:29,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
12:29,"GOOD FT by STEWART,TREY",12,,13 (+1),,Boyce 12-13 (+1),,"GOOD FT by STEWART,TREY",1
12:29,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
12:29,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
12:08,,12,,15 (+3),"GOOD LAYUP by BROWN,SETH(in the paint)",Sewanee 12-15 (+3),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
11:58,"MISS LAYUP by JONES,MIKE",,,,,,,"MISS LAYUP by JONES,MIKE",1
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",1
11:49,,12,,17 (+5),"GOOD LAYUP by BROWN,SETH(in the paint)",Sewanee 12-17 (+5),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
11:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:23,"MISS 3PTR by AKERS,BEN",,,,,,,"MISS 3PTR by AKERS,BEN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
11:12,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
11:12,"SUB IN by BECK,BRANTLEY",,,,,,,"SUB IN by BECK,BRANTLEY",1
11:12,"SUB OUT by WELLS,BRYCE",,,,,,,"SUB OUT by WELLS,BRYCE",1
11:12,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:12,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
10:41,"GOOD LAYUP by AKERS,BEN(in the paint)",14,,17 (+3),,Boyce 14-17 (+3),,"GOOD LAYUP by AKERS,BEN(in the paint)",1
--,"ASSIST  by BECK,BRANTLEY",,,,,,,"ASSIST  by BECK,BRANTLEY",1
10:37,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,"REBOUND DEF by AKERS,BEN",,,,,,,"REBOUND DEF by AKERS,BEN",1
10:19,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",1
10:19,"SUB IN by KATZBECK,MAXX",,,,,,,"SUB IN by KATZBECK,MAXX",1
10:19,"SUB OUT by JONES,MIKE",,,,,,,"SUB OUT by JONES,MIKE",1
10:19,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
10:19,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
09:51,,14,,20 (+6),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 14-20 (+6),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
09:25,"GOOD 3PTR by STEWART,TREY",17,,20 (+3),,Boyce 17-20 (+3),,"GOOD 3PTR by STEWART,TREY",1
--,"ASSIST  by AKERS,BEN",,,,,,,"ASSIST  by AKERS,BEN",1
09:00,,17,,22 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 17-22 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,,,,,"ASSIST  by LEE,MATTHEW",,,"ASSIST  by LEE,MATTHEW",1
08:24,"MISS JUMPER by KATZBECK,MAXX",,,,,,,"MISS JUMPER by KATZBECK,MAXX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
08:22,"SUB IN by JONES,MIKE",,,,,,,"SUB IN by JONES,MIKE",1
08:22,"SUB OUT by AKERS,BEN",,,,,,,"SUB OUT by AKERS,BEN",1
08:22,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
08:22,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
08:07,"FOUL  by JONES,MIKE",,,,,,,"FOUL  by JONES,MIKE",1
07:53,,17,,24 (+7),"GOOD LAYUP by CARTER,KESHONN(in the paint)",Sewanee 17-24 (+7),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
07:40,"GOOD 3PTR by STEWART,TREY",20,,24 (+4),,Boyce 20-24 (+4),,"GOOD 3PTR by STEWART,TREY",1
--,"ASSIST  by BECK,BRANTLEY",,,,,,,"ASSIST  by BECK,BRANTLEY",1
07:17,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by TOME,MATT",,,"REBOUND OFF by TOME,MATT",1
07:13,,,,,"MISS LAYUP by TOME,MATT",,,"MISS LAYUP by TOME,MATT",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
07:11,,20,,26 (+6),"GOOD JUMPER by STONE,BRODY(in the paint)",Sewanee 20-26 (+6),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
06:58,"FOUL  by BECK,BRANTLEY",,,,,,,"FOUL  by BECK,BRANTLEY",1
06:58,"TURNOVER  by BECK,BRANTLEY",,,,,,,"TURNOVER  by BECK,BRANTLEY",1
06:58,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
06:58,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
06:40,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
06:34,"MISS 3PTR by BECK,BRANTLEY",,,,,,,"MISS 3PTR by BECK,BRANTLEY",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
06:12,,20,,28 (+8),"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 20-28 (+8),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
06:03,"MISS LAYUP by JONES,MIKE",,,,,,,"MISS LAYUP by JONES,MIKE",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
05:50,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by TOME,MATT",,,"REBOUND OFF by TOME,MATT",1
05:45,,20,,30 (+10),"GOOD JUMPER by TOME,MATT(in the paint)",Sewanee 20-30 (+10),,"GOOD JUMPER by TOME,MATT(in the paint)",1
05:17,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",1
05:16,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
04:56,"FOUL  by DAUSTER,DREW",,,,,,,"FOUL  by DAUSTER,DREW",1
04:56,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",1
--,"REBOUND DEF by BECK,BRANTLEY",,,,,,,"REBOUND DEF by BECK,BRANTLEY",1
04:39,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
04:39,"MISS 3PTR by STEWART,TREY",,,,,,,"MISS 3PTR by STEWART,TREY",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
04:39,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND DEF by AKERS,BEN",,,,,,,"REBOUND DEF by AKERS,BEN",1
04:39,"SUB IN by AKERS,BEN",,,,,,,"SUB IN by AKERS,BEN",1
04:39,"SUB OUT by MCKAY,DREW",,,,,,,"SUB OUT by MCKAY,DREW",1
04:34,"GOOD LAYUP by KATZBECK,MAXX(in the paint)",22,,30 (+8),,Boyce 22-30 (+8),,"GOOD LAYUP by KATZBECK,MAXX(in the paint)",1
03:17,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
03:16,"STEAL  by KATZBECK,MAXX",,,,,,,"STEAL  by KATZBECK,MAXX",1
03:14,"GOOD LAYUP by JONES,MIKE(fastbreak)(in the paint)",24,,30 (+6),,Boyce 24-30 (+6),,"GOOD LAYUP by JONES,MIKE(fastbreak)(in the paint)",1
--,"ASSIST  by KATZBECK,MAXX",,,,,,,"ASSIST  by KATZBECK,MAXX",1
03:14,,,,,"FOUL  by JONES,CODY",,,"FOUL  by JONES,CODY",1
03:14,"GOOD FT by JONES,MIKE",25,,30 (+5),,Boyce 25-30 (+5),,"GOOD FT by JONES,MIKE",1
03:14,"SUB IN by WELLS,BRYCE",,,,,,,"SUB IN by WELLS,BRYCE",1
03:14,"SUB OUT by BECK,BRANTLEY",,,,,,,"SUB OUT by BECK,BRANTLEY",1
03:13,"FOUL  by WELLS,BRYCE",,,,,,,"FOUL  by WELLS,BRYCE",1
03:08,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
03:05,,25,,32 (+7),"GOOD JUMPER by BROWN,SETH(in the paint)",Sewanee 25-32 (+7),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
02:54,"GOOD 3PTR by AKERS,BEN",28,,32 (+4),,Boyce 28-32 (+4),,"GOOD 3PTR by AKERS,BEN",1
--,"ASSIST  by JONES,MIKE",,,,,,,"ASSIST  by JONES,MIKE",1
02:02,"SUB IN by BECK,BRANTLEY",,,,,,,"SUB IN by BECK,BRANTLEY",1
01:47,,28,,34 (+6),"GOOD LAYUP by BROWN,SETH(in the paint)",Sewanee 28-34 (+6),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",1
01:33,"GOOD 3PTR by AKERS,BEN",31,,34 (+3),,Boyce 31-34 (+3),,"GOOD 3PTR by AKERS,BEN",1
--,"ASSIST  by JONES,MIKE",,,,,,,"ASSIST  by JONES,MIKE",1
01:17,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
01:09,,31,,36 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 31-36 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
01:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:09,"SUB IN by BECK,BRANTLEY",,,,,,,"SUB IN by BECK,BRANTLEY",1
01:09,"SUB IN by DAUSTER,DREW",,,,,,,"SUB IN by DAUSTER,DREW",1
01:09,"SUB OUT by WELLS,BRYCE",,,,,,,"SUB OUT by WELLS,BRYCE",1
01:09,"SUB OUT by JONES,MIKE",,,,,,,"SUB OUT by JONES,MIKE",1
01:09,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
01:09,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
01:09,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
01:09,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
01:00,"MISS 3PTR by AKERS,BEN",,,,,,,"MISS 3PTR by AKERS,BEN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
00:48,"FOUL  by BECK,BRANTLEY",,,,,,,"FOUL  by BECK,BRANTLEY",1
00:48,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
00:48,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
00:39,,,,,"TURNOVER  by SPENCER,JC",,,"TURNOVER  by SPENCER,JC",1
00:38,"STEAL  by STEWART,TREY",,,,,,,"STEAL  by STEWART,TREY",1
00:14,"TURNOVER  by BECK,BRANTLEY",,,,,,,"TURNOVER  by BECK,BRANTLEY",1
00:13,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
00:00,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:38,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",2
19:36,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
19:10,,,,,"MISS LAYUP by WILLIAMS,JORDEN",,,"MISS LAYUP by WILLIAMS,JORDEN",2
19:10,"BLOCK  by STEWART,TREY",,,,,,,"BLOCK  by STEWART,TREY",2
--,"REBOUND DEF by WELLS,BRYCE",,,,,,,"REBOUND DEF by WELLS,BRYCE",2
18:54,"MISS 3PTR by STEWART,TREY",,,,,,,"MISS 3PTR by STEWART,TREY",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
18:40,,31,,38 (+7),"GOOD JUMPER by CARTER,KESHONN(in the paint)",Sewanee 31-38 (+7),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
18:23,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
18:11,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",2
17:50,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",2
17:50,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",2
17:48,,,,,"MISS LAYUP by BORN,CLAY",,,"MISS LAYUP by BORN,CLAY",2
--,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",,,"REBOUND OFF by MCCULLOUGH,JACOB",2
17:45,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",,,"MISS LAYUP by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
17:42,,31,,40 (+9),"GOOD LAYUP by CARTER,KESHONN(in the paint)",Sewanee 31-40 (+9),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
17:08,"MISS JUMPER by KATZBECK,MAXX",,,,,,,"MISS JUMPER by KATZBECK,MAXX",2
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",2
16:47,"FOUL  by STEWART,TREY",,,,,,,"FOUL  by STEWART,TREY",2
16:47,,31,,41 (+10),"GOOD FT by STONE,BRODY",Sewanee 31-41 (+10),,"GOOD FT by STONE,BRODY",2
16:47,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:37,"GOOD LAYUP by STEWART,TREY(in the paint)",33,,41 (+8),,Boyce 33-41 (+8),,"GOOD LAYUP by STEWART,TREY(in the paint)",2
--,"ASSIST  by KATZBECK,MAXX",,,,,,,"ASSIST  by KATZBECK,MAXX",2
