Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
19:12,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",2
19:10,"GOOD FT by CARTER,KESHONN",37 (+12),,25,,SEW-M 37-25 (+12),,"GOOD FT by CARTER,KESHONN",2
19:01,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
18:46,,,,,"MISS 3PTR by KORN,LUKAS",,,"MISS 3PTR by KORN,LUKAS",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
18:46,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",2
18:39,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
18:37,,,,,"MISS LAYUP by SCHERRMAN,BLAKE",,,"MISS LAYUP by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
18:17,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
17:57,"GOOD 3PTR by JONES,CODY",40 (+15),,25,,SEW-M 40-25 (+15),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
17:44,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:19,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
17:18,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
17:12,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
17:05,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,"REBOUND OFF by MCCULLOUGH,JACOB",,,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",2
16:53,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
16:52,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
16:49,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",2
16:49,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
16:49,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
16:17,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
16:14,"GOOD LAYUP by STONE,BRODY(in the paint)",42 (+17),,25,,SEW-M 42-25 (+17),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
16:04,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,,,,,"REBOUND OFF by MARDER,NICK",,,"REBOUND OFF by MARDER,NICK",2
15:54,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",2
15:54,,42 (+16),,26,"GOOD FT by JOHNSON,CALEB",BCM 42-26 (+16),,"GOOD FT by JOHNSON,CALEB",2
15:54,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
15:54,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
15:54,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
15:54,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",2
15:54,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
15:38,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
15:37,,,,,"STEAL  by JOHNSON,CALEB",,,"STEAL  by JOHNSON,CALEB",2
15:35,,42 (+14),,28,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 42-28 (+14),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
15:32,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",2
15:32,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",2
15:29,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
15:11,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",2
15:11,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",2
15:06,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,"REBOUND OFF by JOHNSON,CALEB",,,"REBOUND OFF by JOHNSON,CALEB",2
14:48,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
14:48,,42 (+13),,29,"GOOD FT by MARDER,NICK",BCM 42-29 (+13),,"GOOD FT by MARDER,NICK",2
14:48,,42 (+12),,30,"GOOD FT by MARDER,NICK",BCM 42-30 (+12),,"GOOD FT by MARDER,NICK",2
14:48,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
14:48,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
14:48,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
14:48,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
14:48,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",2
14:48,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
14:29,"GOOD JUMPER by CARTER,KESHONN",44 (+14),,30,,SEW-M 44-30 (+14),,"GOOD JUMPER by CARTER,KESHONN",2
14:17,,44 (+11),,33,"GOOD 3PTR by JOHNSON,CALEB",BCM 44-33 (+11),,"GOOD 3PTR by JOHNSON,CALEB",2
--,,,,,"ASSIST  by SCHICK,BRANDON",,,"ASSIST  by SCHICK,BRANDON",2
13:44,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:44,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
13:44,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
13:44,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
13:44,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
13:44,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",2
13:44,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
13:29,,,,,"MISS LAYUP by ELLINGSWORTH,COLEMAN",,,"MISS LAYUP by ELLINGSWORTH,COLEMAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:23,,,,,"FOUL  by SCHICK,BRANDON",,,"FOUL  by SCHICK,BRANDON",2
13:18,,,,,"FOUL  by SCHICK,BRANDON",,,"FOUL  by SCHICK,BRANDON",2
13:18,"GOOD FT by BROWN,SETH",45 (+12),,33,,SEW-M 45-33 (+12),,"GOOD FT by BROWN,SETH",2
13:18,"MISS FT by BROWN,SETH",,,,,,,"MISS FT by BROWN,SETH",2
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",2
13:01,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",2
13:01,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
13:01,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
13:01,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
13:01,,,,,"SUB OUT by SCHICK,BRANDON",,,"SUB OUT by SCHICK,BRANDON",2
12:55,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
12:47,,45 (+9),,36,"GOOD 3PTR by SCHERRMAN,BLAKE",BCM 45-36 (+9),,"GOOD 3PTR by SCHERRMAN,BLAKE",2
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",2
12:32,"GOOD LAYUP by BROWN,SETH(in the paint)",47 (+11),,36,,SEW-M 47-36 (+11),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",2
12:21,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",2
12:21,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
12:21,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
12:14,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
12:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:44,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
11:44,"GOOD FT by JONES,CODY",48 (+12),,36,,SEW-M 48-36 (+12),,"GOOD FT by JONES,CODY",2
11:44,"GOOD FT by JONES,CODY",49 (+13),,36,,SEW-M 49-36 (+13),,"GOOD FT by JONES,CODY",2
11:44,"GOOD FT by JONES,CODY",50 (+14),,36,,SEW-M 50-36 (+14),,"GOOD FT by JONES,CODY",2
11:44,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
11:44,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
11:29,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
11:29,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:29,,50 (+13),,37,"GOOD FT by JOHNSON,CALEB",BCM 50-37 (+13),,"GOOD FT by JOHNSON,CALEB",2
11:29,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
11:29,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
11:19,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
11:18,,,,,"STEAL  by JOHNSON,CALEB",,,"STEAL  by JOHNSON,CALEB",2
11:15,,50 (+11),,39,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 50-39 (+11),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
11:00,"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",52 (+13),,39,,SEW-M 52-39 (+13),,"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",2
10:53,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
10:41,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
10:35,,,,,"MISS LAYUP by SCHERRMAN,BLAKE",,,"MISS LAYUP by SCHERRMAN,BLAKE",2
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",2
10:31,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",2
--,,,,,"REBOUND OFF by SCHERRMAN,BLAKE",,,"REBOUND OFF by SCHERRMAN,BLAKE",2
10:27,,52 (+11),,41,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 52-41 (+11),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",2
10:17,"GOOD DUNK by STONE,BRODY(fastbreak)(in the paint)",54 (+13),,41,,SEW-M 54-41 (+13),,"GOOD DUNK by STONE,BRODY(fastbreak)(in the paint)",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
09:56,,54 (+11),,43,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 54-43 (+11),,"GOOD LAYUP by KORN,LUKAS(in the paint)",2
09:50,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",2
09:50,"GOOD FT by BORN,CLAY",55 (+12),,43,,SEW-M 55-43 (+12),,"GOOD FT by BORN,CLAY",2
09:50,"GOOD FT by BORN,CLAY",56 (+13),,43,,SEW-M 56-43 (+13),,"GOOD FT by BORN,CLAY",2
09:50,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
09:50,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
09:34,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
09:34,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",2
09:25,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",2
09:25,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
09:19,"GOOD 3PTR by BORN,CLAY(fastbreak)(in the paint)",59 (+16),,43,,SEW-M 59-43 (+16),,"GOOD 3PTR by BORN,CLAY(fastbreak)(in the paint)",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
09:10,,59 (+14),,45,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 59-45 (+14),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
09:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:45,"GOOD 3PTR by JONES,CODY",62 (+17),,45,,SEW-M 62-45 (+17),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
08:29,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",2
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",2
08:28,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
08:28,,62 (+16),,46,"GOOD FT by KORN,LUKAS",BCM 62-46 (+16),,"GOOD FT by KORN,LUKAS",2
08:28,,62 (+15),,47,"GOOD FT by KORN,LUKAS",BCM 62-47 (+15),,"GOOD FT by KORN,LUKAS",2
08:28,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
08:28,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
08:28,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
08:28,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
08:28,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
08:28,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
08:28,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
08:28,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
08:18,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",2
08:17,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",2
08:13,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",2
08:12,"STEAL  by TOME,MATT",,,,,,,"STEAL  by TOME,MATT",2
08:08,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
08:08,"GOOD FT by CARTER,KESHONN",63 (+16),,47,,SEW-M 63-47 (+16),,"GOOD FT by CARTER,KESHONN",2
08:08,"GOOD FT by CARTER,KESHONN",64 (+17),,47,,SEW-M 64-47 (+17),,"GOOD FT by CARTER,KESHONN",2
07:57,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
07:50,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
07:48,,,,,"STEAL  by JOHNSON,CALEB",,,"STEAL  by JOHNSON,CALEB",2
07:47,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
07:47,,64 (+16),,48,"GOOD FT by JOHNSON,CALEB",BCM 64-48 (+16),,"GOOD FT by JOHNSON,CALEB",2
07:47,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
07:37,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
07:37,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
07:37,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
07:37,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
07:37,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
07:27,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",2
07:20,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
07:19,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
07:19,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",2
07:05,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
07:05,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
07:05,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
07:05,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",2
07:05,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
06:53,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
06:53,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
06:53,,64 (+15),,49,"GOOD FT by MCCLOUD,ALTON",BCM 64-49 (+15),,"GOOD FT by MCCLOUD,ALTON",2
06:53,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
06:53,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
06:53,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
06:46,"GOOD LAYUP by BORN,CLAY(fastbreak)(in the paint)",66 (+17),,49,,SEW-M 66-49 (+17),,"GOOD LAYUP by BORN,CLAY(fastbreak)(in the paint)",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
06:24,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",2
06:22,,66 (+15),,51,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 66-51 (+15),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
06:20,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:20,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
06:20,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
06:01,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
06:00,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
05:57,,66 (+13),,53,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",BCM 66-53 (+13),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",2
05:32,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
05:32,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
05:32,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
05:32,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",2
05:29,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
05:29,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
05:13,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
05:13,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",2
05:13,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",2
05:13,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
05:11,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
05:10,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
05:07,,66 (+10),,56,"GOOD 3PTR by MCCLOUD,ALTON",BCM 66-56 (+10),,"GOOD 3PTR by MCCLOUD,ALTON",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
04:54,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
04:54,"GOOD FT by MCCULLOUGH,JACOB",67 (+11),,56,,SEW-M 67-56 (+11),,"GOOD FT by MCCULLOUGH,JACOB",2
04:54,"GOOD FT by MCCULLOUGH,JACOB",68 (+12),,56,,SEW-M 68-56 (+12),,"GOOD FT by MCCULLOUGH,JACOB",2
04:54,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",2
04:54,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
04:46,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,,,,,"REBOUND OFF by JOHNSON,CALEB",,,"REBOUND OFF by JOHNSON,CALEB",2
04:42,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
04:42,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:42,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
04:42,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
04:42,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
04:28,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",2
04:28,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
04:11,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
04:03,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
04:01,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",2
03:59,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",2
03:58,"STEAL  by STONE,BRODY",,,,,,,"STEAL  by STONE,BRODY",2
03:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:47,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
03:47,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
03:37,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
03:37,"MISS FT by JONES,CODY",,,,,,,"MISS FT by JONES,CODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:37,"MISS FT by JONES,CODY",,,,,,,"MISS FT by JONES,CODY",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
03:37,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
03:37,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
03:26,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",2
03:26,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:26,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",2
03:22,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
03:13,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",2
03:13,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
03:03,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
03:01,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
03:01,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
