Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
17:11,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
17:09,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
17:07,,5 (+3),,2,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 5-2 (+3),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
17:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:49,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
16:49,,,,,"BLOCK  by KORN,LUKAS",,,"BLOCK  by KORN,LUKAS",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
16:49,"FOUL TECH by STONE,BRODY",,,,,,,"FOUL TECH by STONE,BRODY",1
16:49,,,,,"MISS FT by SCHERRMAN,BLAKE",,,"MISS FT by SCHERRMAN,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:34,,,,,"MISS LAYUP by SCHERRMAN,BLAKE",,,"MISS LAYUP by SCHERRMAN,BLAKE",1
--,,,,,"REBOUND OFF by JOHNSON,CALEB",,,"REBOUND OFF by JOHNSON,CALEB",1
16:26,,5 (+1),,4,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 5-4 (+1),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",1
16:00,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
16:00,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
16:00,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
15:47,"GOOD 3PTR by JONES,CODY",8 (+4),,4,,SEW-M 8-4 (+4),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
15:30,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",1
15:25,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
15:17,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
15:00,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
14:47,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
14:46,,,,,"STEAL  by KORN,LUKAS",,,"STEAL  by KORN,LUKAS",1
14:45,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
14:45,"STEAL  by JONES,CODY",,,,,,,"STEAL  by JONES,CODY",1
14:40,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
14:38,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
