Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
16:01,,43 (+5),,38,"GOOD JUMPER by AYABARRENO,DAVION(in the paint)",MUMB 43-38 (+5),,"GOOD JUMPER by AYABARRENO,DAVION(in the paint)",2
--,,,,,"ASSIST  by MONK,BRANDON",,,"ASSIST  by MONK,BRANDON",2
15:31,"MISS 3PTR by MCCULLOUGH,JACOB",,,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND DEF by AUGHBURNS,IRVING",,,"REBOUND DEF by AUGHBURNS,IRVING",2
15:07,,,,,"MISS 3PTR by AUGHBURNS,IRVING",,,"MISS 3PTR by AUGHBURNS,IRVING",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:04,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
15:04,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
14:35,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by AUGHBURNS,IRVING",,,"REBOUND DEF by AUGHBURNS,IRVING",2
14:33,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
14:17,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
14:06,,,,,"FOUL  by AUGHBURNS,IRVING",,,"FOUL  by AUGHBURNS,IRVING",2
14:06,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
14:06,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
14:06,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
14:06,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
13:46,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",2
--,,,,,"REBOUND DEF by MONK,BRANDON",,,"REBOUND DEF by MONK,BRANDON",2
13:30,,,,,"TURNOVER  by AUGHBURNS,IRVING",,,"TURNOVER  by AUGHBURNS,IRVING",2
13:28,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",2
13:17,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
13:17,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
13:17,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
13:17,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",2
13:17,,,,,"SUB IN by DAVIS,BLAKE",,,"SUB IN by DAVIS,BLAKE",2
13:17,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",2
13:17,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",2
12:58,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
12:54,,,,,"FOUL  by DAVIS,BLAKE",,,"FOUL  by DAVIS,BLAKE",2
12:37,"GOOD LAYUP by CALDWELL,CAM(in the paint)",45 (+7),,38,,SEWANE~1 45-38 (+7),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",2
12:23,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",2
12:23,,45 (+6),,39,"GOOD FT by HILLIARD,TABIAS",MUMB 45-39 (+6),,"GOOD FT by HILLIARD,TABIAS",2
12:23,,45 (+5),,40,"GOOD FT by HILLIARD,TABIAS",MUMB 45-40 (+5),,"GOOD FT by HILLIARD,TABIAS",2
12:05,,,,,"FOUL  by MONK,BRANDON",,,"FOUL  by MONK,BRANDON",2
12:05,"GOOD FT by WILLIAMS,JORDEN",46 (+6),,40,,SEWANE~1 46-40 (+6),,"GOOD FT by WILLIAMS,JORDEN",2
12:05,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:05,"GOOD FT by WILLIAMS,JORDEN",47 (+7),,40,,SEWANE~1 47-40 (+7),,"GOOD FT by WILLIAMS,JORDEN",2
12:05,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",2
12:05,,,,,"SUB OUT by MONK,BRANDON",,,"SUB OUT by MONK,BRANDON",2
11:42,,,,,"MISS JUMPER by REESE,TROYNELL",,,"MISS JUMPER by REESE,TROYNELL",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
11:26,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
11:22,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:16,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND DEF by DAVIS,BLAKE",,,"REBOUND DEF by DAVIS,BLAKE",2
11:07,,47 (+5),,42,"GOOD LAYUP by DAVIS,BLAKE(fastbreak)(in the paint)",MUMB 47-42 (+5),,"GOOD LAYUP by DAVIS,BLAKE(fastbreak)(in the paint)",2
10:39,"MISS JUMPER by JONES,CODY",,,,,,,"MISS JUMPER by JONES,CODY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
10:14,,47 (+2),,45,"GOOD 3PTR by DAVIS,BLAKE",MUMB 47-45 (+2),,"GOOD 3PTR by DAVIS,BLAKE",2
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",2
10:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:06,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
10:06,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
10:06,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
10:06,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
10:06,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
10:06,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
10:06,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
10:06,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
09:43,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:41,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
09:26,,,,,"FOUL  by DAVIS,BLAKE",,,"FOUL  by DAVIS,BLAKE",2
09:26,,,,,"TURNOVER  by DAVIS,BLAKE",,,"TURNOVER  by DAVIS,BLAKE",2
09:26,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
09:26,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
09:10,,,,,"FOUL  by WHITLEY,JACKSON",,,"FOUL  by WHITLEY,JACKSON",2
09:10,,,,,"SUB IN by MONK,BRANDON",,,"SUB IN by MONK,BRANDON",2
09:10,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",2
08:50,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",2
08:47,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:45,,,,,"SUB IN by BROWN,JABARI",,,"SUB IN by BROWN,JABARI",2
08:45,,,,,"SUB OUT by REESE,TROYNELL",,,"SUB OUT by REESE,TROYNELL",2
08:29,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
08:10,,,,,"MISS 3PTR by MONK,BRANDON",,,"MISS 3PTR by MONK,BRANDON",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
07:41,"GOOD LAYUP by BORN,CLAY(in the paint)",49 (+4),,45,,SEWANE~1 49-45 (+4),,"GOOD LAYUP by BORN,CLAY(in the paint)",2
07:14,,49 (+2),,47,"GOOD JUMPER by AYABARRENO,DAVION",MUMB 49-47 (+2),,"GOOD JUMPER by AYABARRENO,DAVION",2
--,,,,,"ASSIST  by DAVIS,BLAKE",,,"ASSIST  by DAVIS,BLAKE",2
06:50,"GOOD 3PTR by WILLIAMS,JORDEN",52 (+5),,47,,SEWANE~1 52-47 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
06:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:32,,,,,"MISS JUMPER by AYABARRENO,DAVION",,,"MISS JUMPER by AYABARRENO,DAVION",2
--,,,,,"REBOUND OFF by HILLIARD,TABIAS",,,"REBOUND OFF by HILLIARD,TABIAS",2
06:14,,52 (+2),,50,"GOOD 3PTR by DAVIS,BLAKE",MUMB 52-50 (+2),,"GOOD 3PTR by DAVIS,BLAKE",2
--,,,,,"ASSIST  by BROWN,JABARI",,,"ASSIST  by BROWN,JABARI",2
05:49,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
05:44,"GOOD JUMPER by BROWN,SETH(in the paint)",54 (+4),,50,,SEWANE~1 54-50 (+4),,"GOOD JUMPER by BROWN,SETH(in the paint)",2
05:21,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
05:21,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
05:21,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
05:21,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
05:21,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
05:21,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
05:21,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
05:19,,54 (+2),,52,"GOOD LAYUP by BROWN,JABARI(in the paint)",MUMB 54-52 (+2),,"GOOD LAYUP by BROWN,JABARI(in the paint)",2
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",2
04:54,"GOOD DUNK by STONE,BRODY(in the paint)",56 (+4),,52,,SEWANE~1 56-52 (+4),,"GOOD DUNK by STONE,BRODY(in the paint)",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
04:37,,,,,"TURNOVER  by MONK,BRANDON",,,"TURNOVER  by MONK,BRANDON",2
04:20,"GOOD 3PTR by WILLIAMS,JORDEN",59 (+7),,52,,SEWANE~1 59-52 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by JONES,CODY",,,,,,,"ASSIST  by JONES,CODY",2
03:58,,59 (+5),,54,"GOOD LAYUP by MONK,BRANDON(in the paint)",MUMB 59-54 (+5),,"GOOD LAYUP by MONK,BRANDON(in the paint)",2
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",2
03:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:55,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
03:55,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
03:55,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",2
03:55,,,,,"SUB OUT by MONK,BRANDON",,,"SUB OUT by MONK,BRANDON",2
03:37,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
03:33,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
03:19,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
03:19,,59 (+4),,55,"GOOD FT by AYABARRENO,DAVION",MUMB 59-55 (+4),,"GOOD FT by AYABARRENO,DAVION",2
03:19,,59 (+3),,56,"GOOD FT by AYABARRENO,DAVION",MUMB 59-56 (+3),,"GOOD FT by AYABARRENO,DAVION",2
03:19,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
03:19,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
03:19,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
03:19,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
02:50,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
02:50,,,,,"BLOCK  by WHITLEY,JACKSON",,,"BLOCK  by WHITLEY,JACKSON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:47,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
02:46,,,,,"STEAL  by WHITLEY,JACKSON",,,"STEAL  by WHITLEY,JACKSON",2
02:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:37,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
02:37,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
02:37,,,,,"SUB IN by MONK,BRANDON",,,"SUB IN by MONK,BRANDON",2
02:37,,,,,"SUB OUT by BROWN,JABARI",,,"SUB OUT by BROWN,JABARI",2
02:28,,,,,"MISS JUMPER by DAVIS,BLAKE",,,"MISS JUMPER by DAVIS,BLAKE",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
02:08,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
01:58,,,,,"TURNOVER  by AYABARRENO,DAVION",,,"TURNOVER  by AYABARRENO,DAVION",2
01:58,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
01:58,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
01:43,,,,,"FOUL  by MONK,BRANDON",,,"FOUL  by MONK,BRANDON",2
01:43,"GOOD FT by WILLIAMS,JORDEN",60 (+4),,56,,SEWANE~1 60-56 (+4),,"GOOD FT by WILLIAMS,JORDEN",2
01:43,"GOOD FT by WILLIAMS,JORDEN",61 (+5),,56,,SEWANE~1 61-56 (+5),,"GOOD FT by WILLIAMS,JORDEN",2
01:19,,61 (+2),,59,"GOOD 3PTR by MONK,BRANDON",MUMB 61-59 (+2),,"GOOD 3PTR by MONK,BRANDON",2
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",2
01:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:16,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
01:16,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
00:55,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
00:33,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",2
--,,,,,"REBOUND OFF by WHITLEY,JACKSON",,,"REBOUND OFF by WHITLEY,JACKSON",2
00:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:04,,61,,61,"GOOD JUMPER by HILLIARD,TABIAS(in the paint)",MUMB 61-61 (0),,"GOOD JUMPER by HILLIARD,TABIAS(in the paint)",2
05:00,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",3
05:00,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",3
05:00,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",3
05:00,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",3
05:00,,,,,"SUB IN by DAVIS,BLAKE",,,"SUB IN by DAVIS,BLAKE",3
05:00,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",3
04:44,,61,,63 (+2),"GOOD JUMPER by MONK,BRANDON",MUMB 61-63 (-2),,"GOOD JUMPER by MONK,BRANDON",3
04:19,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",3
04:19,,,,,"BLOCK  by MONK,BRANDON",,,"BLOCK  by MONK,BRANDON",3
--,,,,,"REBOUND DEF by HILLIARD,TABIAS",,,"REBOUND DEF by HILLIARD,TABIAS",3
03:58,,61,,65 (+4),"GOOD JUMPER by HILLIARD,TABIAS",MUMB 61-65 (-4),,"GOOD JUMPER by HILLIARD,TABIAS",3
03:33,"GOOD JUMPER by STONE,BRODY",63,,65 (+2),,SEWANE~1 63-65 (-2),,"GOOD JUMPER by STONE,BRODY",3
03:00,,,,,"MISS LAYUP by WHITLEY,JACKSON",,,"MISS LAYUP by WHITLEY,JACKSON",3
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",3
02:43,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",3
02:42,,,,,"STEAL  by WHITLEY,JACKSON",,,"STEAL  by WHITLEY,JACKSON",3
02:17,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",3
--,,,,,"REBOUND OFF by WHITLEY,JACKSON",,,"REBOUND OFF by WHITLEY,JACKSON",3
02:13,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",3
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",3
02:10,,,,,"FOUL  by DAVIS,BLAKE",,,"FOUL  by DAVIS,BLAKE",3
02:10,"GOOD FT by STONE,BRODY",64,,65 (+1),,SEWANE~1 64-65 (-1),,"GOOD FT by STONE,BRODY",3
02:10,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",3
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",3
02:10,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",3
02:10,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",3
02:10,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",3
02:10,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",3
02:10,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",3
02:10,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",3
02:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
02:03,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",3
02:03,,,,,"SUB OUT by REESE,TROYNELL",,,"SUB OUT by REESE,TROYNELL",3
01:47,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",3
01:45,,,,,"STEAL  by AYABARRENO,DAVION",,,"STEAL  by AYABARRENO,DAVION",3
01:18,,,,,"MISS 3PTR by HILLIARD,TABIAS",,,"MISS 3PTR by HILLIARD,TABIAS",3
--,,,,,"REBOUND OFF by DAVIS,BLAKE",,,"REBOUND OFF by DAVIS,BLAKE",3
00:54,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",3
00:54,,,,,"MISS FT by MONK,BRANDON",,,"MISS FT by MONK,BRANDON",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:54,,,,,"MISS FT by MONK,BRANDON",,,"MISS FT by MONK,BRANDON",3
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",3
00:54,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",3
00:54,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",3
00:34,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",3
00:34,,,,,"BLOCK  by WHITLEY,JACKSON",,,"BLOCK  by WHITLEY,JACKSON",3
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,3
00:33,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",3
00:32,,,,,"STEAL  by AYABARRENO,DAVION",,,"STEAL  by AYABARRENO,DAVION",3
00:30,,,,,"MISS LAYUP by AYABARRENO,DAVION",,,"MISS LAYUP by AYABARRENO,DAVION",3
00:30,"BLOCK  by STONE,BRODY",,,,,,,"BLOCK  by STONE,BRODY",3
--,,,,,"REBOUND OFF by DAVIS,BLAKE",,,"REBOUND OFF by DAVIS,BLAKE",3
00:28,,64,,67 (+3),"GOOD LAYUP by DAVIS,BLAKE(fastbreak)(in the paint)",MUMB 64-67 (-3),,"GOOD LAYUP by DAVIS,BLAKE(fastbreak)(in the paint)",3
00:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:20,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",3
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",3
00:18,"GOOD LAYUP by STONE,BRODY(in the paint)",66,,67 (+1),,SEWANE~1 66-67 (-1),,"GOOD LAYUP by STONE,BRODY(in the paint)",3
00:15,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",3
00:15,,,,,"MISS FT by DAVIS,BLAKE",,,"MISS FT by DAVIS,BLAKE",3
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",3
00:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:03,"GOOD JUMPER by WILLIAMS,JORDEN",68 (+1),,67,,SEWANE~1 68-67 (+1),,"GOOD JUMPER by WILLIAMS,JORDEN",3
00:00,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
