Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
17:04,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
16:41,"GOOD JUMPER by CARTER,KESHONN(in the paint)",10 (+5),,5,,SEWANE~1 10-5 (+5),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
16:13,,,,,"MISS LAYUP by HILLIARD,TABIAS",,,"MISS LAYUP by HILLIARD,TABIAS",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
16:04,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",1
15:39,,,,,"MISS JUMPER by WHITLEY,JACKSON",,,"MISS JUMPER by WHITLEY,JACKSON",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
15:09,"GOOD JUMPER by JONES,CODY",12 (+7),,5,,SEWANE~1 12-5 (+7),,"GOOD JUMPER by JONES,CODY",1
14:55,,,,,"MISS 3PTR by HILLIARD,TABIAS",,,"MISS 3PTR by HILLIARD,TABIAS",1
--,,,,,"REBOUND OFF by MONK,BRANDON",,,"REBOUND OFF by MONK,BRANDON",1
14:47,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
14:38,,,,,"FOUL  by WHITLEY,JACKSON",,,"FOUL  by WHITLEY,JACKSON",1
14:38,"GOOD FT by CARTER,KESHONN",13 (+8),,5,,SEWANE~1 13-5 (+8),,"GOOD FT by CARTER,KESHONN",1
14:38,"GOOD FT by CARTER,KESHONN",14 (+9),,5,,SEWANE~1 14-5 (+9),,"GOOD FT by CARTER,KESHONN",1
14:38,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
14:38,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
14:38,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
14:38,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
14:38,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
14:38,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
14:20,,14 (+7),,7,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",MUMB 14-7 (+7),,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",1
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",1
