Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
19:40,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
19:35,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
19:35,"BLOCK  by JONES,RJ",,,,,,,"BLOCK  by JONES,RJ",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:20,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",,,"MISS 3PTR by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
19:15,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
19:11,"MISS LAYUP by PETTUS,JERROD",,,,,,,"MISS LAYUP by PETTUS,JERROD",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
19:04,,0,,3 (+3),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 0-3 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
18:39,"GOOD 3PTR by JONES,RJ",3,,3,,Hunt 3-3 (0),,"GOOD 3PTR by JONES,RJ",1
--,"ASSIST  by PETTUS,JERROD",,,,,,,"ASSIST  by PETTUS,JERROD",1
18:21,,3,,6 (+3),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 3-6 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",1
18:01,"MISS JUMPER by MCLEAN,BRANDON",,,,,,,"MISS JUMPER by MCLEAN,BRANDON",1
18:01,,,,,"BLOCK  by STONE,BRODY",,,"BLOCK  by STONE,BRODY",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
17:37,,3,,8 (+5),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",Sewanee 3-8 (+5),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
17:37,"FOUL  by MCLEAN,BRANDON",,,,,,,"FOUL  by MCLEAN,BRANDON",1
17:37,,3,,9 (+6),"GOOD FT by WILLIAMS,JORDEN",Sewanee 3-9 (+6),,"GOOD FT by WILLIAMS,JORDEN",1
17:21,"MISS 3PTR by JONES,RJ",,,,,,,"MISS 3PTR by JONES,RJ",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
17:10,,3,,11 (+8),"GOOD JUMPER by CARTER,KESHONN",Sewanee 3-11 (+8),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",1
16:53,"MISS LAYUP by MCLEAN,BRANDON",,,,,,,"MISS LAYUP by MCLEAN,BRANDON",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
16:34,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by PETTUS,JERROD",,,,,,,"REBOUND DEF by PETTUS,JERROD",1
16:27,"MISS LAYUP by PETTUS,JERROD",,,,,,,"MISS LAYUP by PETTUS,JERROD",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
16:17,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
16:17,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
16:14,"FOUL  by JOHNSON,CHARLIE",,,,,,,"FOUL  by JOHNSON,CHARLIE",1
16:14,,,,,"MISS FT by WILLIAMS,JORDEN",,,"MISS FT by WILLIAMS,JORDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:14,,3,,12 (+9),"GOOD FT by WILLIAMS,JORDEN",Sewanee 3-12 (+9),,"GOOD FT by WILLIAMS,JORDEN",1
16:14,,,,,"MISS FT by WILLIAMS,JORDEN",,,"MISS FT by WILLIAMS,JORDEN",1
--,"REBOUND DEF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND DEF by WASHINGTON,DANTAVIUS",1
16:14,"SUB IN by JOHNSON,CHARLIE",,,,,,,"SUB IN by JOHNSON,CHARLIE",1
16:14,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
16:14,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
16:14,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
16:14,"SUB OUT by MCLEAN,BRANDON",,,,,,,"SUB OUT by MCLEAN,BRANDON",1
16:14,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
15:56,"GOOD JUMPER by WASHINGTON,DANTAVIUS",5,,12 (+7),,Hunt 5-12 (+7),,"GOOD JUMPER by WASHINGTON,DANTAVIUS",1
--,"ASSIST  by ASHLEY,ANDRE",,,,,,,"ASSIST  by ASHLEY,ANDRE",1
15:36,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",1
15:35,"STEAL  by ASHLEY,ANDRE",,,,,,,"STEAL  by ASHLEY,ANDRE",1
15:33,"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",7,,12 (+5),,Hunt 7-12 (+5),,"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",1
15:03,,7,,15 (+8),"GOOD 3PTR by STONE,BRODY",Sewanee 7-15 (+8),,"GOOD 3PTR by STONE,BRODY",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
14:45,"GOOD JUMPER by PETTUS,JERROD",9,,15 (+6),,Hunt 9-15 (+6),,"GOOD JUMPER by PETTUS,JERROD",1
14:21,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",1
14:20,"STEAL  by ASHLEY,ANDRE",,,,,,,"STEAL  by ASHLEY,ANDRE",1
14:17,"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",11,,15 (+4),,Hunt 11-15 (+4),,"GOOD LAYUP by ASHLEY,ANDRE(fastbreak)(in the paint)",1
14:02,"FOUL  by WASHINGTON,DANTAVIUS",,,,,,,"FOUL  by WASHINGTON,DANTAVIUS",1
14:02,"FOUL  by BERRY,RAHEEM",,,,,,,"FOUL  by BERRY,RAHEEM",1
14:02,"SUB IN by CASTEEL,JONAH",,,,,,,"SUB IN by CASTEEL,JONAH",1
14:02,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
14:02,"SUB OUT by JONES,RJ",,,,,,,"SUB OUT by JONES,RJ",1
14:02,"SUB OUT by PETTUS,JERROD",,,,,,,"SUB OUT by PETTUS,JERROD",1
14:02,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
14:02,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
14:02,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
14:02,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
13:56,,11,,18 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 11-18 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",1
13:38,"TURNOVER  by BERRY,RAHEEM",,,,,,,"TURNOVER  by BERRY,RAHEEM",1
13:37,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
13:34,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
13:31,"SUB IN by DARBY,ZACH",,,,,,,"SUB IN by DARBY,ZACH",1
13:31,"SUB IN by JONES,RJ",,,,,,,"SUB IN by JONES,RJ",1
13:31,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
13:31,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
13:31,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
13:31,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
13:26,,11,,20 (+9),"GOOD LAYUP by BROWN,SETH(in the paint)",Sewanee 11-20 (+9),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",1
13:17,"GOOD JUMPER by MCLEAN,BRANDON",13,,20 (+7),,Hunt 13-20 (+7),,"GOOD JUMPER by MCLEAN,BRANDON",1
--,"ASSIST  by JONES,RJ",,,,,,,"ASSIST  by JONES,RJ",1
12:57,,13,,23 (+10),"GOOD 3PTR by LEE,MATTHEW",Sewanee 13-23 (+10),,"GOOD 3PTR by LEE,MATTHEW",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
12:13,"GOOD JUMPER by MCLEAN,BRANDON",15,,23 (+8),,Hunt 15-23 (+8),,"GOOD JUMPER by MCLEAN,BRANDON",1
12:03,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
11:55,"GOOD 3PTR by JONES,RJ",18,,23 (+5),,Hunt 18-23 (+5),,"GOOD 3PTR by JONES,RJ",1
--,"ASSIST  by PETTUS,JERROD",,,,,,,"ASSIST  by PETTUS,JERROD",1
11:32,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by JOHNSON,CHARLIE",,,,,,,"REBOUND DEF by JOHNSON,CHARLIE",1
11:25,"MISS LAYUP by PETTUS,JERROD",,,,,,,"MISS LAYUP by PETTUS,JERROD",1
--,"REBOUND OFF by PETTUS,JERROD",,,,,,,"REBOUND OFF by PETTUS,JERROD",1
11:14,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
11:14,"GOOD FT by PETTUS,JERROD",19,,23 (+4),,Hunt 19-23 (+4),,"GOOD FT by PETTUS,JERROD",1
11:14,"MISS FT by PETTUS,JERROD",,,,,,,"MISS FT by PETTUS,JERROD",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
11:14,"SUB IN by PETTUS,JERROD",,,,,,,"SUB IN by PETTUS,JERROD",1
11:14,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",1
11:14,"SUB IN by MCLEAN,BRANDON",,,,,,,"SUB IN by MCLEAN,BRANDON",1
11:14,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
11:14,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
11:14,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
11:14,"SUB OUT by DARBY,ZACH",,,,,,,"SUB OUT by DARBY,ZACH",1
11:14,"SUB OUT by CASTEEL,JONAH",,,,,,,"SUB OUT by CASTEEL,JONAH",1
11:14,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
11:14,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:14,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
11:14,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
11:14,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
