Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UTDALLAS,Game Score,Team Indicator,Play,Period
15:48,,,,,"FOUL  by STEVENS,HUNTER",,,"FOUL  by STEVENS,HUNTER",1
15:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:48,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
15:48,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
15:33,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
15:33,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
15:33,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
15:33,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
15:33,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
15:33,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
15:17,,,,,"TURNOVER  by SOUTER,DONOVAN",,,"TURNOVER  by SOUTER,DONOVAN",1
15:08,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
14:56,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
14:56,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
14:56,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
14:52,,,,,"MISS 3PTR by SOUTER,DONOVAN",,,"MISS 3PTR by SOUTER,DONOVAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:32,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by SOUTER,DONOVAN",,,"REBOUND DEF by SOUTER,DONOVAN",1
14:24,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",1
14:20,,,,,"MISS 3PTR by KISER,LUKE",,,"MISS 3PTR by KISER,LUKE",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
14:09,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by KISER,LUKE",,,"REBOUND DEF by KISER,LUKE",1
13:51,,2,,15 (+13),"GOOD 3PTR by SOUTER,DONOVAN",UTDALLAS 2-15 (-13),,"GOOD 3PTR by SOUTER,DONOVAN",1
--,,,,,"ASSIST  by KISER,LUKE",,,"ASSIST  by KISER,LUKE",1
13:31,"MISS LAYUP by DEITHLOFF,TYLER",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER",1
13:31,,,,,"BLOCK  by STEVENS,HUNTER",,,"BLOCK  by STEVENS,HUNTER",1
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",1
13:31,,,,,"FOUL  by KISER,LUKE",,,"FOUL  by KISER,LUKE",1
13:31,"GOOD FT by DEITHLOFF,TYLER",3,,15 (+12),,HENDRIX 3-15 (-12),,"GOOD FT by DEITHLOFF,TYLER",1
13:31,"GOOD FT by DEITHLOFF,TYLER",4,,15 (+11),,HENDRIX 4-15 (-11),,"GOOD FT by DEITHLOFF,TYLER",1
13:31,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
13:31,,,,,"SUB IN by WRIGHT,BRAYDEN",,,"SUB IN by WRIGHT,BRAYDEN",1
13:31,,,,,"SUB OUT by STEVENS,HUNTER",,,"SUB OUT by STEVENS,HUNTER",1
13:31,,,,,"SUB OUT by ISAAC,WILL",,,"SUB OUT by ISAAC,WILL",1
13:15,,4,,18 (+14),"GOOD 3PTR by SOUTER,DONOVAN",UTDALLAS 4-18 (-14),,"GOOD 3PTR by SOUTER,DONOVAN",1
--,,,,,"ASSIST  by WRIGHT,BRAYDEN",,,"ASSIST  by WRIGHT,BRAYDEN",1
13:00,,,,,"FOUL  by KISER,LUKE",,,"FOUL  by KISER,LUKE",1
13:00,"GOOD FT by RYAN,JONATHAN",5,,18 (+13),,HENDRIX 5-18 (-13),,"GOOD FT by RYAN,JONATHAN",1
13:00,"GOOD FT by RYAN,JONATHAN",6,,18 (+12),,HENDRIX 6-18 (-12),,"GOOD FT by RYAN,JONATHAN",1
13:00,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
13:00,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
13:00,,,,,"SUB IN by STEVENS,HUNTER",,,"SUB IN by STEVENS,HUNTER",1
13:00,,,,,"SUB OUT by KISER,LUKE",,,"SUB OUT by KISER,LUKE",1
12:48,,6,,20 (+14),"GOOD JUMPER by SOUTER,DONOVAN",UTDALLAS 6-20 (-14),,"GOOD JUMPER by SOUTER,DONOVAN",1
--,,,,,"ASSIST  by CURTIS,JAMES",,,"ASSIST  by CURTIS,JAMES",1
12:48,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
12:47,,,,,"MISS FT by SOUTER,DONOVAN",,,"MISS FT by SOUTER,DONOVAN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
12:39,,,,,"FOUL  by WRIGHT,BRAYDEN",,,"FOUL  by WRIGHT,BRAYDEN",1
12:33,"GOOD JUMPER by ,DARVIS RASBERRY JR",8,,20 (+12),,HENDRIX 8-20 (-12),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
12:10,,,,,"TURNOVER  by SOUTER,DONOVAN",,,"TURNOVER  by SOUTER,DONOVAN",1
12:00,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
12:00,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:58,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
11:58,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
11:41,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
11:29,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
11:25,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",10,,20 (+10),,HENDRIX 10-20 (-10),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",1
11:15,,,,,"MISS 3PTR by CURTIS,JAMES",,,"MISS 3PTR by CURTIS,JAMES",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
10:53,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by CURTIS,JAMES",,,"REBOUND DEF by CURTIS,JAMES",1
10:41,,,,,"MISS 3PTR by STEVENS,HUNTER",,,"MISS 3PTR by STEVENS,HUNTER",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
10:39,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
10:39,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
10:39,,,,,"SUB IN by MCKENZIE,CADEN",,,"SUB IN by MCKENZIE,CADEN",1
10:39,,,,,"SUB IN by ISAAC,WILL",,,"SUB IN by ISAAC,WILL",1
10:39,,,,,"SUB OUT by SOUTER,DONOVAN",,,"SUB OUT by SOUTER,DONOVAN",1
10:39,,,,,"SUB OUT by WRIGHT,BRAYDEN",,,"SUB OUT by WRIGHT,BRAYDEN",1
10:35,,,,,"MISS 3PTR by MCKENZIE,CADEN",,,"MISS 3PTR by MCKENZIE,CADEN",1
--,,,,,"REBOUND OFF by WILLIAMS,JALEN",,,"REBOUND OFF by WILLIAMS,JALEN",1
10:34,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
10:34,,10,,21 (+11),"GOOD FT by WILLIAMS,JALEN",UTDALLAS 10-21 (-11),,"GOOD FT by WILLIAMS,JALEN",1
10:34,,10,,22 (+12),"GOOD FT by WILLIAMS,JALEN",UTDALLAS 10-22 (-12),,"GOOD FT by WILLIAMS,JALEN",1
10:34,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",1
10:34,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
10:12,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by ISAAC,WILL",,,"REBOUND DEF by ISAAC,WILL",1
10:11,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
10:11,,10,,23 (+13),"GOOD FT by ISAAC,WILL",UTDALLAS 10-23 (-13),,"GOOD FT by ISAAC,WILL",1
10:11,,,,,"MISS FT by ISAAC,WILL",,,"MISS FT by ISAAC,WILL",1
10:11,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
10:11,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
10:11,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:11,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:59,,,,,"SUB IN by WADE,ROB",,,"SUB IN by WADE,ROB",1
09:59,,,,,"SUB OUT by CURTIS,JAMES",,,"SUB OUT by CURTIS,JAMES",1
09:45,"TURNOVER  by WEAKLEY,CARTER",,,,,,,"TURNOVER  by WEAKLEY,CARTER",1
09:45,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
09:45,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
09:33,,,,,"TURNOVER  by STEVENS,HUNTER",,,"TURNOVER  by STEVENS,HUNTER",1
09:02,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
09:02,,,,,"BLOCK  by WADE,ROB",,,"BLOCK  by WADE,ROB",1
--,,,,,"REBOUND DEF by ISAAC,WILL",,,"REBOUND DEF by ISAAC,WILL",1
08:53,,,,,"TURNOVER  by WADE,ROB",,,"TURNOVER  by WADE,ROB",1
08:53,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
08:53,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
08:32,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
08:32,,,,,"STEAL  by ISAAC,WILL",,,"STEAL  by ISAAC,WILL",1
08:28,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
08:28,,10,,24 (+14),"GOOD FT by MCKENZIE,CADEN(fastbreak)",UTDALLAS 10-24 (-14),,"GOOD FT by MCKENZIE,CADEN(fastbreak)",1
08:28,,10,,25 (+15),"GOOD FT by MCKENZIE,CADEN(fastbreak)",UTDALLAS 10-25 (-15),,"GOOD FT by MCKENZIE,CADEN(fastbreak)",1
08:28,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
08:28,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
08:28,,,,,"SUB IN by CURTIS,JAMES",,,"SUB IN by CURTIS,JAMES",1
08:28,,,,,"SUB OUT by WADE,ROB",,,"SUB OUT by WADE,ROB",1
08:07,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",12,,25 (+13),,HENDRIX 12-25 (-13),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
07:35,,12,,28 (+16),"GOOD 3PTR by CURTIS,JAMES",UTDALLAS 12-28 (-16),,"GOOD 3PTR by CURTIS,JAMES",1
--,,,,,"ASSIST  by ISAAC,WILL",,,"ASSIST  by ISAAC,WILL",1
07:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:14,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
07:09,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",14,,28 (+14),,HENDRIX 14-28 (-14),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
06:46,,14,,30 (+16),"GOOD JUMPER by ISAAC,WILL(in the paint)",UTDALLAS 14-30 (-16),,"GOOD JUMPER by ISAAC,WILL(in the paint)",1
06:28,,,,,"FOUL  by ISAAC,WILL",,,"FOUL  by ISAAC,WILL",1
06:28,"GOOD FT by STANLEY,SETH",15,,30 (+15),,HENDRIX 15-30 (-15),,"GOOD FT by STANLEY,SETH",1
06:28,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:28,"GOOD FT by STANLEY,SETH",16,,30 (+14),,HENDRIX 16-30 (-14),,"GOOD FT by STANLEY,SETH",1
06:28,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
06:28,"SUB OUT by WEAKLEY,CARTER",,,,,,,"SUB OUT by WEAKLEY,CARTER",1
06:28,,,,,"SUB IN by SOUTER,DONOVAN",,,"SUB IN by SOUTER,DONOVAN",1
06:28,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
06:04,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
06:04,,16,,31 (+15),"GOOD FT by ISAAC,WILL",UTDALLAS 16-31 (-15),,"GOOD FT by ISAAC,WILL",1
06:04,,16,,32 (+16),"GOOD FT by ISAAC,WILL",UTDALLAS 16-32 (-16),,"GOOD FT by ISAAC,WILL",1
06:04,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
06:04,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
05:47,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND OFF by RYAN,JONATHAN",,,,,,,"REBOUND OFF by RYAN,JONATHAN",1
05:41,"MISS LAYUP by RYAN,JONATHAN",,,,,,,"MISS LAYUP by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by MCKENZIE,CADEN",,,"REBOUND DEF by MCKENZIE,CADEN",1
05:35,,,,,"MISS 3PTR by CURTIS,JAMES",,,"MISS 3PTR by CURTIS,JAMES",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
05:22,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
05:17,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
05:17,,,,,"STEAL  by STEVENS,HUNTER",,,"STEAL  by STEVENS,HUNTER",1
05:06,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
05:06,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
05:06,,,,,"SUB IN by WRIGHT,BRAYDEN",,,"SUB IN by WRIGHT,BRAYDEN",1
05:06,,,,,"SUB OUT by ISAAC,WILL",,,"SUB OUT by ISAAC,WILL",1
05:03,,16,,35 (+19),"GOOD 3PTR by SOUTER,DONOVAN",UTDALLAS 16-35 (-19),,"GOOD 3PTR by SOUTER,DONOVAN",1
--,,,,,"ASSIST  by WRIGHT,BRAYDEN",,,"ASSIST  by WRIGHT,BRAYDEN",1
04:44,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",18,,35 (+17),,HENDRIX 18-35 (-17),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
04:27,,,,,"MISS 3PTR by SOUTER,DONOVAN",,,"MISS 3PTR by SOUTER,DONOVAN",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
04:18,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",20,,35 (+15),,HENDRIX 20-35 (-15),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
04:02,,20,,37 (+17),"GOOD JUMPER by MCKENZIE,CADEN",UTDALLAS 20-37 (-17),,"GOOD JUMPER by MCKENZIE,CADEN",1
03:43,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by WRIGHT,BRAYDEN",,,"REBOUND DEF by WRIGHT,BRAYDEN",1
03:26,,,,,"MISS LAYUP by STEVENS,HUNTER",,,"MISS LAYUP by STEVENS,HUNTER",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
03:19,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by CURTIS,JAMES",,,"REBOUND DEF by CURTIS,JAMES",1
03:09,,,,,"MISS 3PTR by MCKENZIE,CADEN",,,"MISS 3PTR by MCKENZIE,CADEN",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
02:40,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by SOUTER,DONOVAN",,,"REBOUND DEF by SOUTER,DONOVAN",1
02:22,,20,,39 (+19),"GOOD JUMPER by SOUTER,DONOVAN(in the paint)",UTDALLAS 20-39 (-19),,"GOOD JUMPER by SOUTER,DONOVAN(in the paint)",1
01:58,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",22,,39 (+17),,HENDRIX 22-39 (-17),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
--,"ASSIST  by MCMULLIN,COLTON",,,,,,,"ASSIST  by MCMULLIN,COLTON",1
01:58,,,,,"FOUL  by SOUTER,DONOVAN",,,"FOUL  by SOUTER,DONOVAN",1
01:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
01:58,"GOOD FT by RYAN,JONATHAN",23,,39 (+16),,HENDRIX 23-39 (-16),,"GOOD FT by RYAN,JONATHAN",1
01:58,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",1
01:58,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
01:58,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
01:58,,,,,"SUB OUT by CURTIS,JAMES",,,"SUB OUT by CURTIS,JAMES",1
01:47,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
01:47,,23,,40 (+17),"GOOD FT by STEVENS,HUNTER",UTDALLAS 23-40 (-17),,"GOOD FT by STEVENS,HUNTER",1
01:47,,23,,41 (+18),"GOOD FT by STEVENS,HUNTER",UTDALLAS 23-41 (-18),,"GOOD FT by STEVENS,HUNTER",1
01:47,,,,,"SUB IN by DONNELLY,NICK",,,"SUB IN by DONNELLY,NICK",1
01:47,,,,,"SUB OUT by STEVENS,HUNTER",,,"SUB OUT by STEVENS,HUNTER",1
01:31,,,,,"FOUL  by DONNELLY,NICK",,,"FOUL  by DONNELLY,NICK",1
01:31,"GOOD FT by DEITHLOFF,TYLER",24,,41 (+17),,HENDRIX 24-41 (-17),,"GOOD FT by DEITHLOFF,TYLER",1
01:31,"GOOD FT by DEITHLOFF,TYLER",25,,41 (+16),,HENDRIX 25-41 (-16),,"GOOD FT by DEITHLOFF,TYLER",1
01:19,,,,,"MISS 3PTR by SOUTER,DONOVAN",,,"MISS 3PTR by SOUTER,DONOVAN",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
01:08,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by WRIGHT,BRAYDEN",,,"REBOUND DEF by WRIGHT,BRAYDEN",1
00:51,,,,,"MISS 3PTR by DONNELLY,NICK",,,"MISS 3PTR by DONNELLY,NICK",1
--,,,,,"REBOUND OFF by WILLIAMS,JALEN",,,"REBOUND OFF by WILLIAMS,JALEN",1
00:49,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
00:47,,25,,42 (+17),"GOOD FT by WILLIAMS,JALEN",UTDALLAS 25-42 (-17),,"GOOD FT by WILLIAMS,JALEN",1
00:47,,25,,43 (+18),"GOOD FT by WILLIAMS,JALEN",UTDALLAS 25-43 (-18),,"GOOD FT by WILLIAMS,JALEN",1
00:47,,,,,"SUB IN by OPOKU-DARKO,CODY",,,"SUB IN by OPOKU-DARKO,CODY",1
00:47,,,,,"SUB OUT by MCKENZIE,CADEN",,,"SUB OUT by MCKENZIE,CADEN",1
00:37,,,,,"FOUL  by DONNELLY,NICK",,,"FOUL  by DONNELLY,NICK",1
00:37,"GOOD FT by PARKS,JACKSON",26,,43 (+17),,HENDRIX 26-43 (-17),,"GOOD FT by PARKS,JACKSON",1
00:37,"MISS FT by PARKS,JACKSON",,,,,,,"MISS FT by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by SOUTER,DONOVAN",,,"REBOUND DEF by SOUTER,DONOVAN",1
00:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:21,,,,,"TURNOVER  by DONNELLY,NICK",,,"TURNOVER  by DONNELLY,NICK",1
00:21,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
00:16,"MISS  by PARKS,JACKSON",,,,,,,"MISS  by PARKS,JACKSON",1
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",1
00:16,,,,,"FOUL  by OPOKU-DARKO,CODY",,,"FOUL  by OPOKU-DARKO,CODY",1
00:16,"GOOD FT by DEITHLOFF,TYLER",27,,43 (+16),,HENDRIX 27-43 (-16),,"GOOD FT by DEITHLOFF,TYLER",1
00:16,"GOOD FT by DEITHLOFF,TYLER",28,,43 (+15),,HENDRIX 28-43 (-15),,"GOOD FT by DEITHLOFF,TYLER",1
00:03,,,,,"MISS 3PTR by OPOKU-DARKO,CODY",,,"MISS 3PTR by OPOKU-DARKO,CODY",1
--,,,,,"REBOUND OFF by WILLIAMS,JALEN",,,"REBOUND OFF by WILLIAMS,JALEN",1
00:00,,,,,"MISS LAYUP by WILLIAMS,JALEN",,,"MISS LAYUP by WILLIAMS,JALEN",1
00:00,"BLOCK  by DEITHLOFF,TYLER",,,,,,,"BLOCK  by DEITHLOFF,TYLER",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
19:41,"GOOD LAYUP by CONRAD,ALEX(in the paint)",30,,43 (+13),,HENDRIX 30-43 (-13),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
