Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,AUSTIN,Game Score,Team Indicator,Play,Period
19:54,,,,,"MISS LAYUP by ,JASON JONES JR",,,"MISS LAYUP by ,JASON JONES JR",1
19:54,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:31,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
19:14,,0,,2 (+2),"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",AUSTIN 0-2 (-2),,"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",1
--,,,,,"ASSIST ASSIST by RENNIE,JACKSON",,,"ASSIST ASSIST by RENNIE,JACKSON",1
18:58,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by GOODMAN,CHANSTON",,,"REBOUND DEF by GOODMAN,CHANSTON",1
18:49,,,,,"TURNOVER  by STRICKLAND,ROMAN",,,"TURNOVER  by STRICKLAND,ROMAN",1
18:37,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
18:37,,,,,"BLOCK  by GOODMAN,CHANSTON",,,"BLOCK  by GOODMAN,CHANSTON",1
--,,,,,"REBOUND DEF by GOODMAN,CHANSTON",,,"REBOUND DEF by GOODMAN,CHANSTON",1
18:32,,0,,4 (+4),"GOOD DUNK by STRICKLAND,ROMAN(fastbreak)",AUSTIN 0-4 (-4),,"GOOD DUNK by STRICKLAND,ROMAN(fastbreak)",1
--,,,,,"ASSIST ASSIST by GOODMAN,CHANSTON",,,"ASSIST ASSIST by GOODMAN,CHANSTON",1
18:19,"GOOD LAYUP by STANLEY,SETH(in the paint)",2,,4 (+2),,HENDRIX 2-4 (-2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,"ASSIST ASSIST by FITCH,CARL",,,,,,,"ASSIST ASSIST by FITCH,CARL",1
17:58,,,,,"TURNOVER  by STRICKLAND,ROMAN",,,"TURNOVER  by STRICKLAND,ROMAN",1
17:57,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",1
17:51,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by ,JASON JONES JR",,,"REBOUND DEF by ,JASON JONES JR",1
17:42,,2,,6 (+4),"GOOD DUNK by DICK,TRISTAN(fastbreak)",AUSTIN 2-6 (-4),,"GOOD DUNK by DICK,TRISTAN(fastbreak)",1
--,,,,,"ASSIST ASSIST by STRICKLAND,ROMAN",,,"ASSIST ASSIST by STRICKLAND,ROMAN",1
17:23,,,,,"FOUL  by ,JASON JONES JR",,,"FOUL  by ,JASON JONES JR",1
17:23,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:23,"GOOD FT by CONRAD,ALEX",3,,6 (+3),,HENDRIX 3-6 (-3),,"GOOD FT by CONRAD,ALEX",1
17:23,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
17:23,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
17:09,,,,,"MISS 3PTR by STRICKLAND,ROMAN",,,"MISS 3PTR by STRICKLAND,ROMAN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
17:04,"GOOD 3PTR by STANLEY,SETH",6,,6,,HENDRIX 6-6 (0),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST ASSIST by COMAN,SEAN",,,,,,,"ASSIST ASSIST by COMAN,SEAN",1
16:58,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
16:41,"GOOD LAYUP by FITCH,CARL(in the paint)",8 (+2),,6,,HENDRIX 8-6 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
16:24,,,,,"TURNOVER  by DICK,TRISTAN",,,"TURNOVER  by DICK,TRISTAN",1
16:23,"STEAL  by ,DARVIS RASBERRY JR",,,,,,,"STEAL  by ,DARVIS RASBERRY JR",1
16:18,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
16:17,,,,,"STEAL  by DICK,TRISTAN",,,"STEAL  by DICK,TRISTAN",1
16:14,,,,,"TURNOVER  by ,JASON JONES JR",,,"TURNOVER  by ,JASON JONES JR",1
16:14,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",1
16:14,,,,,"SUB IN by KING,REX",,,"SUB IN by KING,REX",1
16:14,,,,,"SUB IN by LAWRENCE,JOHNATHAN",,,"SUB IN by LAWRENCE,JOHNATHAN",1
16:14,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
16:14,,,,,"SUB OUT by STRICKLAND,ROMAN",,,"SUB OUT by STRICKLAND,ROMAN",1
16:14,,,,,"SUB OUT by ,JASON JONES JR",,,"SUB OUT by ,JASON JONES JR",1
15:53,"GOOD 3PTR by COMAN,SEAN",11 (+5),,6,,HENDRIX 11-6 (+5),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST ASSIST by STANLEY,SETH",,,,,,,"ASSIST ASSIST by STANLEY,SETH",1
15:44,,,,,"TURNOVER  by GOODMAN,CHANSTON",,,"TURNOVER  by GOODMAN,CHANSTON",1
15:44,,,,,"SUB IN by STRICKLAND,ROMAN",,,"SUB IN by STRICKLAND,ROMAN",1
15:44,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
15:44,,,,,"SUB OUT by GOODMAN,CHANSTON",,,"SUB OUT by GOODMAN,CHANSTON",1
15:44,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",1
15:27,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by DICK,TRISTAN",,,"REBOUND DEF by DICK,TRISTAN",1
15:16,,,,,"TURNOVER  by LAWRENCE,JOHNATHAN",,,"TURNOVER  by LAWRENCE,JOHNATHAN",1
15:16,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
15:07,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
15:06,,,,,"STEAL  by KING,REX",,,"STEAL  by KING,REX",1
15:03,,,,,"TURNOVER  by DICK,TRISTAN",,,"TURNOVER  by DICK,TRISTAN",1
15:02,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
14:59,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by ANTOSCA,CHASE",,,"REBOUND DEF by ANTOSCA,CHASE",1
14:50,,,,,"MISS 3PTR by DICK,TRISTAN",,,"MISS 3PTR by DICK,TRISTAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:46,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
14:46,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
