Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:39,,0,,2 (+2),"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIX 0-2 (+2),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
19:24,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",1
18:57,,0,,5 (+5),"GOOD 3PTR by COMAN,SEAN",HENDRIX 0-5 (+5),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
18:33,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
18:13,,0,,7 (+7),"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIX 0-7 (+7),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
17:54,"GOOD 3PTR by SONE,CARLOS",3,,7 (+4),,OU 3-7 (+4),,"GOOD 3PTR by SONE,CARLOS",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
17:16,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
16:47,"GOOD JUMPER by CHAMBERS,DIMETRI",5,,7 (+2),,OU 5-7 (+2),,"GOOD JUMPER by CHAMBERS,DIMETRI",1
16:39,,5,,9 (+4),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 5-9 (+4),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
16:25,"MISS 3PTR by EZIGBO,UBA",,,,,,,"MISS 3PTR by EZIGBO,UBA",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
16:12,,5,,12 (+7),"GOOD 3PTR by RYAN,JONATHAN",HENDRIX 5-12 (+7),,"GOOD 3PTR by RYAN,JONATHAN",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
15:59,"MISS LAYUP by EZIGBO,UBA",,,,,,,"MISS LAYUP by EZIGBO,UBA",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
15:42,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by EZIGBO,UBA",,,,,,,"REBOUND DEF by EZIGBO,UBA",1
15:31,"GOOD LAYUP by EZIGBO,UBA(in the paint)",7,,12 (+5),,OU 7-12 (+5),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
15:31,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,"GOOD FT by EZIGBO,UBA",8,,12 (+4),,OU 8-12 (+4),,"GOOD FT by EZIGBO,UBA",1
15:31,"SUB IN by MURRAH,JACK",,,,,,,"SUB IN by MURRAH,JACK",1
15:31,"SUB OUT by EZIGBO,UBA",,,,,,,"SUB OUT by EZIGBO,UBA",1
15:31,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
15:31,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
15:31,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
15:31,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
15:28,,8,,14 (+6),"GOOD LAYUP by PARKS,JACKSON(in the paint)",HENDRIX 8-14 (+6),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",1
15:23,"GOOD LAYUP by FOSTER,LANE(in the paint)",10,,14 (+4),,OU 10-14 (+4),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
14:50,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
14:50,"BLOCK  by CHAMBERS,DIMETRI",,,,,,,"BLOCK  by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by MURRAH,JACK",,,,,,,"REBOUND DEF by MURRAH,JACK",1
14:43,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
14:36,,10,,16 (+6),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIX 10-16 (+6),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",1
14:17,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
14:06,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
14:06,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
13:59,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
13:59,"BLOCK  by FOSTER,LANE",,,,,,,"BLOCK  by FOSTER,LANE",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
13:48,"MISS JUMPER by KOCH,WILL",,,,,,,"MISS JUMPER by KOCH,WILL",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
13:30,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:30,,,,,"SUB IN by WEAKLEY,CARTER",,,"SUB IN by WEAKLEY,CARTER",1
13:30,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
13:14,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
13:14,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
13:08,"MISS LAYUP by MURRAH,JACK",,,,,,,"MISS LAYUP by MURRAH,JACK",1
13:08,,,,,"BLOCK  by RYAN,JONATHAN",,,"BLOCK  by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
13:01,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
13:01,"STEAL  by SONE,CARLOS",,,,,,,"STEAL  by SONE,CARLOS",1
12:57,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
12:57,"GOOD FT by MURRAH,JACK(fastbreak)",11,,16 (+5),,OU 11-16 (+5),,"GOOD FT by MURRAH,JACK(fastbreak)",1
12:57,"GOOD FT by MURRAH,JACK(fastbreak)",12,,16 (+4),,OU 12-16 (+4),,"GOOD FT by MURRAH,JACK(fastbreak)",1
12:57,"SUB IN by ETIWE,TOJU",,,,,,,"SUB IN by ETIWE,TOJU",1
12:57,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",1
12:44,,,,,"MISS 3PTR by WEAKLEY,CARTER",,,"MISS 3PTR by WEAKLEY,CARTER",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
12:39,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",1
12:39,,12,,17 (+5),"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 12-17 (+5),,"GOOD FT by ,DARVIS RASBERRY JR",1
12:39,,12,,18 (+6),"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 12-18 (+6),,"GOOD FT by ,DARVIS RASBERRY JR",1
12:39,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
12:39,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
12:30,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",1
12:30,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
12:22,,,,,"MISS 3PTR by RYAN,JONATHAN",,,"MISS 3PTR by RYAN,JONATHAN",1
--,,,,,"REBOUND OFF by WEAKLEY,CARTER",,,"REBOUND OFF by WEAKLEY,CARTER",1
12:12,,12,,20 (+8),"GOOD JUMPER by ,DARVIS RASBERRY JR",HENDRIX 12-20 (+8),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"ASSIST  by WEAKLEY,CARTER",,,"ASSIST  by WEAKLEY,CARTER",1
11:57,"GOOD JUMPER by KOCH,WILL(in the paint)",14,,20 (+6),,OU 14-20 (+6),,"GOOD JUMPER by KOCH,WILL(in the paint)",1
11:37,,,,,"MISS 3PTR by WEAKLEY,CARTER",,,"MISS 3PTR by WEAKLEY,CARTER",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
11:30,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND OFF by ETIWE,TOJU",,,,,,,"REBOUND OFF by ETIWE,TOJU",1
11:29,"MISS LAYUP by ETIWE,TOJU",,,,,,,"MISS LAYUP by ETIWE,TOJU",1
11:29,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:29,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
11:29,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
11:29,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
11:29,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
11:19,"GOOD JUMPER by FOSTER,LANE",16,,20 (+4),,OU 16-20 (+4),,"GOOD JUMPER by FOSTER,LANE",1
10:59,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by MURRAH,JACK",,,,,,,"REBOUND DEF by MURRAH,JACK",1
10:45,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
10:45,"SUB IN by EZIGBO,UBA",,,,,,,"SUB IN by EZIGBO,UBA",1
10:45,"SUB OUT by MURRAH,JACK",,,,,,,"SUB OUT by MURRAH,JACK",1
10:45,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
10:45,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
10:45,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
10:45,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
10:38,"TURNOVER  by JENEI,RYAN",,,,,,,"TURNOVER  by JENEI,RYAN",1
10:38,,,,,"STEAL  by WEAKLEY,CARTER",,,"STEAL  by WEAKLEY,CARTER",1
10:20,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
10:13,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
10:01,"GOOD JUMPER by KOCH,WILL(in the paint)",18,,20 (+2),,OU 18-20 (+2),,"GOOD JUMPER by KOCH,WILL(in the paint)",1
09:44,,,,,"TURNOVER  by WEAKLEY,CARTER",,,"TURNOVER  by WEAKLEY,CARTER",1
09:44,"SUB IN by CHAMBERS,DIMETRI",,,,,,,"SUB IN by CHAMBERS,DIMETRI",1
09:44,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",1
09:44,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
09:44,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",1
09:37,"MISS JUMPER by EZIGBO,UBA",,,,,,,"MISS JUMPER by EZIGBO,UBA",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:26,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
09:26,"STEAL  by EZIGBO,UBA",,,,,,,"STEAL  by EZIGBO,UBA",1
09:21,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",1
09:21,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
09:21,,,,,"SUB OUT by WEAKLEY,CARTER",,,"SUB OUT by WEAKLEY,CARTER",1
09:10,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
09:10,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
09:06,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",20,,20,,OU 20-20 (0),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
--,"ASSIST  by ETIWE,TOJU",,,,,,,"ASSIST  by ETIWE,TOJU",1
08:52,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by ETIWE,TOJU",,,,,,,"REBOUND DEF by ETIWE,TOJU",1
08:36,"GOOD JUMPER by CHAMBERS,DIMETRI",22 (+2),,20,,OU 22-20 (-2),,"GOOD JUMPER by CHAMBERS,DIMETRI",1
08:11,,22,,22,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",HENDRIX 22-22 (0),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
07:52,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
07:36,,22,,25 (+3),"GOOD 3PTR by COMAN,SEAN",HENDRIX 22-25 (+3),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
07:17,"MISS JUMPER by EZIGBO,UBA",,,,,,,"MISS JUMPER by EZIGBO,UBA",1
--,"REBOUND OFF by JENEI,RYAN",,,,,,,"REBOUND OFF by JENEI,RYAN",1
07:12,"MISS LAYUP by JENEI,RYAN",,,,,,,"MISS LAYUP by JENEI,RYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:11,"SUB IN by MURRAH,JACK",,,,,,,"SUB IN by MURRAH,JACK",1
07:11,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
07:11,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
07:11,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
07:11,"SUB OUT by ETIWE,TOJU",,,,,,,"SUB OUT by ETIWE,TOJU",1
07:11,"SUB OUT by EZIGBO,UBA",,,,,,,"SUB OUT by EZIGBO,UBA",1
06:52,,22,,27 (+5),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 22-27 (+5),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
06:40,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
