Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,WU,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD JUMPER by MARTIN,LANDON(in the paint)",WU 0-2 (-2),,"GOOD JUMPER by MARTIN,LANDON(in the paint)",1
19:17,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",1
--,,,,,"REBOUND DEF by JOHNSON,JAMES",,,"REBOUND DEF by JOHNSON,JAMES",1
19:11,,,,,"FOUL  by MARTIN,LANDON",,,"FOUL  by MARTIN,LANDON",1
19:11,,,,,"TURNOVER  by MARTIN,LANDON",,,"TURNOVER  by MARTIN,LANDON",1
18:54,"GOOD JUMPER by STANLEY,SETH(in the paint)",2,,2,,HENDRIX 2-2 (0),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
18:54,,,,,"FOUL  by ALI-SHAKIR,RASHAAD",,,"FOUL  by ALI-SHAKIR,RASHAAD",1
18:54,"GOOD FT by STANLEY,SETH",3 (+1),,2,,HENDRIX 3-2 (+1),,"GOOD FT by STANLEY,SETH",1
18:43,,,,,"TURNOVER  by YOUNG,RIDGE",,,"TURNOVER  by YOUNG,RIDGE",1
18:43,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
18:39,"GOOD JUMPER by COMAN,SEAN(in the paint)",5 (+3),,2,,HENDRIX 5-2 (+3),,"GOOD JUMPER by COMAN,SEAN(in the paint)",1
18:10,,5 (+1),,4,"GOOD JUMPER by JOHNSON,JAMES(in the paint)",WU 5-4 (+1),,"GOOD JUMPER by JOHNSON,JAMES(in the paint)",1
17:52,"GOOD 3PTR by STANLEY,SETH",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
17:36,,8 (+2),,6,"GOOD JUMPER by ALI-SHAKIR,RASHAAD",WU 8-6 (+2),,"GOOD JUMPER by ALI-SHAKIR,RASHAAD",1
17:19,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:55,,,,,"TURNOVER  by HILL,BRICE",,,"TURNOVER  by HILL,BRICE",1
16:55,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
16:51,"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",10 (+4),,6,,HENDRIX 10-6 (+4),,"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
16:29,,,,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
16:18,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by JOHNSON,JAMES",,,"REBOUND DEF by JOHNSON,JAMES",1
16:09,,,,,"MISS 3PTR by JOHNSON,JAMES",,,"MISS 3PTR by JOHNSON,JAMES",1
16:09,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by YOUNG,RIDGE",,,"REBOUND OFF by YOUNG,RIDGE",1
16:04,,,,,"TURNOVER  by YOUNG,RIDGE",,,"TURNOVER  by YOUNG,RIDGE",1
16:04,"STEAL  by RYAN,JONATHAN",,,,,,,"STEAL  by RYAN,JONATHAN",1
16:04,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
16:04,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
16:04,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
16:04,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
16:04,,,,,"SUB IN by BOETTCHER,LEVI",,,"SUB IN by BOETTCHER,LEVI",1
16:04,,,,,"SUB IN by GOUGH,HARRISON",,,"SUB IN by GOUGH,HARRISON",1
16:04,,,,,"SUB OUT by HILL,BRICE",,,"SUB OUT by HILL,BRICE",1
16:04,,,,,"SUB OUT by JOHNSON,JAMES",,,"SUB OUT by JOHNSON,JAMES",1
15:40,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
15:34,"GOOD 3PTR by COMAN,SEAN",13 (+7),,6,,HENDRIX 13-6 (+7),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
15:07,,,,,"MISS JUMPER by ALI-SHAKIR,RASHAAD",,,"MISS JUMPER by ALI-SHAKIR,RASHAAD",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
15:02,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
15:02,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
15:02,,,,,"SUB IN by HILL,BRICE",,,"SUB IN by HILL,BRICE",1
15:02,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",,,"SUB OUT by ALI-SHAKIR,RASHAAD",1
14:41,,13 (+5),,8,"GOOD JUMPER by HILL,BRICE",WU 13-8 (+5),,"GOOD JUMPER by HILL,BRICE",1
--,,,,,"ASSIST  by YOUNG,RIDGE",,,"ASSIST  by YOUNG,RIDGE",1
14:09,,,,,"FOUL  by HILL,BRICE",,,"FOUL  by HILL,BRICE",1
14:09,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:09,"GOOD FT by STANLEY,SETH",14 (+6),,8,,HENDRIX 14-8 (+6),,"GOOD FT by STANLEY,SETH",1
14:09,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
14:09,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
13:53,,,,,"MISS JUMPER by MARTIN,LANDON",,,"MISS JUMPER by MARTIN,LANDON",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
13:44,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by MARTIN,LANDON",,,"REBOUND DEF by MARTIN,LANDON",1
13:31,,,,,"MISS 3PTR by BOETTCHER,LEVI",,,"MISS 3PTR by BOETTCHER,LEVI",1
--,,,,,"REBOUND OFF by YOUNG,RIDGE",,,"REBOUND OFF by YOUNG,RIDGE",1
13:22,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
13:22,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
13:22,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
13:22,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
13:22,,,,,"SUB IN by SHIPMAN-CURTI,JUSTIN",,,"SUB IN by SHIPMAN-CURTI,JUSTIN",1
13:22,,,,,"SUB OUT by YOUNG,RIDGE",,,"SUB OUT by YOUNG,RIDGE",1
13:18,,,,,"MISS LAYUP by HILL,BRICE",,,"MISS LAYUP by HILL,BRICE",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
13:04,"MISS LAYUP by PARKS,JACKSON",,,,,,,"MISS LAYUP by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by SHIPMAN-CURTI,JUSTIN",,,"REBOUND DEF by SHIPMAN-CURTI,JUSTIN",1
12:54,,,,,"MISS 3PTR by HILL,BRICE",,,"MISS 3PTR by HILL,BRICE",1
--,,,,,"REBOUND OFF by GOUGH,HARRISON",,,"REBOUND OFF by GOUGH,HARRISON",1
12:52,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
12:49,,,,,"TURNOVER  by SHIPMAN-CURTI,JUSTIN",,,"TURNOVER  by SHIPMAN-CURTI,JUSTIN",1
12:49,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
12:45,,,,,"FOUL  by HILL,BRICE",,,"FOUL  by HILL,BRICE",1
12:45,"MISS FT by PARKS,JACKSON",,,,,,,"MISS FT by PARKS,JACKSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:45,"GOOD FT by PARKS,JACKSON(fastbreak)",15 (+7),,8,,HENDRIX 15-8 (+7),,"GOOD FT by PARKS,JACKSON(fastbreak)",1
12:45,,,,,"SUB IN by JOHNSON,JAMES",,,"SUB IN by JOHNSON,JAMES",1
12:45,,,,,"SUB OUT by HILL,BRICE",,,"SUB OUT by HILL,BRICE",1
12:27,,15 (+4),,11,"GOOD 3PTR by MARTIN,LANDON",WU 15-11 (+4),,"GOOD 3PTR by MARTIN,LANDON",1
--,,,,,"ASSIST  by SHIPMAN-CURTI,JUSTIN",,,"ASSIST  by SHIPMAN-CURTI,JUSTIN",1
12:11,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
12:11,,,,,"STEAL  by MARTIN,LANDON",,,"STEAL  by MARTIN,LANDON",1
12:08,,15 (+2),,13,"GOOD JUMPER by MARTIN,LANDON(fastbreak)(in the paint)",WU 15-13 (+2),,"GOOD JUMPER by MARTIN,LANDON(fastbreak)(in the paint)",1
11:41,"MISS LAYUP by DEITHLOFF,TYLER",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:38,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
11:38,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
11:38,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
11:38,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
11:23,,,,,"MISS JUMPER by SHIPMAN-CURTI,JUSTIN",,,"MISS JUMPER by SHIPMAN-CURTI,JUSTIN",1
--,,,,,"REBOUND OFF by JOHNSON,JAMES",,,"REBOUND OFF by JOHNSON,JAMES",1
10:54,,15,,16 (+1),"GOOD 3PTR by JOHNSON,JAMES",WU 15-16 (-1),,"GOOD 3PTR by JOHNSON,JAMES",1
--,,,,,"ASSIST  by BOETTCHER,LEVI",,,"ASSIST  by BOETTCHER,LEVI",1
10:30,,,,,"FOUL  by BOETTCHER,LEVI",,,"FOUL  by BOETTCHER,LEVI",1
10:30,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:30,"GOOD FT by MCMULLIN,COLTON",16,,16,,HENDRIX 16-16 (0),,"GOOD FT by MCMULLIN,COLTON",1
10:30,"GOOD FT by MCMULLIN,COLTON",17 (+1),,16,,HENDRIX 17-16 (+1),,"GOOD FT by MCMULLIN,COLTON",1
10:14,,,,,"MISS 3PTR by MARTIN,LANDON",,,"MISS 3PTR by MARTIN,LANDON",1
--,,,,,"REBOUND OFF by SHIPMAN-CURTI,JUSTIN",,,"REBOUND OFF by SHIPMAN-CURTI,JUSTIN",1
09:59,,,,,"MISS LAYUP by JOHNSON,JAMES",,,"MISS LAYUP by JOHNSON,JAMES",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:57,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
09:57,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",,,"SUB IN by ALI-SHAKIR,RASHAAD",1
09:57,,,,,"SUB OUT by GOUGH,HARRISON",,,"SUB OUT by GOUGH,HARRISON",1
09:51,,,,,"MISS 3PTR by JOHNSON,JAMES",,,"MISS 3PTR by JOHNSON,JAMES",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
09:32,"GOOD 3PTR by MCMULLIN,COLTON",20 (+4),,16,,HENDRIX 20-16 (+4),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",1
09:14,,,,,"MISS JUMPER by BOETTCHER,LEVI",,,"MISS JUMPER by BOETTCHER,LEVI",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
08:51,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
