Time Remaining,HOPE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:39,"TURNOVER  by LILJA,JOSHUA",,,,,,,"TURNOVER  by LILJA,JOSHUA",1
19:39,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
19:27,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
19:22,,0,,2 (+2),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 0-2 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
19:05,"GOOD JUMPER by STEEG,SAM VER",2,,2,,HOPE 2-2 (0),,"GOOD JUMPER by STEEG,SAM VER",1
18:40,,2,,4 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 2-4 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
18:32,"MISS JUMPER by BIKUS,JEFF",,,,,,,"MISS JUMPER by BIKUS,JEFF",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
18:21,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",1
18:11,"GOOD 3PTR by GEORGE,TYLER",5 (+1),,4,,HOPE 5-4 (-1),,"GOOD 3PTR by GEORGE,TYLER",1
17:52,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",1
--,"REBOUND DEF by WIEGERINK,TANNER",,,,,,,"REBOUND DEF by WIEGERINK,TANNER",1
17:40,"TURNOVER  by LILJA,JOSHUA",,,,,,,"TURNOVER  by LILJA,JOSHUA",1
17:40,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
17:40,"SUB IN by HALBERT,JAXON",,,,,,,"SUB IN by HALBERT,JAXON",1
17:40,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",1
17:40,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",1
17:40,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",1
17:10,"FOUL  by HALBERT,JAXON",,,,,,,"FOUL  by HALBERT,JAXON",1
17:06,"FOUL  by HEDRICK,NOAH",,,,,,,"FOUL  by HEDRICK,NOAH",1
17:06,,5,,5,"GOOD FT by STANLEY,SETH",HENDRIX 5-5 (0),,"GOOD FT by STANLEY,SETH",1
17:06,,5,,6 (+1),"GOOD FT by STANLEY,SETH",HENDRIX 5-6 (+1),,"GOOD FT by STANLEY,SETH",1
16:53,"MISS LAYUP by BIKUS,JEFF",,,,,,,"MISS LAYUP by BIKUS,JEFF",1
16:53,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:49,"MISS 3PTR by BIKUS,JEFF",,,,,,,"MISS 3PTR by BIKUS,JEFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:35,"GOOD JUMPER by HALBERT,JAXON(in the paint)",7 (+1),,6,,HOPE 7-6 (-1),,"GOOD JUMPER by HALBERT,JAXON(in the paint)",1
