Time Remaining,DALLAS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:37,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
19:22,"GOOD JUMPER by JUAREZ,MARCUS",2 (+2),,0,,DALLAS 2-0 (-2),,"GOOD JUMPER by JUAREZ,MARCUS",1
19:09,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
19:04,,,,,"MISS TIPIN by FITCH,CARL",,,"MISS TIPIN by FITCH,CARL",1
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",1
18:55,"MISS 3PTR by JUAREZ,MARCUS",,,,,,,"MISS 3PTR by JUAREZ,MARCUS",1
18:55,,,,,"BLOCK  by RYAN,JONATHAN",,,"BLOCK  by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:43,,2,,2,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 2-2 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
18:16,"GOOD LAYUP by BOYLE,JACK(in the paint)",4 (+2),,2,,DALLAS 4-2 (-2),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
18:00,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",1
17:56,,4,,4,"GOOD TIPIN by RYAN,JONATHAN(in the paint)",HENDRIX 4-4 (0),,"GOOD TIPIN by RYAN,JONATHAN(in the paint)",1
17:43,"TURNOVER  by HYDE,CAMERAN",,,,,,,"TURNOVER  by HYDE,CAMERAN",1
17:43,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
17:43,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
17:24,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
17:24,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
17:18,"GOOD JUMPER by JUAREZ,MARCUS",6 (+2),,4,,DALLAS 6-4 (-2),,"GOOD JUMPER by JUAREZ,MARCUS",1
--,"ASSIST  by BOYLE,JACK",,,,,,,"ASSIST  by BOYLE,JACK",1
17:08,,,,,"MISS 3PTR by RASBERRY JR.,DARVIS",,,"MISS 3PTR by RASBERRY JR.,DARVIS",1
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",1
17:03,,6,,6,"GOOD TIPIN by RYAN,JONATHAN(in the paint)",HENDRIX 6-6 (0),,"GOOD TIPIN by RYAN,JONATHAN(in the paint)",1
16:51,"MISS JUMPER by JUAREZ,MARCUS",,,,,,,"MISS JUMPER by JUAREZ,MARCUS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:47,"FOUL  by BOYLE,JACK",,,,,,,"FOUL  by BOYLE,JACK",1
16:33,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",1
16:22,,6,,8 (+2),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 6-8 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
16:03,"GOOD LAYUP by BOYLE,JACK(in the paint)",8,,8,,DALLAS 8-8 (0),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
15:47,,8,,11 (+3),"GOOD 3PTR by COMAN,SEAN",HENDRIX 8-11 (+3),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
15:27,"MISS JUMPER by JUAREZ,MARCUS",,,,,,,"MISS JUMPER by JUAREZ,MARCUS",1
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",1
15:23,"GOOD TIPIN by TOUSSAINT,LETRELL(in the paint)",10,,11 (+1),,DALLAS 10-11 (+1),,"GOOD TIPIN by TOUSSAINT,LETRELL(in the paint)",1
15:06,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",1
14:53,"MISS LAYUP by TOUSSAINT,LETRELL",,,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:50,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
14:50,SUB IN by 35,,,,,,,SUB IN by 35,1
14:50,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",1
14:49,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
14:36,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",1
14:33,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
14:32,,10,,13 (+3),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIX 10-13 (+3),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",1
14:16,"MISS JUMPER by CHRISTIFANO JR.,LOUI",,,,,,,"MISS JUMPER by CHRISTIFANO JR.,LOUI",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
14:06,,10,,16 (+6),"GOOD 3PTR by RASBERRY JR.,DARVIS",HENDRIX 10-16 (+6),,"GOOD 3PTR by RASBERRY JR.,DARVIS",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
13:48,"MISS 3PTR by HYDE,CAMERAN",,,,,,,"MISS 3PTR by HYDE,CAMERAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:43,,,,,"FOUL  by RASBERRY JR.,DARVIS",,,"FOUL  by RASBERRY JR.,DARVIS",1
13:08,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
13:01,,10,,18 (+8),"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 10-18 (+8),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
12:54,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
12:54,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
