Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,ATU,Game Score,Team Indicator,Play,Period
19:32,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HALL,TONY",,,"REBOUND DEF by HALL,TONY",1
19:19,,,,,"MISS 3PTR by JOHNSON,BJ",,,"MISS 3PTR by JOHNSON,BJ",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
18:58,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
18:13,,0,,2 (+2),"GOOD LAYUP by HOWARD,KEVIN(in the paint)",ATU 0-2 (-2),,"GOOD LAYUP by HOWARD,KEVIN(in the paint)",1
18:03,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
17:51,,0,,4 (+4),"GOOD JUMPER by HOWARD,KEVIN(in the paint)",ATU 0-4 (-4),,"GOOD JUMPER by HOWARD,KEVIN(in the paint)",1
--,,,,,"ASSIST  by HALL,TONY",,,"ASSIST  by HALL,TONY",1
17:27,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
17:27,,,,,"BLOCK  by HALL,TONY",,,"BLOCK  by HALL,TONY",1
--,,,,,"REBOUND DEF by HALL,TONY",,,"REBOUND DEF by HALL,TONY",1
17:15,,,,,"TURNOVER  by PERRY,CZAR",,,"TURNOVER  by PERRY,CZAR",1
17:03,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
17:03,,,,,"BLOCK  by HALL,TONY",,,"BLOCK  by HALL,TONY",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
16:42,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by JOHNSON,BJ",,,"REBOUND DEF by JOHNSON,BJ",1
16:35,,,,,"MISS JUMPER by HALL,TONY",,,"MISS JUMPER by HALL,TONY",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
16:19,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
15:47,,,,,"FOUL  by JOHNSON,BJ",,,"FOUL  by JOHNSON,BJ",1
15:35,"GOOD FT by CONRAD,ALEX",1,,4 (+3),,HENDRIX 1-4 (-3),,"GOOD FT by CONRAD,ALEX",1
15:35,"GOOD FT by CONRAD,ALEX",2,,4 (+2),,HENDRIX 2-4 (-2),,"GOOD FT by CONRAD,ALEX",1
15:33,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
15:33,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
15:33,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
15:33,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
15:28,,,,,"MISS JUMPER by HOWARD,KEVIN",,,"MISS JUMPER by HOWARD,KEVIN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
15:18,,2,,6 (+4),"GOOD DUNK by PETER,TAELON(in the paint)",ATU 2-6 (-4),,"GOOD DUNK by PETER,TAELON(in the paint)",1
15:18,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
15:18,,,,,"STEAL  by HALL,TONY",,,"STEAL  by HALL,TONY",1
14:57,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND DEF by JOHNSON,BJ",,,"REBOUND DEF by JOHNSON,BJ",1
14:42,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
14:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:31,,,,,"SUB IN by GOSNELL,NIKO",,,"SUB IN by GOSNELL,NIKO",1
14:31,,,,,"SUB IN by KENNEDY,CAM",,,"SUB IN by KENNEDY,CAM",1
14:31,,,,,"SUB OUT by JOHNSON,BJ",,,"SUB OUT by JOHNSON,BJ",1
14:31,,,,,"SUB OUT by HOWARD,KEVIN",,,"SUB OUT by HOWARD,KEVIN",1
14:30,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",1
14:30,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
14:21,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",1
14:02,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by PETER,TAELON",,,"REBOUND DEF by PETER,TAELON",1
13:49,,2,,9 (+7),"GOOD 3PTR by HALL,TONY",ATU 2-9 (-7),,"GOOD 3PTR by HALL,TONY",1
13:23,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
13:16,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
13:16,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
13:16,,,,,"SUB IN by ALLEN,CALVIN",,,"SUB IN by ALLEN,CALVIN",1
13:16,,,,,"SUB OUT by PERRY,CZAR",,,"SUB OUT by PERRY,CZAR",1
13:07,,,,,"MISS JUMPER by GOSNELL,NIKO",,,"MISS JUMPER by GOSNELL,NIKO",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
12:54,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by PETER,TAELON",,,"REBOUND DEF by PETER,TAELON",1
12:41,,,,,"MISS 3PTR by KENNEDY,CAM",,,"MISS 3PTR by KENNEDY,CAM",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
12:26,,,,,"FOUL  by HALL,TONY",,,"FOUL  by HALL,TONY",1
12:26,"GOOD 3PTR by STANLEY,SETH",5,,9 (+4),,HENDRIX 5-9 (-4),,"GOOD 3PTR by STANLEY,SETH",1
12:26,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
12:26,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
12:26,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
12:26,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
12:18,,,,,"MISS 3PTR by PETER,TAELON",,,"MISS 3PTR by PETER,TAELON",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
12:05,"MISS LAYUP by PARKS,JACKSON",,,,,,,"MISS LAYUP by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by GOSNELL,NIKO",,,"REBOUND DEF by GOSNELL,NIKO",1
11:58,,5,,11 (+6),"GOOD LAYUP by ALLEN,CALVIN(in the paint)",ATU 5-11 (-6),,"GOOD LAYUP by ALLEN,CALVIN(in the paint)",1
11:44,,,,,"SUB IN by JOHNSON,BJ",,,"SUB IN by JOHNSON,BJ",1
11:44,,,,,"SUB OUT by HALL,TONY",,,"SUB OUT by HALL,TONY",1
11:37,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by ALLEN,CALVIN",,,"REBOUND DEF by ALLEN,CALVIN",1
11:24,,,,,"TURNOVER  by ALLEN,CALVIN",,,"TURNOVER  by ALLEN,CALVIN",1
11:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:24,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
11:24,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
11:24,,,,,"SUB IN by PERRY,CZAR",,,"SUB IN by PERRY,CZAR",1
11:24,,,,,"SUB IN by HOWARD,KEVIN",,,"SUB IN by HOWARD,KEVIN",1
11:24,,,,,"SUB OUT by GOSNELL,NIKO",,,"SUB OUT by GOSNELL,NIKO",1
11:24,,,,,"SUB OUT by ALLEN,CALVIN",,,"SUB OUT by ALLEN,CALVIN",1
11:19,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
11:19,,,,,"BLOCK  by HOWARD,KEVIN",,,"BLOCK  by HOWARD,KEVIN",1
--,,,,,"REBOUND DEF by HOWARD,KEVIN",,,"REBOUND DEF by HOWARD,KEVIN",1
10:54,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
10:37,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:19,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
10:19,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
10:12,,,,,"TURNOVER  by KENNEDY,CAM",,,"TURNOVER  by KENNEDY,CAM",1
09:58,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
09:58,,,,,"STEAL  by JOHNSON,BJ",,,"STEAL  by JOHNSON,BJ",1
09:47,,5,,13 (+8),"GOOD JUMPER by PERRY,CZAR(in the paint)",ATU 5-13 (-8),,"GOOD JUMPER by PERRY,CZAR(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,BJ",,,"ASSIST  by JOHNSON,BJ",1
09:31,,,,,"MISS JUMPER by JOHNSON,BJ",,,"MISS JUMPER by JOHNSON,BJ",1
09:31,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
--,,,,,"REBOUND DEF by JOHNSON,BJ",,,"REBOUND DEF by JOHNSON,BJ",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
09:10,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND DEF by PETER,TAELON",,,"REBOUND DEF by PETER,TAELON",1
