Time Remaining,AUSTIN,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:54,"MISS JUMPER by RENNIE,JACKSON",,,,,,,"MISS JUMPER by RENNIE,JACKSON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
16:48,,2,,8 (+6),"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",HENDRIX 2-8 (+6),,"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",1
16:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:28,"MISS JUMPER by JASON JONES,JR",,,,,,,"MISS JUMPER by JASON JONES,JR",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
--,"REBOUND DEF by LAWRENCE,JOHNATHAN",,,,,,,"REBOUND DEF by LAWRENCE,JOHNATHAN",1
16:13,"MISS LAYUP by JASON JONES,JR",,,,,,,"MISS LAYUP by JASON JONES,JR",1
--,"REBOUND OFF by DICK,TRISTAN",,,,,,,"REBOUND OFF by DICK,TRISTAN",1
16:07,"MISS JUMPER by DICK,TRISTAN",,,,,,,"MISS JUMPER by DICK,TRISTAN",1
--,"REBOUND OFF by DICK,TRISTAN",,,,,,,"REBOUND OFF by DICK,TRISTAN",1
16:04,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
16:04,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
16:04,"SUB IN by KING,REX",,,,,,,"SUB IN by KING,REX",1
16:04,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",1
16:04,"SUB IN by ANTOSCA,CHASE",,,,,,,"SUB IN by ANTOSCA,CHASE",1
16:04,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",1
16:04,"SUB OUT by LAWRENCE,JOHNATHAN",,,,,,,"SUB OUT by LAWRENCE,JOHNATHAN",1
16:04,"SUB OUT by JASON JONES,JR",,,,,,,"SUB OUT by JASON JONES,JR",1
16:04,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
16:04,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
15:49,"MISS JUMPER by KING,REX",,,,,,,"MISS JUMPER by KING,REX",1
15:49,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
15:33,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
15:33,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
15:33,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
15:33,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
15:23,"MISS LAYUP by JOE,JOSHUA",,,,,,,"MISS LAYUP by JOE,JOSHUA",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
--,"REBOUND DEF by JOE,JOSHUA",,,,,,,"REBOUND DEF by JOE,JOSHUA",1
15:06,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",1
--,"REBOUND OFF by GOODMAN,CHANSTON",,,,,,,"REBOUND OFF by GOODMAN,CHANSTON",1
15:00,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:00,"FOUL  by JOE,JOSHUA",,,,,,,"FOUL  by JOE,JOSHUA",1
15:00,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",1
15:00,"SUB OUT by JOE,JOSHUA",,,,,,,"SUB OUT by JOE,JOSHUA",1
14:49,"FOUL  by RENNIE,JACKSON",,,,,,,"FOUL  by RENNIE,JACKSON",1
14:47,,2,,10 (+8),"GOOD LAYUP by RASBERRY JR.,DARVIS(in the paint)",HENDRIX 2-10 (+8),,"GOOD LAYUP by RASBERRY JR.,DARVIS(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
14:47,"FOUL  by GOODMAN,CHANSTON",,,,,,,"FOUL  by GOODMAN,CHANSTON",1
14:47,,,,,"MISS FT by RASBERRY JR.,DARVIS",,,"MISS FT by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
14:36,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
14:36,"GOOD FT by DICK,TRISTAN",3,,10 (+7),,AUSTIN 3-10 (+7),,"GOOD FT by DICK,TRISTAN",1
14:36,"MISS FT by DICK,TRISTAN",,,,,,,"MISS FT by DICK,TRISTAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:28,"FOUL  by RENNIE,JACKSON",,,,,,,"FOUL  by RENNIE,JACKSON",1
14:28,,3,,11 (+8),"GOOD FT by PARKS,JACKSON",HENDRIX 3-11 (+8),,"GOOD FT by PARKS,JACKSON",1
14:28,,,,,"MISS FT by PARKS,JACKSON",,,"MISS FT by PARKS,JACKSON",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
14:28,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
14:28,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
14:14,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",5,,11 (+6),,AUSTIN 5-11 (+6),,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",1
13:51,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:39,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND OFF by PARKS,JACKSON",,,"REBOUND OFF by PARKS,JACKSON",1
13:33,,5,,13 (+8),"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 5-13 (+8),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
13:19,"MISS JUMPER by DICK,TRISTAN",,,,,,,"MISS JUMPER by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:09,,5,,15 (+10),"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",HENDRIX 5-15 (+10),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",1
13:09,"FOUL  by DICK,TRISTAN",,,,,,,"FOUL  by DICK,TRISTAN",1
13:09,,5,,16 (+11),"GOOD FT by STANLEY,SETH",HENDRIX 5-16 (+11),,"GOOD FT by STANLEY,SETH",1
13:09,"SUB IN by JASON JONES,JR",,,,,,,"SUB IN by JASON JONES,JR",1
13:09,"SUB IN by JOE,JOSHUA",,,,,,,"SUB IN by JOE,JOSHUA",1
13:09,"SUB OUT by KING,REX",,,,,,,"SUB OUT by KING,REX",1
13:09,"SUB OUT by RENNIE,JACKSON",,,,,,,"SUB OUT by RENNIE,JACKSON",1
12:51,"MISS LAYUP by JASON JONES,JR",,,,,,,"MISS LAYUP by JASON JONES,JR",1
12:51,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",1
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",1
12:39,,5,,19 (+14),"GOOD 3PTR by PARKS,JACKSON",HENDRIX 5-19 (+14),,"GOOD 3PTR by PARKS,JACKSON",1
--,,,,,"ASSIST  by RASBERRY JR.,DARVIS",,,"ASSIST  by RASBERRY JR.,DARVIS",1
12:31,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
12:31,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
12:31,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
12:27,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
12:27,"GOOD FT by DICK,TRISTAN",6,,19 (+13),,AUSTIN 6-19 (+13),,"GOOD FT by DICK,TRISTAN",1
12:27,"GOOD FT by DICK,TRISTAN",7,,19 (+12),,AUSTIN 7-19 (+12),,"GOOD FT by DICK,TRISTAN",1
12:27,"SUB IN by LAWRENCE,JOHNATHAN",,,,,,,"SUB IN by LAWRENCE,JOHNATHAN",1
12:27,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",1
12:27,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
12:27,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
12:27,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
12:27,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
12:11,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
11:57,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",9,,19 (+10),,AUSTIN 9-19 (+10),,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",1
11:30,"FOUL  by GOODMAN,CHANSTON",,,,,,,"FOUL  by GOODMAN,CHANSTON",1
11:30,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:30,,,,,"MISS FT by MCMULLIN,COLTON",,,"MISS FT by MCMULLIN,COLTON",1
--,"REBOUND DEF by JASON JONES,JR",,,,,,,"REBOUND DEF by JASON JONES,JR",1
11:04,"GOOD LAYUP by JASON JONES,JR(in the paint)",11,,19 (+8),,AUSTIN 11-19 (+8),,"GOOD LAYUP by JASON JONES,JR(in the paint)",1
--,"ASSIST  by DICK,TRISTAN",,,,,,,"ASSIST  by DICK,TRISTAN",1
10:49,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
10:47,"STEAL  by JASON JONES,JR",,,,,,,"STEAL  by JASON JONES,JR",1
10:44,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
10:44,"GOOD FT by DICK,TRISTAN",12,,19 (+7),,AUSTIN 12-19 (+7),,"GOOD FT by DICK,TRISTAN",1
10:44,"GOOD FT by DICK,TRISTAN",13,,19 (+6),,AUSTIN 13-19 (+6),,"GOOD FT by DICK,TRISTAN",1
10:44,"SUB IN by RENNIE,JACKSON",,,,,,,"SUB IN by RENNIE,JACKSON",1
10:44,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",1
10:44,"SUB OUT by LAWRENCE,JOHNATHAN",,,,,,,"SUB OUT by LAWRENCE,JOHNATHAN",1
10:44,"SUB OUT by GOODMAN,CHANSTON",,,,,,,"SUB OUT by GOODMAN,CHANSTON",1
10:44,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
10:44,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
10:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
10:44,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",1
10:23,,13,,21 (+8),"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HENDRIX 13-21 (+8),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",1
10:15,"MISS 3PTR by DICK,TRISTAN",,,,,,,"MISS 3PTR by DICK,TRISTAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:58,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
09:49,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",15,,21 (+6),,AUSTIN 15-21 (+6),,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",1
--,"ASSIST  by JOE,JOSHUA",,,,,,,"ASSIST  by JOE,JOSHUA",1
09:26,"FOUL  by JOE,JOSHUA",,,,,,,"FOUL  by JOE,JOSHUA",1
09:26,,15,,22 (+7),"GOOD FT by CONRAD,ALEX",HENDRIX 15-22 (+7),,"GOOD FT by CONRAD,ALEX",1
09:26,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by JASON JONES,JR",,,,,,,"REBOUND DEF by JASON JONES,JR",1
09:26,"SUB IN by LAWRENCE,JOHNATHAN",,,,,,,"SUB IN by LAWRENCE,JOHNATHAN",1
09:26,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",1
09:26,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
09:26,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
09:14,"MISS JUMPER by JOE,JOSHUA",,,,,,,"MISS JUMPER by JOE,JOSHUA",1
--,"REBOUND OFF by ANTOSCA,CHASE",,,,,,,"REBOUND OFF by ANTOSCA,CHASE",1
09:07,"TURNOVER  by RENNIE,JACKSON",,,,,,,"TURNOVER  by RENNIE,JACKSON",1
09:07,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",1
09:07,"SUB OUT by JOE,JOSHUA",,,,,,,"SUB OUT by JOE,JOSHUA",1
08:57,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
08:52,,15,,24 (+9),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 15-24 (+9),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
08:35,"TURNOVER  by JASON JONES,JR",,,,,,,"TURNOVER  by JASON JONES,JR",1
08:34,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
08:31,,15,,27 (+12),"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 15-27 (+12),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
08:00,"MISS JUMPER by LAWRENCE,JOHNATHAN",,,,,,,"MISS JUMPER by LAWRENCE,JOHNATHAN",1
08:00,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
07:54,"FOUL  by JASON JONES,JR",,,,,,,"FOUL  by JASON JONES,JR",1
07:54,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:54,,15,,28 (+13),"GOOD FT by DEITHLOFF,TYLER",HENDRIX 15-28 (+13),,"GOOD FT by DEITHLOFF,TYLER",1
07:54,,15,,29 (+14),"GOOD FT by DEITHLOFF,TYLER",HENDRIX 15-29 (+14),,"GOOD FT by DEITHLOFF,TYLER",1
07:43,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
07:40,"FOUL  by GOODMAN,CHANSTON",,,,,,,"FOUL  by GOODMAN,CHANSTON",1
07:40,,,,,"MISS FT by PARKS,JACKSON",,,"MISS FT by PARKS,JACKSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:40,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",1
07:40,"SUB OUT by RENNIE,JACKSON",,,,,,,"SUB OUT by RENNIE,JACKSON",1
07:40,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
07:38,,,,,"MISS FT by PARKS,JACKSON",,,"MISS FT by PARKS,JACKSON",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
07:32,"GOOD JUMPER by ANTOSCA,CHASE(in the paint)",17,,29 (+12),,AUSTIN 17-29 (+12),,"GOOD JUMPER by ANTOSCA,CHASE(in the paint)",1
07:22,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
07:20,"STEAL  by DICK,TRISTAN",,,,,,,"STEAL  by DICK,TRISTAN",1
07:17,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",19,,29 (+10),,AUSTIN 19-29 (+10),,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",1
06:56,"FOUL  by DICK,TRISTAN",,,,,,,"FOUL  by DICK,TRISTAN",1
06:56,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:56,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
06:56,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
06:49,,,,,"FOUL  by RASBERRY JR.,DARVIS",,,"FOUL  by RASBERRY JR.,DARVIS",1
06:49,"GOOD FT by DICK,TRISTAN",20,,29 (+9),,AUSTIN 20-29 (+9),,"GOOD FT by DICK,TRISTAN",1
06:49,"MISS FT by DICK,TRISTAN",,,,,,,"MISS FT by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
06:49,"SUB IN by KING,REX",,,,,,,"SUB IN by KING,REX",1
06:49,"SUB OUT by JASON JONES,JR",,,,,,,"SUB OUT by JASON JONES,JR",1
06:43,,20,,32 (+12),"GOOD 3PTR by STANLEY,SETH",HENDRIX 20-32 (+12),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
06:34,"GOOD 3PTR by DICK,TRISTAN",23,,32 (+9),,AUSTIN 23-32 (+9),,"GOOD 3PTR by DICK,TRISTAN",1
--,"ASSIST  by ANTOSCA,CHASE",,,,,,,"ASSIST  by ANTOSCA,CHASE",1
06:12,"FOUL  by KING,REX",,,,,,,"FOUL  by KING,REX",1
06:12,,,,,"MISS FT by RASBERRY JR.,DARVIS",,,"MISS FT by RASBERRY JR.,DARVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:12,,,,,"MISS FT by RASBERRY JR.,DARVIS",,,"MISS FT by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",1
06:12,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
06:12,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
06:04,"MISS JUMPER by RENNIE,JACKSON",,,,,,,"MISS JUMPER by RENNIE,JACKSON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
05:58,,,,,"MISS 3PTR by RASBERRY JR.,DARVIS",,,"MISS 3PTR by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by KING,REX",,,,,,,"REBOUND DEF by KING,REX",1
05:48,"MISS LAYUP by DICK,TRISTAN",,,,,,,"MISS LAYUP by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
05:42,,23,,34 (+11),"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",HENDRIX 23-34 (+11),,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
05:34,"MISS LAYUP by JOE,JOSHUA",,,,,,,"MISS LAYUP by JOE,JOSHUA",1
05:34,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:34,"SUB IN by JOE,JOSHUA",,,,,,,"SUB IN by JOE,JOSHUA",1
05:34,"SUB OUT by GOODMAN,CHANSTON",,,,,,,"SUB OUT by GOODMAN,CHANSTON",1
05:34,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
05:34,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
05:29,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
05:29,"GOOD FT by JOE,JOSHUA",24,,34 (+10),,AUSTIN 24-34 (+10),,"GOOD FT by JOE,JOSHUA",1
05:29,"GOOD FT by JOE,JOSHUA",25,,34 (+9),,AUSTIN 25-34 (+9),,"GOOD FT by JOE,JOSHUA",1
05:07,,25,,36 (+11),"GOOD JUMPER by STANLEY,SETH",HENDRIX 25-36 (+11),,"GOOD JUMPER by STANLEY,SETH",1
04:53,"MISS 3PTR by JOE,JOSHUA",,,,,,,"MISS 3PTR by JOE,JOSHUA",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
04:40,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by JOE,JOSHUA",,,,,,,"REBOUND DEF by JOE,JOSHUA",1
04:25,"GOOD 3PTR by DICK,TRISTAN",28,,36 (+8),,AUSTIN 28-36 (+8),,"GOOD 3PTR by DICK,TRISTAN",1
--,"ASSIST  by RENNIE,JACKSON",,,,,,,"ASSIST  by RENNIE,JACKSON",1
03:56,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND DEF by ANTOSCA,CHASE",,,,,,,"REBOUND DEF by ANTOSCA,CHASE",1
03:50,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",30,,36 (+6),,AUSTIN 30-36 (+6),,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",1
03:33,,30,,38 (+8),"GOOD JUMPER by DEITHLOFF,TYLER",HENDRIX 30-38 (+8),,"GOOD JUMPER by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
03:18,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
03:18,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:18,"MISS FT by JOE,JOSHUA",,,,,,,"MISS FT by JOE,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:18,"GOOD FT by JOE,JOSHUA",31,,38 (+7),,AUSTIN 31-38 (+7),,"GOOD FT by JOE,JOSHUA",1
03:18,"SUB IN by RENNIE,JACKSON",,,,,,,"SUB IN by RENNIE,JACKSON",1
03:18,"SUB OUT by ANTOSCA,CHASE",,,,,,,"SUB OUT by ANTOSCA,CHASE",1
03:18,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
03:18,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
