Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS 3PTR by KOCH,WILL",,,"MISS 3PTR by KOCH,WILL",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
19:33,"GOOD DUNK by FITCH,CARL(in the paint)",2 (+2),,0,,HENDRIX 2-0 (+2),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
19:25,,2,,2,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 2-2 (0),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
19:01,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",1
18:56,,2,,5 (+3),"GOOD 3PTR by CHAMBERS,DIMETRI",OU 2-5 (-3),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
18:35,"GOOD LAYUP by CONRAD,ALEX(in the paint)",4,,5 (+1),,HENDRIX 4-5 (-1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
18:16,,4,,7 (+3),"GOOD LAYUP by FOSTER,LANE(in the paint)",OU 4-7 (-3),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
17:58,"GOOD 3PTR by STANLEY,SETH",7,,7,,HENDRIX 7-7 (0),,"GOOD 3PTR by STANLEY,SETH",1
17:43,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
17:22,,,,,"FOUL  by MURRAH,JACK",,,"FOUL  by MURRAH,JACK",1
17:22,"GOOD FT by STANLEY,SETH",8 (+1),,7,,HENDRIX 8-7 (+1),,"GOOD FT by STANLEY,SETH",1
17:22,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
17:09,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
17:01,"GOOD JUMPER by STANLEY,SETH(in the paint)",10 (+3),,7,,HENDRIX 10-7 (+3),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
16:59,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",1
16:59,"GOOD FT by STANLEY,SETH",11 (+4),,7,,HENDRIX 11-7 (+4),,"GOOD FT by STANLEY,SETH",1
