Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
15:59,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
15:58,"MISS FT by ACHIREM,OBED",,,,,,,"MISS FT by ACHIREM,OBED",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
15:38,,10 (+8),,2,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HENDRIX 10-2 (-8),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
15:28,"MISS JUMPER by ACHIREM,OBED",,,,,,,"MISS JUMPER by ACHIREM,OBED",1
--,"REBOUND OFF by FREEMAN,ANTHONY",,,,,,,"REBOUND OFF by FREEMAN,ANTHONY",1
15:19,"GOOD 3PTR by AARON,COLLMANN",13 (+11),,2,,WC 13-2 (-11),,"GOOD 3PTR by AARON,COLLMANN",1
--,"ASSIST  by MANSFIELD,JEFFERY",,,,,,,"ASSIST  by MANSFIELD,JEFFERY",1
14:51,"FOUL  by FREEMAN,ANTHONY",,,,,,,"FOUL  by FREEMAN,ANTHONY",1
14:51,,13 (+10),,3,"GOOD FT by STANLEY,SETH",HENDRIX 13-3 (-10),,"GOOD FT by STANLEY,SETH",1
14:51,,13 (+9),,4,"GOOD FT by STANLEY,SETH",HENDRIX 13-4 (-9),,"GOOD FT by STANLEY,SETH",1
14:51,"SUB IN by MITCHELL,TRAVIS",,,,,,,"SUB IN by MITCHELL,TRAVIS",1
14:51,"SUB OUT by ACHIREM,OBED",,,,,,,"SUB OUT by ACHIREM,OBED",1
14:27,"MISS LAYUP by MITCHELL,TRAVIS",,,,,,,"MISS LAYUP by MITCHELL,TRAVIS",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
14:08,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
13:54,"GOOD LAYUP by MANSFIELD,JEFFERY(in the paint)",15 (+11),,4,,WC 15-4 (-11),,"GOOD LAYUP by MANSFIELD,JEFFERY(in the paint)",1
13:38,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
13:22,"GOOD LAYUP by MITCHELL,TRAVIS(in the paint)",17 (+13),,4,,WC 17-4 (-13),,"GOOD LAYUP by MITCHELL,TRAVIS(in the paint)",1
--,"ASSIST  by MANSFIELD,JEFFERY",,,,,,,"ASSIST  by MANSFIELD,JEFFERY",1
12:57,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND DEF by MITCHELL,TRAVIS",,,,,,,"REBOUND DEF by MITCHELL,TRAVIS",1
12:31,"MISS LAYUP by MANSFIELD,JEFFERY",,,,,,,"MISS LAYUP by MANSFIELD,JEFFERY",1
12:31,,,,,"BLOCK  by DEITHLOFF,TYLER",,,"BLOCK  by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
12:21,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by MITCHELL,TRAVIS",,,,,,,"REBOUND DEF by MITCHELL,TRAVIS",1
11:52,"MISS LAYUP by BIRD,BRYCE",,,,,,,"MISS LAYUP by BIRD,BRYCE",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
