Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
13:41,"GOOD LAYUP by NIX,GRAYSON(in the paint)",15 (+12),,3,,OZARKS 15-3 (-12),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",1
13:22,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by FINLEY,GARRET",,,,,,,"REBOUND DEF by FINLEY,GARRET",1
13:17,"MISS 3PTR by ALT,DAWSON",,,,,,,"MISS 3PTR by ALT,DAWSON",1
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",1
13:17,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",1
13:17,"SUB IN by WRIGHT,HUNTER",,,,,,,"SUB IN by WRIGHT,HUNTER",1
13:17,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
13:17,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",1
13:15,"FOUL  by NIX,GRAYSON",,,,,,,"FOUL  by NIX,GRAYSON",1
13:15,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",1
13:15,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",1
13:11,,15 (+10),,5,"GOOD JUMPER by RASBERRY JR.,DARVIS",HENDRIX 15-5 (-10),,"GOOD JUMPER by RASBERRY JR.,DARVIS",1
12:38,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",1
12:32,,,,,"MISS LAYUP by RASBERRY JR.,DARVIS",,,"MISS LAYUP by RASBERRY JR.,DARVIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:28,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",1
12:28,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",1
12:25,"FOUL  by WRIGHT,HUNTER",,,,,,,"FOUL  by WRIGHT,HUNTER",1
12:25,,15 (+9),,6,"GOOD FT by STANLEY,SETH",HENDRIX 15-6 (-9),,"GOOD FT by STANLEY,SETH",1
12:25,,15 (+8),,7,"GOOD FT by STANLEY,SETH",HENDRIX 15-7 (-8),,"GOOD FT by STANLEY,SETH",1
12:25,,15 (+7),,8,"GOOD FT by STANLEY,SETH",HENDRIX 15-8 (-7),,"GOOD FT by STANLEY,SETH",1
12:25,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
12:25,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
11:55,"TURNOVER  by POWELL,KYRON",,,,,,,"TURNOVER  by POWELL,KYRON",1
11:53,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
11:52,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by JANGA,ELVIS",,,,,,,"REBOUND DEF by JANGA,ELVIS",1
11:41,"GOOD JUMPER by ALT,DAWSON",17 (+9),,8,,OZARKS 17-8 (-9),,"GOOD JUMPER by ALT,DAWSON",1
