Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:44,,33,,34 (+1),"GOOD TIPIN by FITCH,CARL(in the paint)",HENDRIX 33-34 (+1),,"GOOD TIPIN by FITCH,CARL(in the paint)",2
16:37,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
16:37,"GOOD FT by NIX,GRAYSON",34,,34,,OZARKS 34-34 (0),,"GOOD FT by NIX,GRAYSON",2
16:37,"GOOD FT by NIX,GRAYSON",35 (+1),,34,,OZARKS 35-34 (-1),,"GOOD FT by NIX,GRAYSON",2
16:37,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",2
16:37,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",2
16:37,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",2
16:37,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",2
16:37,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",2
16:37,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
16:25,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",2
16:25,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",2
16:14,,35,,36 (+1),"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 35-36 (+1),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",2
15:53,"MISS JUMPER by NIX,GRAYSON",,,,,,,"MISS JUMPER by NIX,GRAYSON",2
15:53,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
15:43,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,"REBOUND DEF by JANGA,ELVIS",,,,,,,"REBOUND DEF by JANGA,ELVIS",2
15:33,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",37 (+1),,36,,OZARKS 37-36 (-1),,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",2
15:14,,37,,39 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIX 37-39 (+2),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",2
14:56,"TURNOVER  by ALT,DAWSON",,,,,,,"TURNOVER  by ALT,DAWSON",2
14:55,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
14:45,,,,,"MISS 3PTR by RASBERRY JR.,DARVIS",,,"MISS 3PTR by RASBERRY JR.,DARVIS",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
14:31,"MISS 3PTR by JANGA,ELVIS",,,,,,,"MISS 3PTR by JANGA,ELVIS",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
14:23,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
14:21,"STEAL  by ROELKE,KAMREN",,,,,,,"STEAL  by ROELKE,KAMREN",2
14:11,"TURNOVER  by ALT,DAWSON",,,,,,,"TURNOVER  by ALT,DAWSON",2
14:10,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
14:06,,37,,41 (+4),"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",HENDRIX 37-41 (+4),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by RASBERRY JR.,DARVIS",,,"ASSIST  by RASBERRY JR.,DARVIS",2
13:43,"GOOD 3PTR by NIX,GRAYSON",40,,41 (+1),,OZARKS 40-41 (+1),,"GOOD 3PTR by NIX,GRAYSON",2
--,"ASSIST  by ROELKE,KAMREN",,,,,,,"ASSIST  by ROELKE,KAMREN",2
13:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:38,"SUB IN by FRESH,RAY",,,,,,,"SUB IN by FRESH,RAY",2
13:38,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",2
13:38,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",2
13:38,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
13:38,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
13:38,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
13:38,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
13:38,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
13:21,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
13:02,"GOOD 3PTR by FINLEY,GARRET",43 (+2),,41,,OZARKS 43-41 (-2),,"GOOD 3PTR by FINLEY,GARRET",2
--,"ASSIST  by ROELKE,KAMREN",,,,,,,"ASSIST  by ROELKE,KAMREN",2
12:44,,43,,43,"GOOD JUMPER by MCMULLIN,COLTON",HENDRIX 43-43 (0),,"GOOD JUMPER by MCMULLIN,COLTON",2
12:20,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",2
--,"REBOUND OFF by ALT,DAWSON",,,,,,,"REBOUND OFF by ALT,DAWSON",2
12:11,"GOOD LAYUP by ALT,DAWSON(in the paint)",45 (+2),,43,,OZARKS 45-43 (-2),,"GOOD LAYUP by ALT,DAWSON(in the paint)",2
--,"ASSIST  by FRESH,RAY",,,,,,,"ASSIST  by FRESH,RAY",2
12:02,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",2
11:59,,,,,"FOUL  by RASBERRY JR.,DARVIS",,,"FOUL  by RASBERRY JR.,DARVIS",2
11:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:59,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
11:59,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",2
11:41,"GOOD 3PTR by FINLEY,GARRET",48 (+5),,43,,OZARKS 48-43 (-5),,"GOOD 3PTR by FINLEY,GARRET",2
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",2
11:18,,48 (+2),,46,"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 48-46 (-2),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",2
10:56,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
10:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:56,"GOOD FT by NIX,GRAYSON",49 (+3),,46,,OZARKS 49-46 (-3),,"GOOD FT by NIX,GRAYSON",2
10:56,"GOOD FT by NIX,GRAYSON",50 (+4),,46,,OZARKS 50-46 (-4),,"GOOD FT by NIX,GRAYSON",2
10:43,,50 (+1),,49,"GOOD 3PTR by COMAN,SEAN",HENDRIX 50-49 (-1),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",2
10:21,"TURNOVER  by FINLEY,GARRET",,,,,,,"TURNOVER  by FINLEY,GARRET",2
10:19,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",2
10:15,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",2
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",2
10:02,"MISS LAYUP by NIX,GRAYSON",,,,,,,"MISS LAYUP by NIX,GRAYSON",2
--,"REBOUND OFF by NIX,GRAYSON",,,,,,,"REBOUND OFF by NIX,GRAYSON",2
09:58,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
09:58,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",2
09:58,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
09:58,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
09:58,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
09:58,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
09:58,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",2
09:49,"MISS JUMPER by ROELKE,KAMREN",,,,,,,"MISS JUMPER by ROELKE,KAMREN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
09:40,"FOUL  by FRESH,RAY",,,,,,,"FOUL  by FRESH,RAY",2
09:40,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",2
09:40,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",2
09:34,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
09:24,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",52 (+3),,49,,OZARKS 52-49 (-3),,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",2
09:07,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:03,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",2
09:03,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",2
08:40,"MISS 3PTR by ALT,DAWSON",,,,,,,"MISS 3PTR by ALT,DAWSON",2
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",2
08:30,,52,,52,"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 52-52 (0),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
07:57,"MISS LAYUP by POWELL,KYRON",,,,,,,"MISS LAYUP by POWELL,KYRON",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
07:52,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
07:30,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
07:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:30,"GOOD FT by ROELKE,KAMREN",53 (+1),,52,,OZARKS 53-52 (-1),,"GOOD FT by ROELKE,KAMREN",2
07:30,"MISS FT by ROELKE,KAMREN",,,,,,,"MISS FT by ROELKE,KAMREN",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
07:30,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
07:30,"SUB IN by LITTLE,CARTER",,,,,,,"SUB IN by LITTLE,CARTER",2
07:30,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",2
07:30,"SUB OUT by ALT,DAWSON",,,,,,,"SUB OUT by ALT,DAWSON",2
07:30,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
07:30,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
07:18,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
07:09,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",55 (+3),,52,,OZARKS 55-52 (-3),,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",2
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",2
06:39,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
06:36,,55 (+1),,54,"GOOD TIPIN by FITCH,CARL(in the paint)",HENDRIX 55-54 (-1),,"GOOD TIPIN by FITCH,CARL(in the paint)",2
06:08,"GOOD LAYUP by NIX,GRAYSON(in the paint)",57 (+3),,54,,OZARKS 57-54 (-3),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",2
06:08,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
06:08,"GOOD FT by NIX,GRAYSON",58 (+4),,54,,OZARKS 58-54 (-4),,"GOOD FT by NIX,GRAYSON",2
06:08,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",2
06:08,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",2
06:08,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
06:08,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
05:56,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
05:36,"GOOD LAYUP by NIX,GRAYSON(fastbreak)(in the paint)",60 (+6),,54,,OZARKS 60-54 (-6),,"GOOD LAYUP by NIX,GRAYSON(fastbreak)(in the paint)",2
05:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:27,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
05:22,,60 (+4),,56,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 60-56 (-4),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
04:50,"MISS JUMPER by ROELKE,KAMREN",,,,,,,"MISS JUMPER by ROELKE,KAMREN",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
04:39,"FOUL  by DUKES,JACOB",,,,,,,"FOUL  by DUKES,JACOB",2
04:39,,60 (+3),,57,"GOOD FT by FITCH,CARL",HENDRIX 60-57 (-3),,"GOOD FT by FITCH,CARL",2
04:39,,60 (+2),,58,"GOOD FT by FITCH,CARL",HENDRIX 60-58 (-2),,"GOOD FT by FITCH,CARL",2
04:39,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",2
04:39,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",2
04:30,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",2
04:28,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",2
04:26,,60,,60,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",HENDRIX 60-60 (0),,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",2
04:00,"TURNOVER  by FINLEY,GARRET",,,,,,,"TURNOVER  by FINLEY,GARRET",2
04:00,"SUB IN by FRESH,RAY",,,,,,,"SUB IN by FRESH,RAY",2
04:00,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",2
03:51,,60,,62 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 60-62 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
03:29,"MISS LAYUP by NIX,GRAYSON",,,,,,,"MISS LAYUP by NIX,GRAYSON",2
--,"REBOUND OFF by ALT,DAWSON",,,,,,,"REBOUND OFF by ALT,DAWSON",2
03:24,"GOOD TIPIN by ALT,DAWSON(in the paint)",62,,62,,OZARKS 62-62 (0),,"GOOD TIPIN by ALT,DAWSON(in the paint)",2
03:05,"FOUL  by FINLEY,GARRET",,,,,,,"FOUL  by FINLEY,GARRET",2
03:05,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:05,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:05,,62,,63 (+1),"GOOD FT by CONRAD,ALEX",HENDRIX 62-63 (+1),,"GOOD FT by CONRAD,ALEX",2
02:37,"MISS LAYUP by FRESH,RAY",,,,,,,"MISS LAYUP by FRESH,RAY",2
02:37,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",2
--,"REBOUND OFF by FRESH,RAY",,,,,,,"REBOUND OFF by FRESH,RAY",2
02:33,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
02:26,"FOUL  by FRESH,RAY",,,,,,,"FOUL  by FRESH,RAY",2
02:26,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",2
02:26,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",2
02:05,,62,,65 (+3),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 62-65 (+3),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
01:47,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
01:14,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
01:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:14,,62,,66 (+4),"GOOD FT by STANLEY,SETH",HENDRIX 62-66 (+4),,"GOOD FT by STANLEY,SETH",2
01:14,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",2
00:56,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",2
00:56,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
00:38,,62,,68 (+6),"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",HENDRIX 62-68 (+6),,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",2
00:29,"MISS LAYUP by ROELKE,KAMREN",,,,,,,"MISS LAYUP by ROELKE,KAMREN",2
00:29,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
00:27,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
00:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:27,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",2
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",2
00:19,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
00:11,"FOUL  by ALT,DAWSON",,,,,,,"FOUL  by ALT,DAWSON",2
00:11,,,,,"MISS FT by PARKS,JACKSON",,,"MISS FT by PARKS,JACKSON",2
--,"REBOUND DEF by FINLEY,GARRET",,,,,,,"REBOUND DEF by FINLEY,GARRET",2
00:07,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
