Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS 3PTR by GLOVER,CAMERON",,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
19:34,"GOOD 3PTR by PARKS,JACKSON",3 (+3),,0,,HENDRIX 3-0 (+3),,"GOOD 3PTR by PARKS,JACKSON",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
19:10,,,,,"MISS JUMPER by FITZGERALD,PAUL",,,"MISS JUMPER by FITZGERALD,PAUL",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
18:56,"GOOD LAYUP by CONRAD,ALEX(in the paint)",5 (+5),,0,,HENDRIX 5-0 (+5),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
18:39,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
18:39,,5 (+4),,1,"GOOD FT by SIGLER,EVAN",BSC 5-1 (+4),,"GOOD FT by SIGLER,EVAN",1
18:39,,5 (+3),,2,"GOOD FT by SIGLER,EVAN",BSC 5-2 (+3),,"GOOD FT by SIGLER,EVAN",1
18:21,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
18:17,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:04,,5 (+1),,4,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 5-4 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:37,"GOOD 3PTR by FITCH,CARL",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD 3PTR by FITCH,CARL",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
17:13,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",1
16:53,"GOOD 3PTR by PARKS,JACKSON",11 (+7),,4,,HENDRIX 11-4 (+7),,"GOOD 3PTR by PARKS,JACKSON",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
16:40,,11 (+4),,7,"GOOD 3PTR by GLOVER,CAMERON",BSC 11-7 (+4),,"GOOD 3PTR by GLOVER,CAMERON",1
16:31,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
