Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by COOK,JEREMIAH",,,,,,,"REBOUND OFF by COOK,JEREMIAH",1
17:19,"GOOD JUMPER by SHEN,KEVIN(in the paint)",2,,8 (+6),,RHODES 2-8 (+6),,"GOOD JUMPER by SHEN,KEVIN(in the paint)",1
17:19,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
17:19,"MISS FT by SHEN,KEVIN",,,,,,,"MISS FT by SHEN,KEVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:09,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
17:09,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
17:09,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
17:09,"SUB OUT by COOK,JEREMIAH",,,,,,,"SUB OUT by COOK,JEREMIAH",1
17:09,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
17:09,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
16:46,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:27,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
16:27,,2,,9 (+7),"GOOD FT by EATON,JACK",HENDRIX 2-9 (+7),,"GOOD FT by EATON,JACK",1
16:27,,2,,10 (+8),"GOOD FT by EATON,JACK",HENDRIX 2-10 (+8),,"GOOD FT by EATON,JACK",1
16:27,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
16:27,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
16:27,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
16:27,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
15:59,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
