Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
15:07,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
14:50,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
14:36,,7,,13 (+6),"GOOD 3PTR by GERALD,DUSTIN",CENTRE 7-13 (-6),,"GOOD 3PTR by GERALD,DUSTIN",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
14:18,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
14:08,,7,,16 (+9),"GOOD 3PTR by RING,NOAH",CENTRE 7-16 (-9),,"GOOD 3PTR by RING,NOAH",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
13:53,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",1
13:44,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
13:29,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
13:29,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:29,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
13:29,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",1
13:29,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
13:29,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
13:29,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
13:29,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
13:29,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
13:29,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
13:29,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
13:29,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
13:29,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
13:05,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",1
12:50,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:35,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:14,"GOOD JUMPER by WEAKLEY,CARTER",9,,16 (+7),,HENDRIX 9-16 (-7),,"GOOD JUMPER by WEAKLEY,CARTER",1
11:55,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
11:55,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
11:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:55,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:55,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
11:52,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
11:52,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
11:49,"GOOD 3PTR by STANLEY,SETH",12,,16 (+4),,HENDRIX 12-16 (-4),,"GOOD 3PTR by STANLEY,SETH",1
11:27,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by WEAKLEY,CARTER",,,,,,,"REBOUND DEF by WEAKLEY,CARTER",1
11:16,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
11:16,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
11:12,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
11:12,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
11:12,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
11:12,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
10:49,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
10:49,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:49,"GOOD FT by STANLEY,SETH",13,,16 (+3),,HENDRIX 13-16 (-3),,"GOOD FT by STANLEY,SETH",1
10:49,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
10:49,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
10:49,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
10:49,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:49,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
10:49,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
10:49,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
10:49,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
10:28,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
10:13,"GOOD 3PTR by WEAKLEY,CARTER",16,,16,,HENDRIX 16-16 (0),,"GOOD 3PTR by WEAKLEY,CARTER",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
09:55,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
09:55,"STEAL  by WEAKLEY,CARTER",,,,,,,"STEAL  by WEAKLEY,CARTER",1
09:50,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",18 (+2),,16,,HENDRIX 18-16 (+2),,"GOOD LAYUP by PARKS,JACKSON(fastbreak)(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
09:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:49,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
09:49,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
09:26,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:16,"MISS 3PTR by WEAKLEY,CARTER",,,,,,,"MISS 3PTR by WEAKLEY,CARTER",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
08:54,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
08:37,"GOOD JUMPER by PARKS,JACKSON(in the paint)",20 (+4),,16,,HENDRIX 20-16 (+4),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
08:12,,20 (+2),,18,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",CENTRE 20-18 (+2),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JALEN",,,"ASSIST  by WILLIAMS,JALEN",1
07:55,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
07:46,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
07:25,"MISS 3PTR by WEAKLEY,CARTER",,,,,,,"MISS 3PTR by WEAKLEY,CARTER",1
--,"REBOUND OFF by PARKS,JACKSON",,,,,,,"REBOUND OFF by PARKS,JACKSON",1
07:21,"GOOD LAYUP by PARKS,JACKSON(in the paint)",22 (+4),,18,,HENDRIX 22-18 (+4),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",1
07:01,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
07:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:01,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
07:01,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
07:01,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
07:01,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
07:01,"SUB OUT by WEAKLEY,CARTER",,,,,,,"SUB OUT by WEAKLEY,CARTER",1
07:01,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
07:01,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
07:01,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
06:56,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
06:31,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
06:19,,,,,"MISS LAYUP by SMITH,RJ",,,"MISS LAYUP by SMITH,RJ",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
06:04,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
05:42,,22 (+1),,21,"GOOD 3PTR by GERALD,DUSTIN",CENTRE 22-21 (+1),,"GOOD 3PTR by GERALD,DUSTIN",1
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",1
05:28,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
05:28,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
05:28,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
05:28,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
05:28,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
05:16,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
05:11,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
05:11,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
05:07,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
05:07,,22,,22,"GOOD FT by GERALD,DUSTIN(fastbreak)",CENTRE 22-22 (0),,"GOOD FT by GERALD,DUSTIN(fastbreak)",1
05:07,,22,,23 (+1),"GOOD FT by GERALD,DUSTIN(fastbreak)",CENTRE 22-23 (-1),,"GOOD FT by GERALD,DUSTIN(fastbreak)",1
05:07,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
05:07,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
05:07,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
05:07,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
05:07,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
05:07,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
04:54,"GOOD JUMPER by ,DARVIS RASBERRY JR",24 (+1),,23,,HENDRIX 24-23 (+1),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
04:28,,24,,25 (+1),"GOOD JUMPER by WILSON,DREW(in the paint)",CENTRE 24-25 (-1),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
04:16,"GOOD 3PTR by COMAN,SEAN",27 (+2),,25,,HENDRIX 27-25 (+2),,"GOOD 3PTR by COMAN,SEAN",1
04:05,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
04:05,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
04:05,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
04:05,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
04:05,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
04:00,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
03:48,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
03:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:48,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
03:48,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
03:48,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
03:48,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
03:32,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
03:32,,27 (+1),,26,"GOOD FT by GERALD,DUSTIN",CENTRE 27-26 (+1),,"GOOD FT by GERALD,DUSTIN",1
03:32,,27,,27,"GOOD FT by GERALD,DUSTIN",CENTRE 27-27 (0),,"GOOD FT by GERALD,DUSTIN",1
03:32,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
03:32,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
03:32,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
03:32,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
03:15,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
03:10,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
03:10,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
02:58,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
02:44,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
02:31,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
02:31,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
02:25,,27,,30 (+3),"GOOD 3PTR by SMITH,RJ",CENTRE 27-30 (-3),,"GOOD 3PTR by SMITH,RJ",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
02:07,"GOOD LAYUP by CONRAD,ALEX(in the paint)",29,,30 (+1),,HENDRIX 29-30 (-1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
01:45,,29,,33 (+4),"GOOD 3PTR by BAUGHMAN,CARTER",CENTRE 29-33 (-4),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by TAYLOR,MARSHALL",,,"ASSIST  by TAYLOR,MARSHALL",1
01:21,"GOOD JUMPER by STANLEY,SETH(in the paint)",31,,33 (+2),,HENDRIX 31-33 (-2),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
01:05,,31,,35 (+4),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",CENTRE 31-35 (-4),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
00:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:45,"GOOD LAYUP by CONRAD,ALEX(in the paint)",33,,35 (+2),,HENDRIX 33-35 (-2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
00:18,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
00:18,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
00:18,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
00:14,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",1
00:14,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:14,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
00:14,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
00:00,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
00:00,,,,,"MISS LAYUP by SMITH,RJ",,,"MISS LAYUP by SMITH,RJ",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
00:00,,33,,37 (+4),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",CENTRE 33-37 (-4),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
00:00,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
20:00,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
19:43,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
19:38,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
19:15,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
19:03,"GOOD JUMPER by STANLEY,SETH(in the paint)",35,,37 (+2),,HENDRIX 35-37 (-2),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
18:39,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
18:27,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
18:27,,,,,"BLOCK  by MOORE,CHEZ",,,"BLOCK  by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
18:05,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
17:41,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
17:20,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
17:07,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
