Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
19:42,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
19:36,,0,,2 (+2),"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OU 0-2 (-2),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",1
19:36,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
19:36,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
19:18,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
19:01,"GOOD JUMPER by CONRAD,ALEX(in the paint)",2,,2,,HENDRIX 2-2 (0),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
18:41,,2,,4 (+2),"GOOD JUMPER by CHAMBERS,DIMETRI",OU 2-4 (-2),,"GOOD JUMPER by CHAMBERS,DIMETRI",1
18:13,"GOOD 3PTR by STANLEY,SETH",5 (+1),,4,,HENDRIX 5-4 (+1),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
17:56,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
17:42,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
17:42,,,,,"STEAL  by JENEI,RYAN",,,"STEAL  by JENEI,RYAN",1
17:28,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
17:16,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
17:06,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
17:02,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
16:39,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
16:20,,,,,"MISS JUMPER by SONE,CARLOS",,,"MISS JUMPER by SONE,CARLOS",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
16:05,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
15:57,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
15:41,"GOOD 3PTR by STANLEY,SETH",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
15:19,,,,,"MISS JUMPER by KOCH,WILL",,,"MISS JUMPER by KOCH,WILL",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
15:00,"GOOD JUMPER by STANLEY,SETH",10 (+6),,4,,HENDRIX 10-4 (+6),,"GOOD JUMPER by STANLEY,SETH",1
14:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:47,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
14:47,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:47,,10 (+5),,5,"GOOD FT by FOSTER,LANE",OU 10-5 (+5),,"GOOD FT by FOSTER,LANE",1
14:47,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
14:47,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",1
14:47,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
14:47,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",1
14:44,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
14:40,"GOOD LAYUP by FITCH,CARL(in the paint)",12 (+7),,5,,HENDRIX 12-5 (+7),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
14:36,,12 (+5),,7,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 12-7 (+5),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
13:44,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
13:44,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",1
13:41,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
13:41,,,,,"MISS FT by EZIGBO,UBA",,,"MISS FT by EZIGBO,UBA",1
13:41,,12 (+4),,8,"GOOD FT by EZIGBO,UBA(fastbreak)",OU 12-8 (+4),,"GOOD FT by EZIGBO,UBA(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:41,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
13:41,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
13:41,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
13:41,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
