Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UCA,Game Score,Team Indicator,Play,Period
19:30,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by HALL,DARIOUS",,,"REBOUND DEF by HALL,DARIOUS",1
19:06,,,,,"MISS 3PTR by CHATHAM,JARED",,,"MISS 3PTR by CHATHAM,JARED",1
--,,,,,"REBOUND OFF by OLOWOKERE,MASAI",,,"REBOUND OFF by OLOWOKERE,MASAI",1
18:55,,0,,2 (+2),"GOOD LAYUP by KLINTMAN,IBBE(in the paint)",UCA 0-2 (-2),,"GOOD LAYUP by KLINTMAN,IBBE(in the paint)",1
18:48,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
18:48,,,,,"STEAL  by HUNTER,CAMREN",,,"STEAL  by HUNTER,CAMREN",1
18:45,,0,,4 (+4),"GOOD LAYUP by HUNTER,CAMREN(fastbreak)(in the paint)",UCA 0-4 (-4),,"GOOD LAYUP by HUNTER,CAMREN(fastbreak)(in the paint)",1
18:35,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by KLINTMAN,IBBE",,,"REBOUND DEF by KLINTMAN,IBBE",1
18:07,,,,,"MISS JUMPER by HALL,DARIOUS",,,"MISS JUMPER by HALL,DARIOUS",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
17:41,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2,,4 (+2),,HENDRIX 2-4 (-2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
17:35,,2,,6 (+4),"GOOD DUNK by CHATHAM,JARED(fastbreak)(in the paint)",UCA 2-6 (-4),,"GOOD DUNK by CHATHAM,JARED(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HALL,DARIOUS",,,"ASSIST  by HALL,DARIOUS",1
17:23,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by CHATHAM,JARED",,,"REBOUND DEF by CHATHAM,JARED",1
17:14,,2,,9 (+7),"GOOD 3PTR by KLINTMAN,IBBE",UCA 2-9 (-7),,"GOOD 3PTR by KLINTMAN,IBBE",1
--,,,,,"ASSIST  by HUNTER,CAMREN",,,"ASSIST  by HUNTER,CAMREN",1
17:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:07,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
17:07,,,,,"STEAL  by HALL,DARIOUS",,,"STEAL  by HALL,DARIOUS",1
16:56,,,,,"MISS LAYUP by CHATHAM,JARED",,,"MISS LAYUP by CHATHAM,JARED",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
16:53,,,,,"FOUL  by CHATHAM,JARED",,,"FOUL  by CHATHAM,JARED",1
16:32,"GOOD LAYUP by FITCH,CARL(in the paint)",4,,9 (+5),,HENDRIX 4-9 (-5),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
16:28,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
16:28,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
16:15,,,,,"MISS LAYUP by HUNTER,CAMREN",,,"MISS LAYUP by HUNTER,CAMREN",1
--,,,,,"REBOUND OFF by HUNTER,CAMREN",,,"REBOUND OFF by HUNTER,CAMREN",1
16:10,,4,,11 (+7),"GOOD LAYUP by HUNTER,CAMREN(in the paint)",UCA 4-11 (-7),,"GOOD LAYUP by HUNTER,CAMREN(in the paint)",1
15:45,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",6,,11 (+5),,HENDRIX 6-11 (-5),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
15:24,,,,,"TURNOVER  by KLINTMAN,IBBE",,,"TURNOVER  by KLINTMAN,IBBE",1
15:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:24,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
15:24,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
15:06,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by CHATHAM,JARED",,,"REBOUND DEF by CHATHAM,JARED",1
14:55,,6,,13 (+7),"GOOD LAYUP by HUNTER,CAMREN(in the paint)",UCA 6-13 (-7),,"GOOD LAYUP by HUNTER,CAMREN(in the paint)",1
14:39,,,,,"FOUL  by CHATHAM,JARED",,,"FOUL  by CHATHAM,JARED",1
14:39,"GOOD FT by CONRAD,ALEX",7,,13 (+6),,HENDRIX 7-13 (-6),,"GOOD FT by CONRAD,ALEX",1
14:39,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
14:39,,,,,"SUB IN by KAYOULOUD,EDDY",,,"SUB IN by KAYOULOUD,EDDY",1
14:39,,,,,"SUB OUT by CHATHAM,JARED",,,"SUB OUT by CHATHAM,JARED",1
--,,,,,"REBOUND DEF by KAYOULOUD,EDDY",,,"REBOUND DEF by KAYOULOUD,EDDY",1
14:33,,,,,"MISS 3PTR by OLOWOKERE,MASAI",,,"MISS 3PTR by OLOWOKERE,MASAI",1
--,,,,,"REBOUND OFF by OLOWOKERE,MASAI",,,"REBOUND OFF by OLOWOKERE,MASAI",1
14:17,,7,,16 (+9),"GOOD 3PTR by KLINTMAN,IBBE",UCA 7-16 (-9),,"GOOD 3PTR by KLINTMAN,IBBE",1
--,,,,,"ASSIST  by KAYOULOUD,EDDY",,,"ASSIST  by KAYOULOUD,EDDY",1
13:59,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
13:59,,,,,"STEAL  by KLINTMAN,IBBE",,,"STEAL  by KLINTMAN,IBBE",1
13:54,,7,,18 (+11),"GOOD LAYUP by HUNTER,CAMREN(fastbreak)(in the paint)",UCA 7-18 (-11),,"GOOD LAYUP by HUNTER,CAMREN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by KLINTMAN,IBBE",,,"ASSIST  by KLINTMAN,IBBE",1
