Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,DALLAS,Game Score,Team Indicator,Play,Period
16:50,,,,,"MISS 3PTR by HYDE,CAMERAN",,,"MISS 3PTR by HYDE,CAMERAN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
16:39,"GOOD JUMPER by STANLEY,SETH",9 (+9),,0,,HENDRIX 9-0 (+9),,"GOOD JUMPER by STANLEY,SETH",1
16:23,,,,,"MISS 3PTR by HYDE,CAMERAN",,,"MISS 3PTR by HYDE,CAMERAN",1
--,,,,,"REBOUND OFF by JUAREZ,MARCUS",,,"REBOUND OFF by JUAREZ,MARCUS",1
16:17,,,,,"MISS LAYUP by JUAREZ,MARCUS",,,"MISS LAYUP by JUAREZ,MARCUS",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
15:59,"GOOD JUMPER by STANLEY,SETH",11 (+11),,0,,HENDRIX 11-0 (+11),,"GOOD JUMPER by STANLEY,SETH",1
15:59,,,,,"FOUL  by HYDE,CAMERAN",,,"FOUL  by HYDE,CAMERAN",1
15:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:59,"GOOD FT by STANLEY,SETH",12 (+12),,0,,HENDRIX 12-0 (+12),,"GOOD FT by STANLEY,SETH",1
15:47,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
15:47,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
15:47,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
15:39,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",,,"MISS LAYUP by TOUSSAINT,LETRELL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:39,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
15:39,,12 (+11),,1,"GOOD FT by TOUSSAINT,LETRELL",DALLAS 12-1 (+11),,"GOOD FT by TOUSSAINT,LETRELL",1
15:39,,12 (+10),,2,"GOOD FT by TOUSSAINT,LETRELL",DALLAS 12-2 (+10),,"GOOD FT by TOUSSAINT,LETRELL",1
15:39,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
15:39,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
15:26,"GOOD 3PTR by STANLEY,SETH",15 (+13),,2,,HENDRIX 15-2 (+13),,"GOOD 3PTR by STANLEY,SETH",1
15:26,,,,,"FOUL  by LOVE,JAI",,,"FOUL  by LOVE,JAI",1
15:26,"GOOD FT by STANLEY,SETH",16 (+14),,2,,HENDRIX 16-2 (+14),,"GOOD FT by STANLEY,SETH",1
15:13,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",1
15:13,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",1
15:06,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",18 (+16),,2,,HENDRIX 18-2 (+16),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
14:47,,,,,"MISS LAYUP by JUAREZ,MARCUS",,,"MISS LAYUP by JUAREZ,MARCUS",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
14:36,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
14:27,"GOOD 3PTR by DEITHLOFF,TYLER",21 (+19),,2,,HENDRIX 21-2 (+19),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
14:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:08,,21 (+17),,4,"GOOD JUMPER by LOVE,JAI(in the paint)",DALLAS 21-4 (+17),,"GOOD JUMPER by LOVE,JAI(in the paint)",1
13:43,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:38,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
13:38,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
13:38,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
13:38,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
13:38,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
13:38,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
13:38,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
13:25,,21 (+15),,6,"GOOD JUMPER by JUAREZ,MARCUS",DALLAS 21-6 (+15),,"GOOD JUMPER by JUAREZ,MARCUS",1
--,,,,,"ASSIST  by WASHINGTON,UNIIKYE",,,"ASSIST  by WASHINGTON,UNIIKYE",1
13:19,,,,,"SUB IN by WASHINGTON,UNIIKYE",,,"SUB IN by WASHINGTON,UNIIKYE",1
