Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
14:59,"GOOD FT by GARRIDO,BRANDAN",11 (+5),,6,,BSC 11-6 (-5),,"GOOD FT by GARRIDO,BRANDAN",1
14:59,,11 (+2),,9,"GOOD 3PTR by STANLEY,SETH",HENDRIX 11-9 (-2),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by WEAKLEY,CARTER",,,"ASSIST  by WEAKLEY,CARTER",1
14:59,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
14:59,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
14:59,,,,,"MISS LAYUP by WEAKLEY,CARTER",,,"MISS LAYUP by WEAKLEY,CARTER",1
14:59,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
14:59,"GOOD JUMPER by CHILDERS,JOSH(fastbreak)(in the paint)",13 (+4),,9,,BSC 13-9 (-4),,"GOOD JUMPER by CHILDERS,JOSH(fastbreak)(in the paint)",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
14:59,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
14:59,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
13:40,,13 (+1),,12,"GOOD 3PTR by STANLEY,SETH",HENDRIX 13-12 (-1),,"GOOD 3PTR by STANLEY,SETH",1
13:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:38,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
13:38,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
13:38,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
13:38,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
13:38,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
13:38,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
13:38,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
13:38,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:17,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
13:17,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
12:50,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
12:50,"STEAL  by GARRIDO,BRANDAN",,,,,,,"STEAL  by GARRIDO,BRANDAN",1
12:47,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
12:47,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
12:47,,,,,"MISS 3PTR by WEAKLEY,CARTER",,,"MISS 3PTR by WEAKLEY,CARTER",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
12:47,,13,,14 (+1),"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",HENDRIX 13-14 (+1),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",1
12:31,"GOOD JUMPER by STEWART,CHRISTIAN",15 (+1),,14,,BSC 15-14 (-1),,"GOOD JUMPER by STEWART,CHRISTIAN",1
12:13,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
12:13,"STEAL  by GARRIDO,BRANDAN",,,,,,,"STEAL  by GARRIDO,BRANDAN",1
12:09,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
12:09,,,,,"STEAL  by ,DARVIS RASBERRY JR",,,"STEAL  by ,DARVIS RASBERRY JR",1
11:53,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
11:46,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
11:40,"GOOD LAYUP by TOULIATOS,LUKE(fastbreak)(in the paint)",17 (+3),,14,,BSC 17-14 (-3),,"GOOD LAYUP by TOULIATOS,LUKE(fastbreak)(in the paint)",1
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",1
11:22,,17 (+1),,16,"GOOD JUMPER by STANLEY,SETH",HENDRIX 17-16 (-1),,"GOOD JUMPER by STANLEY,SETH",1
--,,,,,"ASSIST  by ,DARVIS RASBERRY JR",,,"ASSIST  by ,DARVIS RASBERRY JR",1
11:08,"MISS JUMPER by TOULIATOS,LUKE",,,,,,,"MISS JUMPER by TOULIATOS,LUKE",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
10:58,,,,,"MISS JUMPER by RYAN,JONATHAN",,,"MISS JUMPER by RYAN,JONATHAN",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
10:51,"MISS JUMPER by TOULIATOS,LUKE",,,,,,,"MISS JUMPER by TOULIATOS,LUKE",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
10:35,,17,,19 (+2),"GOOD 3PTR by ,DARVIS RASBERRY JR",HENDRIX 17-19 (+2),,"GOOD 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
10:08,"GOOD 3PTR by TOULIATOS,LUKE",20 (+1),,19,,BSC 20-19 (-1),,"GOOD 3PTR by TOULIATOS,LUKE",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
09:47,,20,,21 (+1),"GOOD JUMPER by ,DARVIS RASBERRY JR",HENDRIX 20-21 (+1),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
09:23,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
09:01,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
08:50,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
08:41,,20,,23 (+3),"GOOD LAYUP by RYAN,JONATHAN(fastbreak)(in the paint)",HENDRIX 20-23 (+3),,"GOOD LAYUP by RYAN,JONATHAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ,DARVIS RASBERRY JR",,,"ASSIST  by ,DARVIS RASBERRY JR",1
08:35,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
08:35,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
08:30,,20,,25 (+5),"GOOD LAYUP by ,DARVIS RASBERRY JR(fastbreak)(in the paint)",HENDRIX 20-25 (+5),,"GOOD LAYUP by ,DARVIS RASBERRY JR(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
08:14,"MISS JUMPER by TOULIATOS,LUKE",,,,,,,"MISS JUMPER by TOULIATOS,LUKE",1
08:14,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:14,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
08:14,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
08:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:14,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
08:14,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
08:14,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
08:14,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
08:14,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
08:14,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
08:14,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
08:14,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
08:14,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
08:14,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
08:14,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
08:14,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
08:14,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
08:14,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
08:14,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
08:14,,,,,"SUB OUT by WEAKLEY,CARTER",,,"SUB OUT by WEAKLEY,CARTER",1
08:14,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
08:14,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
08:14,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
08:14,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
07:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:40,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
07:17,"MISS JUMPER by WILLIAMS,JU'QUAN",,,,,,,"MISS JUMPER by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
06:59,,20,,27 (+7),"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIX 20-27 (+7),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
06:50,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
06:39,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
06:38,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
06:38,"GOOD FT by GLOVER,CAMERON(fastbreak)",21,,27 (+6),,BSC 21-27 (+6),,"GOOD FT by GLOVER,CAMERON(fastbreak)",1
06:38,"GOOD FT by GLOVER,CAMERON(fastbreak)",22,,27 (+5),,BSC 22-27 (+5),,"GOOD FT by GLOVER,CAMERON(fastbreak)",1
06:38,"GOOD FT by GLOVER,CAMERON(fastbreak)",23,,27 (+4),,BSC 23-27 (+4),,"GOOD FT by GLOVER,CAMERON(fastbreak)",1
06:11,,23,,30 (+7),"GOOD 3PTR by COMAN,SEAN",HENDRIX 23-30 (+7),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
05:46,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
05:44,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
05:44,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
05:44,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
05:44,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
05:44,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
05:40,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
05:40,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
05:33,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
05:33,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:23,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
05:17,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
05:07,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",1
05:07,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
04:59,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
04:54,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
04:54,"GOOD FT by GILLISPIE,JAY(fastbreak)",24,,30 (+6),,BSC 24-30 (+6),,"GOOD FT by GILLISPIE,JAY(fastbreak)",1
04:54,"GOOD FT by GILLISPIE,JAY(fastbreak)",25,,30 (+5),,BSC 25-30 (+5),,"GOOD FT by GILLISPIE,JAY(fastbreak)",1
04:54,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
04:54,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
04:54,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
04:54,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
04:54,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
04:54,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
04:54,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
04:54,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
04:54,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
04:54,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
04:54,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
04:54,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
04:54,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
04:54,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
04:08,"MISS 3PTR by STEWART,CHRISTIAN",,,,,,,"MISS 3PTR by STEWART,CHRISTIAN",1
04:08,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
03:56,,25,,32 (+7),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 25-32 (+7),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
03:46,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
03:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:46,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
03:46,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
03:46,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
03:46,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
03:41,,25,,35 (+10),"GOOD 3PTR by COMAN,SEAN",HENDRIX 25-35 (+10),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
03:21,"MISS LAYUP by GLOVER,CAMERON",,,,,,,"MISS LAYUP by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
03:03,,25,,38 (+13),"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 25-38 (+13),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by ,DARVIS RASBERRY JR",,,"ASSIST  by ,DARVIS RASBERRY JR",1
02:49,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
02:43,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
02:43,,,,,"BLOCK  by COMAN,SEAN",,,"BLOCK  by COMAN,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:16,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
02:05,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
01:51,,25,,41 (+16),"GOOD 3PTR by STANLEY,SETH",HENDRIX 25-41 (+16),,"GOOD 3PTR by STANLEY,SETH",1
01:31,"GOOD JUMPER by SIGLER,EVAN(in the paint)",27,,41 (+14),,BSC 27-41 (+14),,"GOOD JUMPER by SIGLER,EVAN(in the paint)",1
01:09,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
00:50,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:49,,,,,"SUB IN by WEAKLEY,CARTER",,,"SUB IN by WEAKLEY,CARTER",1
00:49,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
00:36,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",29,,41 (+12),,BSC 29-41 (+12),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
00:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:29,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
00:29,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
00:29,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
00:29,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
00:29,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
00:29,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
00:20,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
00:16,,,,,"TURNOVER  by WEAKLEY,CARTER",,,"TURNOVER  by WEAKLEY,CARTER",1
00:16,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
00:16,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
00:16,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
00:16,,,,,"SUB OUT by WEAKLEY,CARTER",,,"SUB OUT by WEAKLEY,CARTER",1
00:03,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:29,"GOOD JUMPER by GILLISPIE,JAY",31,,41 (+10),,BSC 31-41 (+10),,"GOOD JUMPER by GILLISPIE,JAY",2
19:14,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
19:07,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",2
