Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
15:23,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
15:14,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by HONROTH,OWEN",,,,,,,"REBOUND DEF by HONROTH,OWEN",1
15:06,"TURNOVER  by HONROTH,OWEN",,,,,,,"TURNOVER  by HONROTH,OWEN",1
15:05,,,,,"STEAL  by WEAKLEY,CARTER",,,"STEAL  by WEAKLEY,CARTER",1
15:00,,,,,"MISS LAYUP by WEAKLEY,CARTER",,,"MISS LAYUP by WEAKLEY,CARTER",1
--,"REBOUND DEF by SEGALL,RYAN",,,,,,,"REBOUND DEF by SEGALL,RYAN",1
14:59,"TURNOVER  by SEGALL,RYAN",,,,,,,"TURNOVER  by SEGALL,RYAN",1
14:59,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
14:59,"SUB IN by STANAKIS,RYAN",,,,,,,"SUB IN by STANAKIS,RYAN",1
14:59,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
14:49,"FOUL  by CAMPBELL,BLAKE",,,,,,,"FOUL  by CAMPBELL,BLAKE",1
14:49,"SUB IN by CAMPBELL,BLAKE",,,,,,,"SUB IN by CAMPBELL,BLAKE",1
14:49,"SUB OUT by STANAKIS,RYAN",,,,,,,"SUB OUT by STANAKIS,RYAN",1
14:45,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
14:34,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
14:33,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
14:22,,,,,"TURNOVER  by WEAKLEY,CARTER",,,"TURNOVER  by WEAKLEY,CARTER",1
14:21,"STEAL  by SEGALL,RYAN",,,,,,,"STEAL  by SEGALL,RYAN",1
14:10,"MISS LAYUP by BENHAM,BRAXTON",,,,,,,"MISS LAYUP by BENHAM,BRAXTON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
14:01,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
13:57,"FOUL  by SEGALL,RYAN",,,,,,,"FOUL  by SEGALL,RYAN",1
