Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OZARKS,Game Score,Team Indicator,Play,Period
19:47,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by CHEATER,DILLON",,,"REBOUND DEF by CHEATER,DILLON",1
19:38,,,,,"MISS JUMPER by GAFFNEY,XAVIER",,,"MISS JUMPER by GAFFNEY,XAVIER",1
19:38,"BLOCK  by PARKS,JACKSON",,,,,,,"BLOCK  by PARKS,JACKSON",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
19:27,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
19:02,,,,,"MISS 3PTR by ROELKE,KAMREN",,,"MISS 3PTR by ROELKE,KAMREN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
18:47,"GOOD JUMPER by FITCH,CARL",2 (+2),,0,,HENDRIX 2-0 (+2),,"GOOD JUMPER by FITCH,CARL",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
18:13,,,,,"MISS 3PTR by FINLEY,GARRET",,,"MISS 3PTR by FINLEY,GARRET",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
18:05,"GOOD 3PTR by STANLEY,SETH(fastbreak)",5 (+5),,0,,HENDRIX 5-0 (+5),,"GOOD 3PTR by STANLEY,SETH(fastbreak)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
17:41,,,,,"MISS JUMPER by CHEATER,DILLON",,,"MISS JUMPER by CHEATER,DILLON",1
17:41,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
17:32,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by FINLEY,GARRET",,,"REBOUND DEF by FINLEY,GARRET",1
17:22,,,,,"TURNOVER  by GAFFNEY,XAVIER",,,"TURNOVER  by GAFFNEY,XAVIER",1
17:17,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
17:17,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
17:12,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",1
17:01,"GOOD JUMPER by PARKS,JACKSON(in the paint)",7 (+7),,0,,HENDRIX 7-0 (+7),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
16:41,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
16:41,,7 (+6),,1,"GOOD FT by ROELKE,KAMREN",OZARKS 7-1 (+6),,"GOOD FT by ROELKE,KAMREN",1
16:41,,,,,"MISS FT by ROELKE,KAMREN",,,"MISS FT by ROELKE,KAMREN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
16:21,,,,,"FOUL  by FINLEY,GARRET",,,"FOUL  by FINLEY,GARRET",1
16:21,"GOOD FT by PARKS,JACKSON",8 (+7),,1,,HENDRIX 8-1 (+7),,"GOOD FT by PARKS,JACKSON",1
16:21,"MISS FT by PARKS,JACKSON",,,,,,,"MISS FT by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by GAFFNEY,XAVIER",,,"REBOUND DEF by GAFFNEY,XAVIER",1
16:21,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
16:21,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
16:21,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
16:21,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
16:14,,,,,"MISS JUMPER by GAFFNEY,XAVIER",,,"MISS JUMPER by GAFFNEY,XAVIER",1
16:14,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
15:48,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",10 (+9),,1,,HENDRIX 10-1 (+9),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
15:43,,,,,"FOUL  by GAFFNEY,XAVIER",,,"FOUL  by GAFFNEY,XAVIER",1
15:37,"GOOD FT by DEITHLOFF,TYLER",11 (+10),,1,,HENDRIX 11-1 (+10),,"GOOD FT by DEITHLOFF,TYLER",1
15:32,,,,,"MISS LAYUP by ROELKE,KAMREN",,,"MISS LAYUP by ROELKE,KAMREN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
15:32,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
15:32,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
15:29,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by NIX,GRAYSON",,,"REBOUND DEF by NIX,GRAYSON",1
15:22,,,,,"TURNOVER  by FINLEY,GARRET",,,"TURNOVER  by FINLEY,GARRET",1
15:22,"STEAL  by ,DARVIS RASBERRY JR",,,,,,,"STEAL  by ,DARVIS RASBERRY JR",1
15:14,"GOOD 3PTR by RYAN,JONATHAN(fastbreak)",14 (+13),,1,,HENDRIX 14-1 (+13),,"GOOD 3PTR by RYAN,JONATHAN(fastbreak)",1
--,"ASSIST  by ,DARVIS RASBERRY JR",,,,,,,"ASSIST  by ,DARVIS RASBERRY JR",1
14:54,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
14:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:54,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
14:54,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
14:54,,,,,"SUB IN by LITTLE,CARTER",,,"SUB IN by LITTLE,CARTER",1
14:54,,,,,"SUB IN by ALT,DAWSON",,,"SUB IN by ALT,DAWSON",1
14:54,,,,,"SUB IN by FRESH,RAY",,,"SUB IN by FRESH,RAY",1
14:54,,,,,"SUB OUT by GAFFNEY,XAVIER",,,"SUB OUT by GAFFNEY,XAVIER",1
14:54,,,,,"SUB OUT by FINLEY,GARRET",,,"SUB OUT by FINLEY,GARRET",1
14:54,,,,,"SUB OUT by CHEATER,DILLON",,,"SUB OUT by CHEATER,DILLON",1
14:52,,,,,"MISS JUMPER by ALT,DAWSON",,,"MISS JUMPER by ALT,DAWSON",1
