Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,WASHU,Game Score,Team Indicator,Play,Period
19:51,,0,,2 (+2),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHU 0-2 (-2),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",1
--,,,,,"ASSIST  by DOYLE,HAYDEN",,,"ASSIST  by DOYLE,HAYDEN",1
19:30,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
19:14,,,,,"MISS LAYUP by DOYLE,HAYDEN",,,"MISS LAYUP by DOYLE,HAYDEN",1
19:14,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by JACOB,CHARLIE",,,"REBOUND OFF by JACOB,CHARLIE",1
19:04,,0,,4 (+4),"GOOD JUMPER by NOLAN,JACK",WASHU 0-4 (-4),,"GOOD JUMPER by NOLAN,JACK",1
18:44,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
18:44,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
18:28,,,,,"MISS  by DAVET,KEVIN",,,"MISS  by DAVET,KEVIN",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
18:18,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
18:18,,,,,"STEAL  by JACOB,CHARLIE",,,"STEAL  by JACOB,CHARLIE",1
18:08,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
18:01,,,,,"MISS JUMPER by NOLAN,JACK",,,"MISS JUMPER by NOLAN,JACK",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
17:52,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
17:52,,,,,"BLOCK  by DAVET,KEVIN",,,"BLOCK  by DAVET,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:46,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
17:19,,,,,"MISS LAYUP by HARDY,JUSTIN",,,"MISS LAYUP by HARDY,JUSTIN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
17:04,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by DOYLE,HAYDEN",,,"REBOUND DEF by DOYLE,HAYDEN",1
16:49,,,,,"MISS 3PTR by DOYLE,HAYDEN",,,"MISS 3PTR by DOYLE,HAYDEN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
16:33,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
16:33,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
16:33,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
16:33,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",1
16:33,,,,,"SUB IN by WINDLEY,DAVID",,,"SUB IN by WINDLEY,DAVID",1
16:33,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",1
16:33,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",1
16:32,,,,,"TURNOVER  by DOYLE,HAYDEN",,,"TURNOVER  by DOYLE,HAYDEN",1
16:32,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
16:24,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2,,4 (+2),,HENDRIX 2-4 (-2),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
16:12,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
16:12,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
16:12,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
16:12,,,,,"SUB IN by WOLF,JAKE",,,"SUB IN by WOLF,JAKE",1
16:12,,,,,"SUB OUT by DAVET,KEVIN",,,"SUB OUT by DAVET,KEVIN",1
15:54,,,,,"MISS 3PTR by MACK,KAMERON",,,"MISS 3PTR by MACK,KAMERON",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
15:36,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
15:09,,,,,"MISS LAYUP by DOYLE,HAYDEN",,,"MISS LAYUP by DOYLE,HAYDEN",1
15:09,"BLOCK  by RYAN,JONATHAN",,,,,,,"BLOCK  by RYAN,JONATHAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:09,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
15:09,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
15:09,,,,,"SUB IN by GONZALO,MATT",,,"SUB IN by GONZALO,MATT",1
15:09,,,,,"SUB OUT by DOYLE,HAYDEN",,,"SUB OUT by DOYLE,HAYDEN",1
15:05,,2,,6 (+4),"GOOD JUMPER by NOLAN,JACK",WASHU 2-6 (-4),,"GOOD JUMPER by NOLAN,JACK",1
14:55,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",1
14:40,,2,,8 (+6),"GOOD LAYUP by WINDLEY,DAVID(in the paint)",WASHU 2-8 (-6),,"GOOD LAYUP by WINDLEY,DAVID(in the paint)",1
14:21,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by MACK,KAMERON",,,"REBOUND DEF by MACK,KAMERON",1
