Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
19:20,"MISS JUMPER by COMAN,SEAN(in the paint)",,,,,,,"MISS JUMPER by COMAN,SEAN(in the paint)",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
19:13,,0,,2 (+2),"GOOD JUMPER by JENKINS,KALEB(fastbreak)(in the paint)",Mill 0-2 (+2),,"GOOD JUMPER by JENKINS,KALEB(fastbreak)(in the paint)",1
18:50,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
18:43,,0,,4 (+4),"GOOD LAYUP by JENKINS,KALEB(fastbreak)(in the paint)",Mill 0-4 (+4),,"GOOD LAYUP by JENKINS,KALEB(fastbreak)(in the paint)",1
18:43,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
18:43,,,,,"MISS FT by JENKINS,KALEB",,,"MISS FT by JENKINS,KALEB",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
18:12,"MISS 3PTR by CUMMINGS II,ROD",,,,,,,"MISS 3PTR by CUMMINGS II,ROD",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
18:04,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
17:43,"MISS LAYUP by CONRAD,ALEX(in the paint)",,,,,,,"MISS LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
17:34,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
17:27,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
17:27,"MISS FT by CUMMINGS II,ROD(fastbreak)",,,,,,,"MISS FT by CUMMINGS II,ROD(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:27,"GOOD FT by CUMMINGS II,ROD(fastbreak)",1,,4 (+3),,Hend 1-4 (+3),,"GOOD FT by CUMMINGS II,ROD(fastbreak)",1
17:11,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
17:11,,1,,5 (+4),"GOOD FT by SPIKES,KALVIN",Mill 1-5 (+4),,"GOOD FT by SPIKES,KALVIN",1
17:11,,1,,6 (+5),"GOOD FT by SPIKES,KALVIN",Mill 1-6 (+5),,"GOOD FT by SPIKES,KALVIN",1
16:57,"MISS JUMPER by CUMMINGS II,ROD",,,,,,,"MISS JUMPER by CUMMINGS II,ROD",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
16:52,,1,,8 (+7),"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",Mill 1-8 (+7),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
16:43,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
16:35,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
16:18,,1,,10 (+9),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 1-10 (+9),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
16:02,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
15:46,,1,,12 (+11),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 1-12 (+11),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",1
15:24,"MISS JUMPER by LINK,JACOB(in the paint)",,,,,,,"MISS JUMPER by LINK,JACOB(in the paint)",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
15:20,"MISS 3PTR by CUMMINGS II,ROD",,,,,,,"MISS 3PTR by CUMMINGS II,ROD",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
15:10,,1,,15 (+14),"GOOD 3PTR by HUGHES,ANTHONY(fastbreak)",Mill 1-15 (+14),,"GOOD 3PTR by HUGHES,ANTHONY(fastbreak)",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
14:54,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
14:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:54,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
14:54,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
14:41,"GOOD JUMPER by CUMMINGS II,ROD",3,,15 (+12),,Hend 3-15 (+12),,"GOOD JUMPER by CUMMINGS II,ROD",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
14:25,,,,,"MISS JUMPER by SPIKES,KALVIN",,,"MISS JUMPER by SPIKES,KALVIN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
14:13,"GOOD 3PTR by LINK,JACOB",6,,15 (+9),,Hend 6-15 (+9),,"GOOD 3PTR by LINK,JACOB",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
13:48,,6,,17 (+11),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 6-17 (+11),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
13:19,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
13:19,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
13:19,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
13:19,"SUB OUT by CUMMINGS II,ROD",,,,,,,"SUB OUT by CUMMINGS II,ROD",1
13:19,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
13:12,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
12:56,,,,,"MISS 3PTR by HUGHES,ANTHONY",,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
12:52,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
12:49,,6,,19 (+13),"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",Mill 6-19 (+13),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",1
12:25,"GOOD JUMPER by STANLEY,SETH",8,,19 (+11),,Hend 8-19 (+11),,"GOOD JUMPER by STANLEY,SETH",1
12:14,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
12:14,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
12:14,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
12:14,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
12:14,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
12:12,,8,,21 (+13),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 8-21 (+13),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
11:46,"GOOD 3PTR by LINK,JACOB",11,,21 (+10),,Hend 11-21 (+10),,"GOOD 3PTR by LINK,JACOB",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
11:35,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
11:35,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
11:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:34,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
11:34,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:24,"MISS LAYUP by LINK,JACOB(in the paint)",,,,,,,"MISS LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
11:14,,11,,24 (+13),"GOOD 3PTR by HUGHES,ANTHONY",Mill 11-24 (+13),,"GOOD 3PTR by HUGHES,ANTHONY",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
11:01,"TURNOVER  by PHILLIP,ADAM",,,,,,,"TURNOVER  by PHILLIP,ADAM",1
11:01,,,,,"STEAL  by JENKINS,KALEB",,,"STEAL  by JENKINS,KALEB",1
10:57,,11,,26 (+15),"GOOD JUMPER by JENKINS,KALEB(fastbreak)(in the paint)",Mill 11-26 (+15),,"GOOD JUMPER by JENKINS,KALEB(fastbreak)(in the paint)",1
10:46,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
10:46,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:46,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
10:46,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
10:46,"GOOD FT by EATON,JACK",12,,26 (+14),,Hend 12-26 (+14),,"GOOD FT by EATON,JACK",1
10:33,,12,,28 (+16),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 12-28 (+16),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
10:16,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
10:16,"GOOD FT by EATON,JACK",13,,28 (+15),,Hend 13-28 (+15),,"GOOD FT by EATON,JACK",1
10:16,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
10:05,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
10:00,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
10:00,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
10:00,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
10:00,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
10:00,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
10:00,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",1
10:00,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
10:00,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
09:49,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
09:45,,13,,30 (+17),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 13-30 (+17),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
09:34,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
09:19,,,,,"MISS 3PTR by HUGHES,ANTHONY",,,"MISS 3PTR by HUGHES,ANTHONY",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
09:09,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",1
09:08,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
09:08,"GOOD FT by EATON,JACK",14,,30 (+16),,Hend 14-30 (+16),,"GOOD FT by EATON,JACK",1
09:08,"GOOD FT by EATON,JACK",15,,30 (+15),,Hend 15-30 (+15),,"GOOD FT by EATON,JACK",1
09:08,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
09:08,"SUB IN by CUMMINGS II,ROD",,,,,,,"SUB IN by CUMMINGS II,ROD",1
08:55,,15,,32 (+17),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 15-32 (+17),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
08:41,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
08:41,"GOOD FT by STANLEY,SETH",16,,32 (+16),,Hend 16-32 (+16),,"GOOD FT by STANLEY,SETH",1
