Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
19:27,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
19:12,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
19:06,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by BOBO,ZACH",,,,,,,"REBOUND DEF by BOBO,ZACH",1
19:03,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
18:47,"MISS DUNK by BOBO,ZACH(in the paint)",,,,,,,"MISS DUNK by BOBO,ZACH(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
18:37,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
18:23,"MISS 3PTR by TURPIN,TIM",,,,,,,"MISS 3PTR by TURPIN,TIM",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
18:05,,0,,3 (+3),"GOOD 3PTR by MCLAURIN,RYAN",Mill 0-3 (+3),,"GOOD 3PTR by MCLAURIN,RYAN",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
17:52,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",2,,3 (+1),,UO 2-3 (+1),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
17:42,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
