Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:45,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:43,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
19:23,,,,,"MISS JUMPER by JENEI,RYAN",,,"MISS JUMPER by JENEI,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:19,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",1
18:53,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
18:52,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",1
18:49,,0,,2 (+2),"GOOD LAYUP by CAMMON,JOSH(fastbreak)(in the paint)",OU 0-2 (-2),,"GOOD LAYUP by CAMMON,JOSH(fastbreak)(in the paint)",1
18:34,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",1
18:34,"GOOD FT by SPIKES,KALVIN",1,,2 (+1),,MC 1-2 (-1),,"GOOD FT by SPIKES,KALVIN",1
18:34,"GOOD FT by SPIKES,KALVIN",2,,2,,MC 2-2 (0),,"GOOD FT by SPIKES,KALVIN",1
18:22,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
18:10,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",1
17:43,,2,,5 (+3),"GOOD 3PTR by CAMMON,JOSH",OU 2-5 (-3),,"GOOD 3PTR by CAMMON,JOSH",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
17:34,"GOOD DUNK by SPIKES,KALVIN(in the paint)",4,,5 (+1),,MC 4-5 (-1),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
17:16,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
17:04,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
16:55,"GOOD LAYUP by HUGHES,ANTHONY(fastbreak)(in the paint)",6 (+1),,5,,MC 6-5 (+1),,"GOOD LAYUP by HUGHES,ANTHONY(fastbreak)(in the paint)",1
16:44,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
16:30,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",1
16:30,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
16:23,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",1
16:17,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",8 (+3),,5,,MC 8-5 (+3),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
15:59,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
